Gene1	Gene2	EdgeWeight
g5	g4	1.0
g4	g4	0.9613823857800241
g3	g4	0.6420865504363941
g8	g4	0.568877951062952
g1	g5	0.56564773568464
g5	g5	0.563037648685418
g4	g5	0.5533794000120861
g1	g4	0.534379129132031
g6	g4	0.421266214905564
g3	g5	0.398534896722389
g2	g4	0.219524530315138
g7	g4	0.144862704152491
g8	g5	0.141516878605569
g2	g5	0.067572089903048
g7	g5	0.0600459636916384
g2	g3	0.0386975905725787
g8	g3	0.0328365122581939
g7	g1	0.0297964198667318
g3	g1	0.0258784558052604
g4	g1	0.0210883678872761
g8	g1	0.0198108273773003
g5	g6	0.0191945142451385
g1	g6	0.0149798092265289
g2	g6	0.014014774656521999
g7	g3	0.0125596396318762
g4	g6	0.0115059034394132
g6	g3	0.0102540410160224
g1	g1	0.00936057472617821
g5	g3	0.00923430400285977
g3	g3	0.009226146203106621
g1	g3	0.00920099966468203
g8	g6	0.00817642534185228
g5	g1	0.00757505421858392
g3	g6	0.00554823213416825
g7	g6	0.00534060387770086
g6	g1	0.00511709591214542
g6	g6	0.00397493815175375
g4	g3	0.00209759557929827
g7	g2	1.6714944401648698e-35
g8	g2	8.552626112668018e-36
g7	g8	6.87993474272738e-36
g2	g8	6.570746099789629e-36
g2	g2	4.87858176442515e-36
g2	g7	4.75883791446233e-36
g8	g8	3.74393164354149e-36
g6	g2	2.67084543998713e-36
g1	g8	1.0615045261328498e-36
g3	g8	7.055430685940359e-38
g1	g7	0.0
g5	g8	0.0
g4	g8	0.0
g8	g7	0.0
g7	g7	0.0
g6	g7	0.0
g5	g7	0.0
g3	g2	0.0
g4	g7	0.0
g3	g7	0.0
g6	g5	0.0
g2	g1	0.0
g5	g2	0.0
g1	g2	0.0
g4	g2	0.0
g6	g8	0.0
