TF	target	importance
x_g4	x_g8	554.2622299424039
x_g8	x_g4	322.56535985162554
x_g7	x_g6	279.2495797485255
x_g2	x_g1	240.73305973417231
x_g8	x_g3	226.3264181205789
x_g6	x_g7	202.87211645468733
x_g7	x_g5	192.52928110690664
x_g6	x_g5	190.1085661217449
x_g8	x_g5	185.67209858099824
x_g1	x_g5	177.66403924722738
x_g7	x_g1	166.82372965547816
x_g2	x_g3	152.18412742432892
x_g1	x_g7	137.72271041876516
x_g1	x_g2	135.56207586382692
x_g1	x_g3	100.91775549915293
x_g5	x_g6	97.80463512288067
x_g6	x_g3	95.97590830814595
x_g2	x_g5	91.14687345500558
x_g1	x_g6	89.4016112451027
x_g7	x_g3	86.72646529171867
x_g5	x_g1	86.61112864319787
x_g6	x_g1	82.00823749873818
x_g7	x_g2	81.58051407899526
x_g8	x_g2	76.02871230672338
x_g5	x_g7	73.63612117869033
x_g4	x_g5	71.99420057820211
x_g3	x_g2	66.77834681839684
x_g2	x_g7	65.64602855578782
x_g2	x_g6	64.82021408992487
x_g6	x_g4	64.37100846166396
x_g6	x_g2	60.59301174819988
x_g5	x_g3	57.23875599914201
x_g4	x_g6	56.480306775902065
x_g8	x_g6	55.53033242957081
x_g3	x_g1	54.081477805100974
x_g4	x_g3	53.63056935693265
x_g1	x_g4	52.63685602593748
x_g5	x_g8	48.50310290585102
x_g3	x_g8	47.50415308429856
x_g8	x_g1	44.971861778810705
x_g5	x_g4	44.35222949673871
x_g3	x_g5	43.884940909915336
x_g5	x_g2	41.87983283089595
x_g1	x_g8	40.26746168607327
x_g7	x_g4	37.17489034057373
x_g7	x_g8	36.13175699390831
x_g2	x_g4	35.72023728369821
x_g2	x_g8	33.54903008387145
x_g4	x_g1	29.770504884501864
x_g8	x_g7	25.690581374209952
x_g3	x_g6	24.713320588093424
x_g4	x_g7	23.497107191525426
x_g3	x_g4	23.179418539762356
x_g3	x_g7	22.935334826334042
x_g4	x_g2	20.577506352961777
x_g6	x_g8	18.782265303593423
