Gene1	Gene2	EdgeWeight
g3	g1	36.2573422218501
g3	g8	32.778102123281805
g7	g8	27.2735193026832
g2	g8	23.9699662929884
g5	g1	22.2224725165342
g4	g8	18.063811566420004
g3	g2	15.050003753283699
g6	g1	14.4812742009726
g8	g8	14.127995796639599
g5	g8	14.0977024905301
g3	g3	13.4291515645978
g2	g1	11.8313524057671
g7	g7	9.95394396923551
g7	g2	9.572690299741039
g3	g6	9.01784514495167
g7	g6	8.72756720555196
g2	g5	8.472961439043539
g4	g6	8.23082164025643
g3	g5	8.03277139721674
g2	g3	6.94733830047382
g7	g1	6.68139250754562
g5	g7	6.463130106036219
g3	g7	6.44858842414682
g5	g2	6.402698685449799
g7	g5	5.98999931926154
g6	g8	5.29886716873478
g6	g6	5.0604388474202695
g5	g3	5.0014865345313
g3	g4	4.4995682662376
g1	g8	4.35965144071993
g1	g1	4.23893086498209
g6	g3	3.49952637249404
g5	g6	3.42173349852628
g4	g5	3.1628422363532995
g6	g4	3.07833200986237
g8	g1	2.9924174913131805
g6	g7	2.7932105475835605
g8	g5	2.3843638901135598
g4	g1	2.3642963676435698
g8	g2	2.14416681403695
g1	g2	2.0382335255824797
g6	g5	2.03194788317539
g4	g3	1.98217344839377
g5	g4	1.77824599094834
g5	g5	1.70414625400419
g8	g7	1.7006730573517201
g2	g4	1.58072362008075
g2	g2	1.49209685118525
g4	g4	1.4456290383038
g6	g2	1.43385065264468
g4	g7	1.4003305624276001
g1	g4	1.3977719494696998
g7	g3	1.39335745942222
g1	g3	1.3226911810355602
g8	g6	1.2825541407916399
g2	g7	0.967452304610077
g4	g2	0.819619355396923
g8	g3	0.6693252919494229
g8	g4	0.6688396559902771
g1	g5	0.44775136936937504
g1	g6	0.41317689400113794
g2	g6	0.0717625420846109
g1	g7	0.033865687511866
g7	g4	0.0276416946208814
