TF	target	importance
g8	g5	0.4963825527236436
g8	g3	0.35674848598307396
g8	g2	0.33364299224439375
g2	g8	0.3010760327640337
g3	g8	0.2903091528127911
g8	g1	0.26310268629178035
g3	g2	0.2411678868648973
g5	g3	0.21131789757223593
g2	g3	0.1995653760260192
g5	g8	0.196159688627779
g5	g2	0.1938580697293083
g2	g1	0.18567398226729112
g8	g7	0.1747114928907416
g8	g4	0.17095004660555507
g2	g4	0.16765212967994056
g8	g6	0.16392134398236474
g2	g7	0.15790794596758267
g5	g1	0.15713653760626387
g3	g7	0.1547486614018188
g2	g6	0.15123334238994293
g3	g1	0.15093701720826733
g5	g6	0.1482005270570103
g3	g4	0.1452915121540483
g5	g4	0.14411801364554663
g1	g6	0.14157833531441213
g5	g7	0.13994391985008311
g7	g6	0.13425689770362198
g1	g7	0.13372541242788008
g4	g6	0.13320780115758876
g1	g4	0.13008978384500933
g3	g6	0.12760175239505903
g6	g4	0.12466173188198329
g6	g7	0.12055588758985161
g4	g7	0.11840667987204216
g7	g4	0.11723678218791689
g3	g5	0.11658025823171082
g1	g8	0.11517277964948087
g2	g5	0.11253867511603481
g6	g1	0.08704083462608649
g1	g2	0.08701364824051729
g7	g5	0.08222629937855913
g7	g1	0.08049355927824214
g1	g3	0.07895826516172826
g4	g1	0.07561538272206873
g6	g5	0.06817323464126704
g4	g5	0.0631774871645527
g1	g5	0.06092149274423196
g7	g3	0.05728720589231248
g7	g2	0.052966237427154596
g4	g3	0.05043023057027191
g4	g2	0.0486877249199241
g6	g3	0.045692538794358285
g6	g2	0.042663440573804515
g7	g8	0.04035971416850846
g4	g8	0.0316975399621753
g6	g8	0.02522509201523149
