Gene1	Gene2	EdgeWeight
g4	g8	63
g4	g1	62
g3	g1	61
g3	g6	60
g4	g4	59
g6	g1	58
g2	g4	57
g3	g4	56
g7	g4	55
g2	g6	54
g6	g8	53
g5	g6	52
g3	g7	51
g8	g4	50
g8	g7	49
g2	g7	48
g1	g5	47
g2	g8	46
g6	g2	45
g5	g3	44
g2	g5	43
g1	g7	42
g8	g1	41
g7	g1	40
g1	g6	39
g5	g1	38
g7	g8	37
g7	g7	36
g6	g4	35
g5	g4	34
g7	g6	33
g7	g2	32
g8	g8	31
g6	g3	30
g8	g6	29
g5	g7	28
g2	g1	27
g1	g8	26
g1	g1	25
g8	g3	24
g5	g2	23
g8	g2	22
g4	g2	21
g7	g3	20
g1	g3	19
g1	g4	18
g4	g6	17
g6	g6	16
g3	g5	15
g6	g7	14
g4	g7	13
g5	g5	12
g3	g8	11
g3	g2	10
g4	g3	9
g4	g5	8
g3	g3	7
g2	g2	6
g5	g8	5
g1	g2	4
g2	g3	3
g6	g5	2
g8	g5	1
g7	g5	0
