Gene1	Gene2	EdgeWeight
g8	g5	293.3672379252602
g3	g8	288.1637346256531
g2	g8	255.34708526522246
g5	g8	210.22001332498428
g8	g3	140.1868923110897
g1	g8	118.41792636202558
g8	g2	101.03766455677868
g5	g3	97.28859030318249
g8	g1	91.45558350516312
g2	g3	90.46199190681143
g3	g2	66.48026173728688
g2	g5	59.312246498008115
g3	g5	57.541410106820145
g5	g1	53.5844193820114
g7	g8	52.392450233403856
g5	g2	52.00758371075614
g2	g1	50.07507776035349
g4	g8	46.42210054366732
g7	g5	44.56270535847225
g3	g1	41.17399266156272
g6	g5	39.60572146744285
g6	g8	37.03668964504347
g1	g5	35.58432031772338
g8	g7	34.940219443165944
g2	g7	30.148380672236605
g4	g5	30.02635832627315
g3	g7	29.50757234118336
g1	g2	29.148306069051838
g1	g3	28.85765138140719
g8	g4	21.784682762109174
g8	g6	21.558608736910934
g7	g3	21.395189491217813
g5	g6	20.45507462913301
g2	g4	20.298168528545254
g2	g6	20.249361685606715
g5	g7	18.649750196804934
g6	g1	18.421076896636123
g3	g6	18.331452150927287
g1	g6	18.02194171942802
g5	g4	17.616652083405363
g3	g4	17.20601897450577
g6	g7	16.186069698882875
g4	g3	15.27850332530341
g4	g6	15.030732230164805
g1	g7	15.024705223560366
g4	g7	14.543302424165926
g6	g3	14.531181280988006
g7	g1	13.394702805283911
g7	g6	12.352828847829228
g7	g2	12.103114502051241
g4	g1	11.895146988989204
g6	g4	10.805894174466502
g1	g4	10.559962835486463
g4	g2	10.268334893115798
g6	g2	8.954734530959449
g7	g4	8.728620641481461
