Parent	Type	Child	Weight	Probability	Score
g2	+	g2	0.133657	0.100522	0.019132
g3	+	g2	0.069541	0.034678	0.003434
g4	-	g2	-0.358282	0.734092	-0.374520
g1	+	g2	0.162945	0.127479	0.029579
g5	-	g2	-0.305085	0.743859	-0.323155
g6	-	g2	-0.250711	0.280531	-0.100151
g7	-	g2	-0.239525	0.245807	-0.083839
g8	-	g2	-0.498944	0.965246	-0.685788
g2	+	g3	0.089150	0.049422	0.006274
g3	+	g3	0.116188	0.071041	0.011754
g4	-	g3	-0.366150	0.603626	-0.314722
g1	+	g3	0.207248	0.178439	0.052660
g5	-	g3	-0.013355	0.030556	-0.000581
g6	-	g3	-0.081547	0.046668	-0.005419
g7	-	g3	-0.161839	0.117336	-0.027041
g8	-	g3	-0.132686	0.093595	-0.017684
g2	-	g4	-0.058755	0.053378	-0.004466
g3	+	g4	0.034689	0.019981	0.000987
g4	+	g4	0.214538	0.567597	0.173398
g1	-	g4	-0.165856	0.344000	-0.081244
g5	-	g4	-0.241952	0.991944	-0.341756
g6	+	g4	0.195566	0.484237	0.134850
g7	+	g4	0.071111	0.076238	0.007720
g8	+	g4	0.356221	0.983952	0.499106
g2	+	g1	0.113685	0.098636	0.015968
g3	+	g1	0.096017	0.076390	0.010445
g4	-	g1	-0.102597	0.055506	-0.008109
g1	+	g1	0.234146	0.425581	0.141896
g5	-	g1	-0.365370	0.999975	-0.520261
g6	+	g1	0.003245	0.035311	0.000163
g7	-	g1	-0.202538	0.228357	-0.065860
g8	-	g1	-0.229215	0.289135	-0.094372
g2	+	g5	0.203910	0.999503	0.290217
g3	+	g5	0.086915	0.216919	0.026847
g4	-	g5	-0.048984	0.054527	-0.003803
g1	-	g5	-0.038534	0.045792	-0.002513
g5	+	g5	0.702263	1.000000	1.000000
g6	-	g5	-0.150805	0.707557	-0.151941
g7	-	g5	-0.085135	0.178181	-0.021601
g8	+	g5	0.377884	1.000000	0.538094
g2	-	g6	-0.083016	0.112604	-0.013311
g3	-	g6	-0.053534	0.055374	-0.004221
g4	+	g6	0.101927	0.122740	0.017815
g1	-	g6	-0.075216	0.084272	-0.009026
g5	-	g6	-0.440517	1.000000	-0.627282
g6	+	g6	0.224744	0.838678	0.268400
g7	+	g6	0.272992	0.978193	0.380254
g8	-	g6	-0.095703	0.134492	-0.018328
g2	-	g7	-0.192588	0.898418	-0.246382
g3	+	g7	0.002942	0.008298	0.000035
g4	+	g7	0.232510	0.943750	0.312463
g1	-	g7	-0.019450	0.011614	-0.000322
g5	-	g7	-0.396519	1.000000	-0.564630
g6	+	g7	0.191602	0.677245	0.184776
g7	+	g7	0.222394	0.859151	0.272077
g8	-	g7	-0.140816	0.258617	-0.051857
g2	+	g8	0.124871	0.641247	0.114021
g3	-	g8	-0.306848	0.000000	-0.000000
g4	+	g8	0.198616	0.998452	0.282385
g1	+	g8	0.096886	0.315182	0.043483
g5	+	g8	0.224962	1.000000	0.320339
g6	+	g8	0.106014	0.336137	0.050743
g7	+	g8	0.091145	0.229294	0.029760
g8	+	g8	0.606526	1.000000	0.863674
