Gene1	Gene2	EdgeWeight
g8	g3	0.54686173312813
g3	g8	0.54686173312813
g8	g2	0.474883698572705
g2	g8	0.474883698572705
g8	g5	0.40465678960701895
g5	g8	0.40465678960701895
g3	g2	0.38740897945825203
g2	g3	0.38740897945825203
g1	g2	0.323297955744948
g2	g1	0.323297955744948
g8	g1	0.31747365081342893
g1	g8	0.31747365081342893
g6	g5	0.273210816173121
g8	g6	0.267589128210131
g4	g6	0.25668942227373
g6	g8	0.25425347378610996
g5	g6	0.239354801627401
g1	g3	0.23779397134907398
g5	g2	0.234548434998687
g2	g5	0.234548434998687
g4	g5	0.229937155902402
g4	g8	0.228470134746942
g8	g7	0.223470113114281
g1	g5	0.223018000197067
g5	g1	0.22175863166028303
g6	g3	0.215319359216506
g7	g8	0.211896984494251
g5	g4	0.211247952012452
g5	g7	0.21038423649012197
g4	g1	0.20842081954581498
g7	g1	0.207781563641305
g3	g5	0.207056195920571
g4	g7	0.20389745382781196
g7	g6	0.20252065933551502
g4	g2	0.20238609585989698
g3	g6	0.200469729483813
g1	g6	0.19808292350877
g6	g1	0.19665669695714702
g1	g4	0.19225477227625798
g7	g5	0.19052103221226896
g6	g2	0.19040428797493
g8	g4	0.186911444435757
g3	g1	0.185446590649953
g7	g2	0.180927905198767
g6	g4	0.17436582472891501
g4	g3	0.171662257197481
g6	g7	0.16906453378785402
g7	g4	0.16780480709038903
g2	g6	0.165959176875081
g5	g3	0.164829205854194
g1	g7	0.163251812661486
g3	g7	0.159924369219837
g3	g4	0.14781305172067002
g2	g4	0.14267127809270003
g7	g3	0.13594586352379498
g2	g7	0.13593716698131
