Gene1	Gene2	EdgeWeight
g1	g8	59.3477079801586
g2	g8	43.1796509379874
g3	g8	35.96986493904721
g1	g5	26.138463116938897
g5	g8	21.1795907834684
g2	g5	17.9913518092491
g6	g8	17.6557215428982
g2	g2	17.5906889392951
g1	g2	17.4286621662691
g3	g5	16.3191838019582
g3	g3	11.622506602286501
g3	g2	10.236526603892699
g1	g3	9.1736744171639
g1	g7	7.42938869007315
g2	g3	7.12525089717782
g7	g8	7.0375706868294
g1	g6	6.6399320161562
g5	g2	6.224177992330482
g6	g5	5.7162574381708495
g6	g6	5.574417036283281
g3	g7	5.53002523990556
g6	g2	5.19453463536648
g4	g4	4.95604931183488
g5	g5	4.49148337735479
g2	g7	4.49003401192355
g2	g1	4.3886490508490805
g3	g6	4.19128535780579
g7	g7	4.151726081512701
g5	g3	4.07621221187119
g6	g7	3.24706257206639
g3	g1	3.22966839093241
g4	g5	3.1938511461542403
g1	g4	3.04808939886777
g4	g8	2.49350067950281
g2	g4	2.45479388111612
g2	g6	2.24250049438711
g6	g4	2.1101474158679
g5	g1	2.09500256119667
g8	g2	2.09365007464696
g8	g5	2.06683559917042
g7	g5	2.04242412534681
g5	g6	1.95455401771619
g4	g3	1.93753506919892
g1	g1	1.78177421710028
g6	g3	1.77981052907532
g5	g4	1.73763427530277
g8	g8	1.72321914289846
g6	g1	1.6835697747692702
g7	g3	1.6152719455970002
g5	g7	1.55646063525477
g8	g4	1.46888118713499
g8	g3	1.4372103349125298
g3	g4	1.2548045926675702
g7	g2	1.03583546048332
g8	g7	0.835510026104767
g7	g1	0.719652586662198
g8	g1	0.597777836837787
g4	g7	0.407186479363258
g4	g1	0.374864305102103
g8	g6	0.3313867567948089
g4	g2	0.25891140387212
g7	g4	0.250587266894293
g7	g6	0.199458842046042
g4	g6	0.17684356905309806
