Gene1	Gene2	EdgeWeight
g6	g5	-0.7109834749462005
g6	g1	-0.3077100543615397
g4	g5	-0.2585449710645946
g7	g5	0.174391249578513
g4	g1	-0.1648246892106269
g1	g2	0.1211543379644859
g2	g3	0.1026449529624401
g4	g8	-0.0819157291716625
g6	g3	-0.07089507072382
g5	g1	-0.0661010629016899
g7	g1	0.0418237060533831
g3	g5	0.0348252530658439
g4	g2	-0.0319713170101533
g2	g1	0.0309745012593249
g3	g1	-0.028426952283053
g7	g8	0.0271630676931901
g6	g2	0.0269363397494731
g2	g5	-0.025543208005629
g7	g3	0.0192561892148401
g1	g3	0.0188836084428444
g6	g8	0.0178735625875511
g4	g3	-0.0166002690159518
g8	g1	-0.0151863291205399
g8	g3	-0.0096238750258459
g7	g2	-0.0094441379562414
g1	g8	-0.0093018543937691
g2	g8	0.0087295433447864
g6	g7	0.0081984729355838
g1	g5	0.008080228833441
g3	g2	-0.008001121531647
g8	g5	-0.0065411039792475
g6	g4	0.0063696157311873
g5	g8	-0.0059233920401484
g7	g6	0.0056961824530945
g5	g3	-0.0054105492214216
g7	g4	-0.0038350947848023
g4	g7	-0.0026357429921566
g8	g2	-0.0024082179117189
g5	g2	-0.000856073343078
g4	g6	0.0007216264137978
g2	g7	-0.0006309064697181
g3	g8	0.0005194890786513
g5	g6	0.0004264203610619
g2	g4	-0.0003626642666761
g3	g4	0.0003559720388552
g1	g4	0.0002956961217782
g8	g7	-0.0002871283836178
g3	g6	0.0002767749108919
g3	g7	0.0002279832200527
g8	g6	-0.0002271848578923
g1	g7	0.0001971985236742
g5	g7	-0.0001166076976201
g1	g6	0.00010681629204
g8	g4	-0.0001065721343394
g2	g6	9.740383122748096e-05
g5	g4	4.139912568273686e-05
g8	g8	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g6	g6	0.0
g7	g7	0.0
g1	g1	0.0
