Gene1	Gene2	EdgeWeight
g4	g3	0.4310066427878429
g4	g2	0.322677244466597
g4	g8	0.3110890066617437
g4	g1	0.2930640195255062
g1	g4	0.2814133587969897
g2	g4	0.24284987902879646
g3	g2	0.2250128662640673
g2	g3	0.21605829422040332
g3	g4	0.20395665959381185
g3	g7	0.18875925271744146
g8	g1	0.18670526357697625
g6	g5	0.1865587375122983
g8	g6	0.18060435813294975
g2	g8	0.17929481258946048
g5	g6	0.17651964783431845
g4	g7	0.17241023290108284
g2	g1	0.16100686968751435
g1	g8	0.1564066495742182
g8	g4	0.15576417445322432
g8	g2	0.1551576712516122
g2	g7	0.1540096800523673
g2	g5	0.14630870453138706
g4	g6	0.14626842568876705
g1	g7	0.1407229256470663
g8	g5	0.13936936509153966
g2	g6	0.13902550932324909
g7	g5	0.13735552252715194
g3	g8	0.1361628001967486
g3	g6	0.1355654393946088
g3	g5	0.13160576392595694
g1	g5	0.1314962984111918
g4	g5	0.12730560800047425
g8	g7	0.12571743866755355
g1	g6	0.11993204388115028
g5	g7	0.1166678545211802
g1	g2	0.11277941921135773
g3	g1	0.1075263161053582
g8	g3	0.10335638584064516
g7	g6	0.1020845757449566
g6	g7	0.1017126154933084
g6	g1	0.0863842005039572
g5	g1	0.08327863027609422
g7	g1	0.08203470032459358
g7	g3	0.07901997587654082
g6	g8	0.0767186905518938
g7	g2	0.07202524127685754
g5	g8	0.07139428114530251
g7	g8	0.06893375928063289
g1	g3	0.06747316907868503
g6	g2	0.05770836432621242
g5	g2	0.05463919320329562
g6	g3	0.05425603062459517
g5	g3	0.04882950157128775
g6	g4	0.04222906612919471
g7	g4	0.040450343735930386
g5	g4	0.0333365182620527
