Gene1	Gene2	EdgeWeight
g8	g8	1.0
g4	g7	1.0
g4	g6	1.0
g4	g4	1.0
g8	g2	0.999707
g2	g3	0.9990209999999999
g4	g8	0.998558
g8	g1	0.9960600000000001
g8	g4	0.99318
g3	g4	0.9927450000000001
g2	g6	0.9717879999999999
g1	g4	0.952965
g2	g2	0.9382659999999999
g7	g3	0.8950889999999999
g3	g7	0.838183
g7	g5	0.832116
g4	g2	0.75349
g8	g3	0.736103
g2	g1	0.681234
g2	g8	0.628085
g6	g3	0.560319
g4	g1	0.49858199999999997
g4	g3	0.44663100000000006
g2	g5	0.363227
g6	g8	0.360804
g1	g1	0.33697
g5	g6	0.322227
g3	g2	0.321096
g8	g7	0.271409
g1	g8	0.26720700000000003
g4	g5	0.263293
g1	g6	0.24220799999999998
g2	g4	0.222462
g8	g6	0.211961
g6	g7	0.187467
g7	g8	0.181052
g6	g5	0.151186
g5	g1	0.147973
g3	g8	0.136824
g7	g2	0.101949
g7	g6	0.097803
g1	g2	0.097479
g6	g6	0.089451
g8	g5	0.084465
g3	g6	0.08304600000000001
g5	g2	0.08089299999999999
g5	g8	0.079592
g6	g4	0.076713
g6	g2	0.07044600000000001
g5	g3	0.065587
g6	g1	0.059223000000000005
g7	g4	0.055484000000000006
g7	g1	0.055429
g5	g5	0.054814
g2	g7	0.053078
g5	g4	0.048277
g5	g7	0.047651
g7	g7	0.04167
g3	g3	0.038094
g1	g3	0.029702999999999997
g3	g5	0.02955
g1	g7	0.025558
g3	g1	0.025197
g1	g5	0.021461
