SourceGENES,TargetGENES,Interaction,Edges
g4,g6,2.22254042881158,repression
g4,g2,1.19775160838414,repression
g4,g4,1,activation
g8,g5,0.96123417322538,activation
g8,g6,0.634573006661852,repression
g4,g1,0.604586198083639,repression
g8,g1,0.477475156061354,activation
g4,g3,0.474448239579123,repression
g8,g2,0.279357653291865,repression
g8,g7,0.263423452475149,repression
g8,g8,0.219246591273732,activation
g7,g5,0.0548291374887955,activation
g7,g8,0.0386274827777407,repression
g7,g7,0.0192086778461079,activation
g3,g6,3.47526151945005e-34,repression
g2,g6,2.88666564791191e-34,repression
g1,g6,2.12918144177466e-34,repression
g5,g7,1.73131655839246e-34,activation
g3,g4,1.67132645997467e-34,repression
g5,g6,1.0274082593299e-34,activation
g3,g1,6.28157610645306e-35,repression
g2,g1,5.96416779927797e-35,repression
g2,g5,5.82476743345593e-35,repression
g1,g7,4.6770292214706e-35,repression
g1,g2,2.84314717966344e-35,repression
g5,g5,2.74458490543125e-35,activation
g2,g3,1.21705388894443e-35,repression
g1,g5,5.08519181584201e-36,repression
g2,g8,2.89327496878673e-36,repression
g3,g2,6.2835225689374e-37,repression
g2,g2,0,no regulation
g2,g4,0,no regulation
g2,g7,0,no regulation
g3,g3,0,no regulation
g3,g5,0,no regulation
g3,g7,0,no regulation
g3,g8,0,no regulation
g4,g5,0,no regulation
g4,g7,0,no regulation
g4,g8,0,no regulation
g1,g3,0,no regulation
g1,g4,0,no regulation
g1,g1,0,no regulation
g1,g8,0,no regulation
g5,g2,0,no regulation
g5,g3,0,no regulation
g5,g4,0,no regulation
g5,g1,0,no regulation
g5,g8,0,no regulation
g6,g2,0,no regulation
g6,g3,0,no regulation
g6,g4,0,no regulation
g6,g1,0,no regulation
g6,g5,0,no regulation
g6,g6,0,no regulation
g6,g7,0,no regulation
g6,g8,0,no regulation
g7,g2,0,no regulation
g7,g3,0,no regulation
g7,g4,0,no regulation
g7,g1,0,no regulation
g7,g6,0,no regulation
g8,g3,0,no regulation
g8,g4,0,no regulation
