Gene1	Gene2	EdgeWeight
g5	g4	0.7506900009182654
g6	g4	0.6629216569723072
g5	g1	0.4490397512017727
g6	g8	0.4117695953296553
g6	g1	0.3573155524990403
g7	g4	0.2256924396002268
g6	g3	0.1430812026747443
g1	g2	0.1070405618527699
g2	g3	0.0989660414277909
g7	g2	0.0790824558557064
g6	g2	0.0706059689860998
g7	g8	0.0702794404524082
g1	g8	0.0631608549899438
g4	g1	0.0585170905022987
g4	g8	0.0438884907869187
g3	g1	0.0361081763248347
g2	g1	0.034550601985794
g5	g3	0.0333088648199874
g5	g8	0.0252229505259215
g5	g2	0.0220447890956046
g3	g4	0.0214777625760181
g8	g2	0.0211041735786955
g1	g4	0.0186776296818843
g3	g2	0.0169909733976211
g1	g3	0.015786466550501
g8	g3	0.0157330313975683
g8	g4	0.0152531766299867
g3	g8	0.0138999024372313
g2	g4	0.0115944755099834
g2	g8	0.011519281942406
g7	g6	0.010395638494053
g8	g1	0.0103221519216296
g7	g3	0.0091273889067934
g4	g2	0.0088682370677654
g5	g6	0.0057753759152903
g7	g1	0.0054796089203205
g5	g7	0.004428794507781
g7	g5	0.0042173094526543
g6	g7	0.0035429983140213
g4	g3	0.0033744921802396
g6	g5	0.0018985760158517
g1	g6	0.0016926032317174
g8	g7	0.0012788202601693
g4	g6	0.0012061451973271
g1	g7	0.00076224687877
g8	g5	0.000578206336908
g8	g6	0.0004488935131003
g2	g7	0.0003972052208607
g3	g7	0.00036991138391
g4	g5	0.0003694137753916
g3	g6	0.0002856015741449
g2	g5	0.0002613464057568
g2	g6	0.0002575308032413
g3	g5	0.000247745350918
g1	g5	0.0002362797760484
g4	g7	2.4358709431388533e-05
g8	g8	0.0
g2	g2	0.0
g3	g3	0.0
g4	g4	0.0
g5	g5	0.0
g6	g6	0.0
g7	g7	0.0
g1	g1	0.0
