Gene1	Gene2	EdgeWeight
S	N	0.1523615143367749
N	S	0.15086568207697967
Z	T	0.14125619666762818
T	Z	0.13897915458168034
E	T	0.13543002952222086
E	N	0.13349782038316232
T	E	0.13293117513346112
S	z	0.1303001245884682
Z	s	0.1294798580660083
E	s	0.12859030591995993
N	E	0.12835819463972653
S	T	0.1283207508836861
S	E	0.12831285571285447
S	R3	0.1280486317154749
E	z	0.12801639187787944
S	R2	0.12798031125612722
S	Z	0.12786532306759796
E	R2	0.12743489808177094
z	s	0.12688613455943246
z	S	0.12653335644907596
s	R3	0.1259623168641415
z	R3	0.12593407717728844
E	R3	0.12591670542354172
Z	R3	0.12589445928302534
N	R2	0.12583021456765994
s	Z	0.1256984760572674
E	S	0.1256426757851407
Z	R2	0.12560834358735826
s	z	0.12555892757082968
s	R2	0.12497897317933387
R3	z	0.12497359961914242
R2	s	0.12478476909145406
N	R3	0.12458453183717295
R3	s	0.124515404734259
R3	R2	0.12449268158833075
R2	z	0.12412366172232328
R2	R3	0.12402974019441088
R3	E	0.12400149082719053
N	z	0.1236357876704656
S	s	0.12325634585089425
R3	S	0.1231965987200714
Z	z	0.1230398652669776
z	R2	0.12281144958530725
z	E	0.12279479924260114
N	s	0.12279477152039985
N	T	0.12252586567775375
E	Z	0.12242027644919855
Z	E	0.12241312015985326
R3	Z	0.1221635963456512
R2	Z	0.121586827215454
s	E	0.12140075193666924
N	Z	0.12139035882528999
T	R2	0.12086312815411185
z	N	0.12048105228742845
Z	S	0.12037427045812647
T	z	0.1203516416839137
z	Z	0.11989598745786036
R2	E	0.1197876123476438
s	N	0.11970532145597138
T	s	0.1196924102575921
T	R3	0.11962953750494433
T	N	0.11953380526135204
R2	N	0.11932705109379765
R3	N	0.11905002434261006
z	T	0.11881872659140665
R3	T	0.11855404961246975
R2	T	0.11850885171327903
T	S	0.11826954181859715
R2	S	0.11778503461130906
s	S	0.11733284008069965
s	T	0.11658552933155585
Z	N	0.11604341083890335
