TF	target	importance
S	N	234.64468014699546
Z	T	173.1483663730252
N	S	170.6611858528859
T	Z	125.64166404716424
E	N	66.99462736142158
E	T	54.53082683817314
S	T	48.573291812597574
z	N	48.36242200532516
s	N	48.35767508645715
R3	N	48.00257650222999
R2	N	45.634612694310235
T	R2	44.67770823174672
z	T	43.95319278913949
z	S	41.53729489846933
S	E	40.282201776734794
R2	T	39.89304878980971
R3	T	36.991005861827105
T	N	36.52710674266464
R2	Z	35.043854226373305
E	S	34.09333815013344
N	E	33.91292099924431
Z	N	33.47629946059584
N	T	33.18764108311116
T	E	32.66556623473397
R3	E	32.56269188926734
N	s	32.415923011915716
Z	R2	31.26893958785949
S	Z	30.117046706602437
R3	S	29.919466872926957
N	Z	29.201439900907907
s	T	28.722626452316625
N	z	28.486606616950997
s	R2	27.144384933404424
Z	S	26.676019469690864
s	S	26.43682811655711
S	R2	26.311335312052925
s	Z	26.045792560747124
E	R2	25.819020285763987
R2	s	25.287934641807247
N	R2	25.175721467125427
Z	E	25.156167795421315
T	S	25.095736462822902
R2	S	24.580130176513467
Z	s	24.550314879357416
R3	Z	24.53575936923025
z	s	24.091498998915515
T	s	23.433374855106603
E	z	23.358350605011115
S	z	23.300272651084036
z	E	23.07817659854753
E	s	22.86369784403417
R2	E	22.520155843772432
E	R3	21.74656288591855
E	Z	21.606695981655147
z	R3	21.09859050275676
R3	R2	20.757222409138333
S	R3	20.49769529243104
s	E	19.822118862278312
T	z	19.593120821606583
R3	s	19.491124730481566
R2	z	19.414745547043303
z	Z	18.807747207319565
s	z	18.46969303672513
Z	R3	18.216604952054023
z	R2	17.845667772908694
T	R3	17.56982615300135
S	s	16.866131038381763
N	R3	16.25943342408665
R3	z	15.378736974081898
s	R3	15.260144658229303
Z	z	14.998473747496941
R2	R3	13.351142131522321
