Gene1	Gene2	EdgeWeight
S	N	195.30325406792437
N	S	194.17681705593213
Z	T	147.94689607324386
T	Z	126.02652140233164
E	N	57.03923502129612
z	S	49.320260542743995
E	T	49.19145661877819
E	S	47.4059021400995
S	T	40.9361622060384
z	T	38.70106405911343
T	S	37.779300911364224
R3	S	37.59445501389617
z	N	37.3654820418128
R2	Z	36.742816754821845
R2	T	36.38028130324618
S	Z	34.731392367449125
S	E	34.406322280655395
R3	N	34.05616090191652
Z	S	33.56426110211122
R3	T	33.24477031986375
T	R2	33.11319992506924
s	N	32.41292420764771
R2	S	32.16418132848196
s	S	31.994821905370852
N	T	31.955233124092604
N	Z	29.82009394376649
S	z	29.604981744050146
R3	E	29.382308059891702
R2	N	29.19330761357447
Z	R2	29.12344166045534
N	z	29.058173318512853
s	Z	29.03963384204092
T	E	28.75110598376033
T	N	28.26997501630452
N	E	28.252911268834964
R3	Z	26.88794928617959
E	z	26.33970804409961
s	T	25.644136295623532
z	R3	24.93883332504787
N	s	24.734074964931
S	R3	24.45434219091259
Z	N	24.35966112952357
E	Z	24.09414572884893
E	R3	23.29615074051358
z	Z	22.657446674561488
R2	z	22.56884728267929
T	z	21.848348323020733
Z	R3	21.66969543739107
R2	s	21.359395799488034
N	R2	20.3829106460202
z	s	20.369509293518625
s	R2	20.16163490676673
T	s	19.914485823713356
S	R2	19.869290592157768
z	E	19.16045975666684
s	z	18.911298967632227
Z	z	18.862318523812984
R3	z	17.806323796192146
N	R3	17.538971221292048
R3	R2	16.788177567634776
s	R3	16.68787476855014
T	R3	16.464186577836585
R3	s	16.105656363418642
Z	E	15.811798095080762
E	R2	15.742750259895846
R2	E	15.363153364767172
R2	R3	14.949945738456115
s	E	14.871941190342845
Z	s	14.853469847251867
E	s	14.011695588348275
z	R2	13.818594442000089
S	s	11.651712319330196
