Gene1	Gene2	EdgeWeight
T	T	1.0
E	s	1.0
E	N	1.0
S	N	1.0
T	N	1.0
N	E	1.0
S	E	1.0
T	E	1.0
E	R2	1.0
E	Z	1.0
T	Z	1.0
E	R3	1.0
N	S	1.0
E	S	1.0
S	S	1.0
T	S	1.0
N	N	1.0
E	T	1.0
N	T	1.0
S	T	1.0
S	Z	0.999999
T	R2	0.999999
T	R3	0.9999889999999999
N	Z	0.999841
S	R3	0.9996459999999999
N	R3	0.998574
S	s	0.998201
Z	E	0.997138
Z	S	0.991684
T	s	0.9835860000000001
S	R2	0.9828040000000001
T	z	0.982706
R2	S	0.9752620000000001
R2	E	0.9438290000000001
R2	T	0.937313
z	E	0.9343540000000001
s	E	0.9054909999999999
Z	N	0.8962610000000001
z	T	0.8513280000000001
N	R2	0.8304600000000001
R3	N	0.810002
N	z	0.711016
R2	N	0.695642
Z	T	0.6774979999999999
R2	Z	0.677071
z	S	0.643367
s	N	0.619077
z	N	0.61175
Z	Z	0.609572
s	S	0.595973
s	T	0.5731390000000001
R3	s	0.564882
R3	S	0.55118
s	Z	0.536203
S	z	0.533633
Z	R2	0.531878
R3	T	0.531011
R2	R2	0.5260130000000001
R3	R2	0.507771
R3	E	0.5010359999999999
R2	z	0.492695
z	R2	0.485727
R2	s	0.478459
R2	R3	0.477832
Z	s	0.475761
s	s	0.47469300000000003
z	Z	0.47240600000000005
z	R3	0.471265
z	z	0.47121199999999996
s	R2	0.470868
Z	R3	0.47045299999999995
z	s	0.469887
R3	R3	0.46944300000000005
N	s	0.46838900000000006
R3	z	0.467954
s	z	0.46778000000000003
R3	Z	0.46766899999999995
s	R3	0.46693
Z	z	0.463674
E	z	0.0014470000000000002
