Gene1	Gene2	EdgeWeight
N	S	0.20824533873027698
S	N	0.20824533873027698
Z	T	0.162326316535513
T	Z	0.162326316535513
E	N	0.0768230705580512
N	E	0.0740153159904278
S	E	0.0672250469913438
E	S	0.0656875436308221
s	R2	0.0599986427981799
Z	E	0.0575945764677928
E	Z	0.0570239580015672
R3	z	0.0531579409835712
s	Z	0.0519030093715744
R3	E	0.0513701889639291
R2	N	0.0507180185304301
Z	s	0.0505508500731193
N	s	0.0503656170822894
s	N	0.0503656170822894
R3	S	0.0502127767450383
R2	R3	0.0498540109960127
z	T	0.0492217295914786
T	N	0.0491096806931181
N	T	0.0489860029470566
s	S	0.0486233364325357
R2	E	0.0485614893040391
T	s	0.0485542712962619
T	S	0.0483718468825489
z	Z	0.0479507006345182
T	R3	0.0479115879305769
N	z	0.0477305388343415
z	N	0.0477305388343415
s	R3	0.0476636954441777
R3	Z	0.0474362125198165
R3	T	0.0473788036467687
R2	s	0.0473534019496474
R3	s	0.0471227709417635
s	T	0.0470543416123005
S	R2	0.0468049151490579
Z	R2	0.04646519275666
T	R2	0.0463103114437565
z	R3	0.0462519266820728
N	R3	0.0461546548914018
z	E	0.0459253080878311
Z	R3	0.0458295245613647
S	T	0.0458237894176815
N	R2	0.044915587024964995
R3	N	0.0447490506325013
S	s	0.0443563326311028
E	s	0.0440760787332166
T	z	0.0438803500993082
z	s	0.043857553425681005
Z	N	0.0435725581899215
E	R2	0.0434837457950135
Z	z	0.0431057835278604
z	R2	0.0430289125708096
z	S	0.0430219279188623
R2	T	0.0428794485686973
s	z	0.0426956730657001
N	Z	0.042593134792728
S	Z	0.0425343415272641
E	z	0.0425011772429901
S	R3	0.0423446680491828
T	E	0.0422089290520151
R2	S	0.042180419023309
R2	z	0.0420236587074503
s	E	0.0418861644875309
S	z	0.0418411256799661
R3	R2	0.0412095773754342
E	R3	0.0396629998490976
Z	S	0.0390935880365492
R2	Z	0.0389576560480807
E	T	0.0346439408941847
