Gene1	Gene2	corVal	pValue
T	T	1	0
s	s	1	0
S	S	1	0
R3	R3	1	0
z	z	1	0
Z	Z	1	0
R2	R2	1	0
E	E	1	0
N	N	1	0
N	S	0.145807876575127	4.43013146822954e-49
S	N	0.145807876575127	4.43013146822954e-49
T	Z	0.128757588771756	1.43148403691926e-38
Z	T	0.128757588771756	1.43148403691928e-38
E	R3	0.0425313732888247	1.91761599380905e-05
R3	E	0.0425313732888247	1.91761599380905e-05
R2	T	0.033732411364471	0.00070036761681509
T	R2	0.033732411364471	0.000700367616815094
s	N	0.0326622449971487	0.00103129749366188
N	s	0.0326622449971487	0.00103129749366189
E	T	0.0266843865082768	0.00734105239742072
T	E	0.0266843865082768	0.00734105239742073
R2	Z	0.0261213566057585	0.00868077125810965
Z	R2	0.0261213566057585	0.00868077125810967
s	R3	0.0218539063229979	0.0281263584476543
R3	s	0.0218539063229979	0.0281263584476543
S	Z	0.0208280418851894	0.0363996554502841
Z	S	0.0208280418851894	0.0363996554502841
s	R2	0.019981868394244	0.0447061660806425
R2	s	0.019981868394244	0.0447061660806426
z	s	0.0177061200394335	0.0752815115486087
s	z	0.0177061200394335	0.0752815115486087
S	R3	0.0159985287708616	0.10801516081319
R3	S	0.0159985287708616	0.10801516081319
E	s	0.0155795911400426	0.117562281543327
s	E	0.0155795911400426	0.117562281543327
T	S	0.0153407886129066	0.123293517811575
S	T	0.0153407886129066	0.123293517811575
N	R2	0.013949651279049	0.161115023878149
R2	N	0.013949651279049	0.161115023878149
N	R3	0.0129474229427652	0.193380914150574
R3	N	0.0129474229427652	0.193380914150574
T	N	0.00458237609097878	0.645294527638372
N	T	0.00458237609097878	0.645294527638372
Z	s	0.00437012784746006	0.660670296678877
s	Z	0.00437012784746006	0.660670296678877
Z	z	0.00148510434383746	0.881410801870448
z	Z	0.00148510434383746	0.881410801870448
R3	Z	-0.00123991524571823	0.900878729231189
Z	R3	-0.00123991524571823	0.900878729231189
z	R2	-0.00200498146202431	0.840383032222381
R2	z	-0.00200498146202431	0.840383032222381
E	R2	-0.00277195440660495	0.780668891587296
R2	E	-0.00277195440660495	0.780668891587296
R2	R3	-0.00504201337804724	0.612519074050664
R3	R2	-0.00504201337804724	0.612519074050664
S	z	-0.00582637943633531	0.558363891145514
z	S	-0.00582637943633531	0.558363891145514
s	T	-0.00612422956201333	0.538426809617791
T	s	-0.00612422956201333	0.538426809617791
R3	z	-0.00642867314142022	0.518424167833767
z	R3	-0.00642867314142022	0.518424167833767
R3	T	-0.00660530396695625	0.506997701030847
T	R3	-0.00660530396695625	0.506997701030847
s	S	-0.0176041657966247	0.076977092440803
S	s	-0.0176041657966247	0.076977092440803
T	z	-0.0183119934770876	0.0658238845788344
z	T	-0.0183119934770876	0.0658238845788343
N	z	-0.0215115118549518	0.030686590841442
z	N	-0.0215115118549518	0.030686590841442
S	R2	-0.0219163387185731	0.0276799257401985
R2	S	-0.0219163387185731	0.0276799257401984
N	Z	-0.0223244432528031	0.0249095293219743
Z	N	-0.0223244432528031	0.0249095293219743
Z	E	-0.0238569164820228	0.0165387820064868
E	Z	-0.0238569164820228	0.0165387820064867
E	z	-0.0250076907182537	0.011989526019613
z	E	-0.0250076907182537	0.011989526019613
S	E	-0.0412786359789965	3.34999964153099e-05
E	S	-0.0412786359789965	3.34999964153097e-05
N	E	-0.0588695240573019	3.24567129874868e-09
E	N	-0.0588695240573019	3.24567129874868e-09
