Gene1	Gene2	EdgeWeight
T	T	1.0
S	S	1.0
R3	R3	1.0
z	z	1.0
Z	Z	1.0
R2	R2	1.0
E	E	1.0
N	N	1.0
s	s	1.0
N	S	0.14580787657512698
S	N	0.14580787657512698
T	Z	0.128757588771756
Z	T	0.128757588771756
N	E	-0.0588695240573019
E	N	-0.0588695240573019
R3	E	0.0425313732888247
E	R3	0.0425313732888247
S	E	-0.0412786359789965
E	S	-0.0412786359789965
R2	T	0.033732411364471
T	R2	0.033732411364471
s	N	0.0326622449971487
N	s	0.0326622449971487
E	T	0.0266843865082768
T	E	0.0266843865082768
R2	Z	0.0261213566057585
Z	R2	0.0261213566057585
s	R3	0
R3	s	0
S	Z	0
Z	S	0
s	R2	0
R2	s	0
z	s	0
s	z	0
S	R3	0
R3	S	0
E	s	0
s	E	0
T	S	0
S	T	0
N	R2	0
R2	N	0
N	R3	0
R3	N	0
T	N	0
N	T	0
Z	s	0
s	Z	0
Z	z	0
z	Z	0
R3	Z	0
Z	R3	0
z	R2	0
R2	z	0
E	R2	0
R2	E	0
R2	R3	0
R3	R2	0
S	z	0
z	S	0
s	T	0
T	s	0
R3	z	0
z	R3	0
R3	T	0
T	R3	0
s	S	0
S	s	0
T	z	0
z	T	0
N	z	0
z	N	0
S	R2	0
R2	S	0
N	Z	0
Z	N	0
Z	E	0
E	Z	0
E	z	0
z	E	0
