Gene1	Gene2	EdgeWeight
R2	N	1939
Z	N	1939
z	N	1939
R3	N	1939
S	N	1939
T	N	1939
E	N	1634
s	N	1634
T	Z	18
s	z	18
S	z	18
R3	z	18
R2	z	18
E	z	18
N	z	18
R2	Z	18
s	Z	18
S	Z	18
R3	Z	18
N	S	18
E	Z	18
N	Z	18
T	z	18
Z	z	18
T	S	18
Z	S	18
Z	s	18
R2	s	18
E	s	18
N	s	18
S	s	18
R3	S	18
T	s	18
R3	s	18
z	S	18
R2	S	18
E	S	18
z	s	18
s	S	9
z	Z	9
N	E	0
R2	E	0
Z	E	0
z	E	0
R3	E	0
S	E	0
T	R3	0
T	E	0
N	T	0
E	T	0
R2	T	0
Z	T	0
z	T	0
R3	T	0
s	E	0
T	R2	0
N	R2	0
E	R2	0
Z	R2	0
z	R2	0
R3	R2	0
S	R2	0
s	R2	0
s	R3	0
S	T	0
N	R3	0
E	R3	0
R2	R3	0
Z	R3	0
z	R3	0
S	R3	0
s	T	0
