Gene1	Gene2	EdgeWeight
E	N	0.0305539885150714
s	S	0.0300447629348636
z	N	0.029535566097783
E	S	0.0289368571939067
s	E	0.0288704177567722
Z	s	0.0284554043821801
E	R2	0.0282767827028746
R3	R2	0.0274889542894294
s	z	0.0272645354980593
s	R2	0.0267783006513144
R3	S	0.0263600423593144
R2	S	0.0263444961715734
E	Z	0.0262978111830943
z	T	0.0261872443605916
S	R3	0.0257380679532701
N	S	0.0254695646772211
R2	E	0.025227704074101
T	E	0.0251826162148996
T	Z	0.025065095485436
N	E	0.0247001501215651
T	R3	0.0246774924041847
R2	N	0.0245259219695624
Z	E	0.0243572735849228
S	Z	0.0241996830431606
E	s	0.0241475671720936
R3	T	0.0241008284371848
E	z	0.0240179276400426
z	S	0.0238341350087156
N	s	0.0234339638709546
s	R3	0.0230541459702876
s	N	0.0229515159155134
N	T	0.0228852901975208
R3	E	0.0228517818222471
z	R2	0.022746245450417004
R3	N	0.0226447491733312
z	s	0.0224345551429673
s	T	0.0223567692704788
S	R2	0.0219826712688994
Z	N	0.0219465053378797
z	Z	0.0218895149306059
N	z	0.0218711439175915
R3	Z	0.0218245098811242
Z	z	0.0217701724368872
Z	S	0.0216409650301452
z	E	0.0214729334821038
T	S	0.021363459868242
R2	T	0.0212732481588834
T	s	0.0211755971257158
N	Z	0.0210270430593125
R3	s	0.0210229001425182
T	R2	0.0208371427943554
Z	R2	0.0208159941773679
R2	R3	0.0206388142438074
S	N	0.0204991760306645
T	z	0.0202623658153646
N	R2	0.0197373362786518
S	s	0.0196100594927431
S	T	0.019023621551093998
z	R3	0.0187432171724721
R2	Z	0.0185358905746239
S	E	0.017880944423080004
Z	R3	0.0167918055611168
s	Z	0.0165151059631752
Z	T	0.0163065318856261
R3	z	0.0161733182317218
T	N	0.0160095743176169
S	z	0.0158922163959894
R2	s	0.0158434061155023
R2	z	0.0155094914851431
N	R3	0.015151214089030002
E	T	0.0143869402128205
E	R3	0.0138375780099883
