Gene1	Gene2	EdgeWeight
S	N	0.14419441748486106
E	N	0.1441183252321523
N	S	0.14350207810963114
N	E	0.14305754676915106
T	Z	0.14265078238103612
Z	T	0.1415220430101866
S	E	0.13941753674259444
E	T	0.1381141629279382
E	S	0.13792456011777812
T	E	0.13485213358185286
S	s	0.13441545012075234
N	T	0.12991296436984667
S	T	0.12951060419424412
Z	z	0.1290723411462699
E	Z	0.12878040607509042
E	R3	0.1287177399150236
S	z	0.12854215489344956
N	Z	0.12838547139131484
R2	R3	0.127911288697185
T	N	0.12790944883475272
S	R3	0.12751300731089535
N	s	0.12738400644991138
E	s	0.1270393023660811
N	R3	0.1267192563323902
S	R2	0.12649724024224124
s	S	0.1261944327210026
s	R2	0.12606007226067947
E	z	0.12592404284674885
z	Z	0.12578825535020566
T	R2	0.12525601367538922
E	R2	0.12514030454009464
N	R2	0.1249042085626443
R3	z	0.1247698094729159
z	R2	0.12466996538364823
s	z	0.12452321479158167
N	z	0.12451629698853335
T	S	0.12433867221775427
s	R3	0.12418789433942624
R3	R2	0.12378636039385706
Z	R2	0.12368583494144593
z	R3	0.12363543482920435
Z	R3	0.12355680108899494
R2	s	0.12345757949904412
T	s	0.1220754666616699
s	N	0.1219589270967596
Z	s	0.12191618196097045
z	s	0.12190016812520407
R3	s	0.12181184481636664
T	z	0.12134592012748477
R2	z	0.12130621973301604
S	Z	0.12093139344063195
Z	E	0.11988963570842855
Z	N	0.11977665380181975
Z	S	0.1190261438469425
R2	Z	0.11901955087472635
T	R3	0.11775857748688025
R3	Z	0.11723899437609185
s	Z	0.1172051461109028
R3	S	0.11706291774761506
R2	T	0.11703326223045815
s	T	0.11697767227754625
R2	E	0.11685435007622624
s	E	0.11655107215527187
R2	S	0.11610462599672955
z	S	0.11584656924254662
R3	E	0.11558334093302405
R2	N	0.1154096057396983
z	N	0.1139953121081364
z	E	0.11379438403345105
z	T	0.11376166130845425
R3	T	0.1131676296813258
R3	N	0.1126373097018199
