Gene1	Gene2	EdgeWeight
Z	T	182.2552718570132
T	Z	157.59961752576245
S	N	75.66644225568758
S	s	72.14059741447775
S	E	63.50481535529227
T	E	57.40110612554177
T	N	52.648704418543616
N	Z	51.89712931520661
z	Z	50.23429090953447
Z	s	50.15751322943881
N	T	49.97650142617882
s	N	44.26874783145707
N	s	43.413516827841455
z	R2	42.69318980906933
R2	E	41.21777359047493
T	s	40.89738784616545
R2	Z	40.819806274878225
s	S	39.83426455643545
s	T	38.47718698742543
R3	s	37.777235487504406
E	T	35.85789542554613
E	N	35.11563881962475
N	E	34.77811766993208
Z	N	34.51326151577845
s	Z	34.13214916169963
E	s	32.7872249693648
E	Z	31.783558225887383
E	R2	31.666947564495715
R2	T	31.440158564392764
s	E	31.068530561447094
R3	T	30.97314286227913
S	T	30.917401926467768
s	R2	30.32550550250721
R2	s	30.230641956555015
N	R2	28.92568506212964
z	s	28.5958822686523
z	N	27.342602872823445
S	Z	27.32256677259172
R3	E	27.060739276839968
Z	R2	26.544007908651942
z	E	26.04793297676101
Z	E	25.92098444371088
R2	N	25.735926755667577
T	R2	25.15040358526032
z	T	23.10244095069675
R2	z	22.884839401458397
N	S	22.111811468204746
E	S	21.944071544105487
R3	R2	21.830458570657896
R3	Z	21.210881814439468
S	R2	20.86380199722797
Z	z	19.959596417577416
R3	N	19.708675530417487
T	S	18.487895795011266
E	z	18.21178777088055
Z	S	17.57260468724705
N	z	15.6608667689698
R2	S	15.577519736336876
S	z	15.289170758398662
Z	R3	15.089075327674069
s	R3	15.02842100105664
s	z	14.909727235039394
z	S	14.349386292320483
R2	R3	14.146416473235679
R3	S	13.122445920338647
S	R3	11.84463003516029
R3	z	11.813316070675125
z	R3	11.55183303406382
T	z	11.270695577000653
N	R3	9.845798965778524
E	R3	9.245410079154855
T	R3	8.248415083876132
