Gene1	Gene2	EdgeWeight
T	T	1.0
s	s	1.0
S	S	1.0
R3	R3	1.0
z	z	1.0
Z	Z	1.0
R2	R2	1.0
E	E	1.0
N	N	1.0
T	Z	0.138680787082224
Z	T	0.138680787082224
s	S	0.0632189234104481
S	s	0.0632189234104481
N	T	-0.0589154387866669
T	N	-0.0589154387866668
Z	s	-0.0534399947856127
s	Z	-0.0534399947856127
R2	z	0.046532358772534005
z	R2	0.046532358772534005
R2	E	0.0368483993548718
E	R2	0.0368483993548718
T	R2	-0.0328913836502929
R2	T	-0.0328913836502929
N	Z	-0.0317545054060654
Z	N	-0.0317545054060654
s	N	0.0265276045921946
N	s	0.0265276045921946
z	N	0.0260124658049183
N	z	0.0260124658049183
s	R3	0
R3	s	0
R3	E	0
E	R3	0
Z	z	0
z	Z	0
z	R3	0
R3	z	0
T	E	0
E	T	0
E	s	0
s	E	0
R2	S	0
S	R2	0
N	R3	0
R3	N	0
N	S	0
S	N	0
N	E	0
E	N	0
Z	R3	0
R3	Z	0
E	z	0
z	E	0
z	s	0
s	z	0
R2	R3	0
R3	R2	0
R2	Z	0
Z	R2	0
T	s	0
s	T	0
T	R3	0
R3	T	0
z	T	0
T	z	0
R2	N	0
N	R2	0
Z	S	0
S	Z	0
s	R2	0
R2	s	0
E	Z	0
Z	E	0
z	S	0
S	z	0
S	T	0
T	S	0
S	R3	0
R3	S	0
E	S	0
S	E	0
