Gene1	Gene2	EdgeWeight
s	S	0.4490219438311866
R3	S	0.2536439801948668
R2	T	0.0435230591466791
S	N	0.0417997756633355
R2	S	0.0388817672166388
R2	Z	0.0335946234440766
T	S	0.0291993944956126
R2	E	0.0276261614841637
E	N	0.0263101719263085
z	E	0.0227998524293218
S	E	0.0202992188545457
R2	N	0.0175685414197999
R3	N	0.0173091470458973
z	S	0.0156664519257041
T	N	0.0155161323554379
z	Z	0.0117054642361456
s	N	0.0098423970289177
z	N	0.0095155467955925
N	S	0.0080798924367459
T	E	0.0077584134013345
R3	E	0.0052663623677038
S	T	0.0044558462796277
Z	N	0.0029849041919797
N	E	0.0027892669037398
s	T	0.002454603576333
E	Z	0.0020132721202482
Z	S	0.0019419254610353
E	s	0.0018733183903451
N	R3	0.0015178273021693
T	Z	0.0014643185286863
Z	E	0.0014101040686618
R2	z	0.0013717020408872
N	T	0.0013617611853024
T	z	0.0013587605482842
s	R3	0.0012735852970968
s	Z	0.0011938102665589
E	S	0.0011507767731558
R3	s	0.0011438375056997
S	z	0.0011409671740897
S	R2	0.0010761293028632
S	R3	0.0010229063647228
s	R2	0.0010136607002993
S	s	0.0009416532113435
R3	R2	0.0009196862327405
R3	Z	0.0009067411116315
R3	T	0.0008834199579895
Z	R2	0.000865724840512
Z	z	0.0008557491573824
N	s	0.0007886858436179
T	R3	0.000769476835799
E	R3	0.0007232849784148
R2	s	0.0007111393879608
Z	T	0.0007061821714054
R3	z	0.0006002808423723
z	R3	0.0005605858831997
Z	s	0.0005072701376211
N	R2	0.0004970400970369
E	R2	0.0004709008026915
s	E	0.0003908880372822
Z	R3	0.0003831165127659
N	z	0.0003540411808364
R2	R3	0.0003188250121921
z	T	0.0002754229672356
T	s	0.0002659059560217
N	Z	0.0002277775025417
T	R2	0.0001636208182591
E	T	0.000153853041786
E	z	0.000145019002295
S	Z	0.0001318993619456
z	s	0.00010939949026
z	R2	6.120433680700918e-05
s	z	3.2684167173596784e-05
N	N	0.0
z	z	0.0
s	s	0.0
S	S	0.0
R3	R3	0.0
Z	Z	0.0
R2	R2	0.0
E	E	0.0
T	T	0.0
