TF	target	importance
S	z	79.8547465939986
R3	R2	71.7040959544815
T	S	68.53154309345055
E	Z	65.60563024888026
Z	S	61.956810556391794
Z	E	61.14702799955491
R2	R3	54.35942810047794
Z	R3	53.676329051508134
E	z	49.91486769423823
s	z	49.59660431222099
T	Z	47.60525111762349
N	R3	47.224335244706744
Z	R2	47.206649436464794
Z	z	45.69738674717279
S	R2	45.31665468385252
R3	z	44.48114503871088
z	R3	43.833451385468756
N	S	43.63202440503486
s	S	43.57423417499608
S	Z	42.54619842007455
z	R2	41.91270280486851
N	z	41.22925893795349
T	N	41.213172962518385
E	S	40.43815165701609
R2	z	40.16316310502021
T	z	40.06282757068483
R3	S	40.052769913342026
z	S	38.712307103166204
s	R2	38.28000281800528
R2	s	38.16957778900263
R2	S	37.102159096602385
T	R3	35.86257578899892
N	T	35.53415738829753
E	R3	34.38710216092332
S	R3	33.32847144026297
s	R3	32.328306827653236
N	R2	32.106639174095704
E	s	31.370660254017736
N	s	30.132919842124736
N	Z	27.812493219659903
E	R2	27.796358120665346
z	s	27.565802901582565
s	E	27.41757546280555
R3	s	26.345340883418505
S	T	25.109724760758528
Z	s	24.715776266890586
T	s	23.825884389355764
S	s	22.87403767360747
T	R2	21.67689700756634
Z	N	21.64379253776267
R2	Z	21.432035216729677
N	E	20.236786833605564
R3	Z	19.025756092382043
T	E	18.6535374960571
S	E	18.587544671388756
s	Z	17.92374133913563
R2	E	17.734564336653246
R3	E	17.558165975899584
z	E	16.66479722403527
Z	T	16.63708171865582
S	N	16.489550768038846
s	T	15.154812270079418
z	Z	15.048894345514471
s	N	14.01499883101301
R2	N	13.620644376554356
R3	N	12.833273640698744
R2	T	11.932780395986642
E	T	10.196108950820884
R3	T	8.671701915083606
z	N	8.388168092830137
E	N	7.796398790583836
z	T	6.763632600317584
