Gene1	Gene2	EdgeWeight
T	T	1.0
S	S	1.0
N	S	1.0
T	z	1.0
s	T	1.0
N	z	1.0
T	Z	1.0
S	Z	1.0
Z	Z	1.0
E	Z	1.0
N	Z	1.0
T	E	1.0
N	E	1.0
T	N	1.0
S	N	1.0
Z	N	1.0
E	N	1.0
Z	S	1.0
N	N	1.0
Z	T	1.0
S	T	1.0
T	S	1.0
N	s	1.0
T	s	1.0
N	T	1.0
E	T	1.0
s	N	0.9999979999999999
z	Z	0.999985
z	N	0.999973
z	T	0.999957
s	Z	0.999343
E	E	0.9989129999999999
E	S	0.975966
z	S	0.969485
R2	S	0.8413450000000001
z	E	0.768151
s	S	0.758138
s	E	0.6455350000000001
z	z	0.5829880000000001
E	s	0.552948
z	s	0.544776
R3	N	0.534624
E	z	0.5109560000000001
s	s	0.509467
s	z	0.506845
R2	R2	0.49894399999999994
R3	s	0.498001
E	R2	0.484778
R2	E	0.480573
R3	T	0.48018999999999995
s	R3	0.480153
R2	T	0.47823699999999997
R2	z	0.476836
R3	z	0.476703
R3	R3	0.47635200000000005
R2	R3	0.475994
R3	Z	0.47254700000000005
R3	E	0.47147700000000003
R3	R2	0.469912
R3	S	0.46929899999999997
R2	s	0.468487
R2	N	0.46762
R2	Z	0.46738
z	R3	0.461642
z	R2	0.457204
E	R3	0.45215
s	R2	0.4266
N	R3	0.14444300000000002
T	R3	0.136991
Z	R3	0.108424
N	R2	0.096582
Z	R2	0.095831
T	R2	0.090232
S	R2	0.064696
S	R3	0.037322
Z	z	2.8999999999999997e-05
S	z	5e-06
S	s	5e-06
Z	s	1e-06
S	E	0.0
Z	E	0.0
