Gene1	Gene2	corVal	pValue
T	T	1	0
s	s	1	0
S	S	1	0
R3	R3	1	0
z	z	1	0
Z	Z	1	0
R2	R2	1	0
E	E	1	0
N	N	1	0
N	T	0.0471143549277708	2.18692184722734e-06
T	N	0.0471143549277708	2.18692184722737e-06
N	R3	0.0412291586245448	3.42356083478793e-05
R3	N	0.0412291586245448	3.42356083478793e-05
R2	s	0.0386030724521728	0.000104808480837656
s	R2	0.0386030724521728	0.000104808480837657
s	R3	0.0365273266266395	0.000242124911038983
R3	s	0.0365273266266395	0.000242124911038986
z	E	0.0257334480836609	0.00972686019042096
E	z	0.0257334480836609	0.00972686019042098
T	R2	0.0192715885747721	0.0528628767255728
R2	T	0.0192715885747721	0.0528628767255729
Z	N	0.0171217228553367	0.0854272636923276
N	Z	0.0171217228553367	0.0854272636923278
z	S	0.0165847831076945	0.0956973620819908
S	z	0.0165847831076945	0.0956973620819908
R3	Z	0.0150006285355933	0.131831131420008
Z	R3	0.0150006285355933	0.131831131420008
z	s	0.0117812441868239	0.236617188465136
s	z	0.0117812441868239	0.236617188465136
T	S	0.0107954345180001	0.278165776219546
S	T	0.0107954345180001	0.278165776219546
R2	z	0.00869497386062413	0.382423563705954
z	R2	0.00869497386062413	0.382423563705954
E	R2	0.00788021355802092	0.428598956676712
R2	E	0.00788021355802092	0.428598956676712
s	T	0.00627580428142954	0.528419801853059
T	s	0.00627580428142954	0.528419801853059
z	T	0.00520726306586335	0.600918003605233
T	z	0.00520726306586334	0.600918003605234
s	S	0.00517647092944855	0.603072180053042
S	s	0.00517647092944854	0.603072180053042
R2	N	0.0043121892367121	0.664892863770985
N	R2	0.00431218923671209	0.664892863770985
E	T	0.00407399556721759	0.682363112512082
T	E	0.00407399556721759	0.682363112512082
N	z	0.00365154630682837	0.713764882987165
z	N	0.00365154630682837	0.713764882987165
Z	z	0.00246741915019706	0.804245604272626
z	Z	0.00246741915019706	0.804245604272626
N	E	0.00218416645000876	0.826336120773881
E	N	0.00218416645000876	0.826336120773881
R3	E	0.00180052263763707	0.856473296851062
E	R3	0.00180052263763707	0.856473296851062
S	R2	-0.00111152427121093	0.911097521078428
R2	S	-0.00111152427121093	0.911097521078428
T	Z	-0.00228560520295325	0.818408258771944
Z	T	-0.00228560520295325	0.818408258771944
N	S	-0.00363369431582833	0.715103060756046
S	N	-0.00363369431582833	0.715103060756046
R3	T	-0.0115966156612274	0.24404474451465
T	R3	-0.0115966156612274	0.24404474451465
R3	S	-0.0143109777930954	0.150538347194742
S	R3	-0.0143109777930954	0.150538347194742
s	Z	-0.0204075235188478	0.040346923119912
Z	s	-0.0204075235188478	0.0403469231199119
z	R3	-0.025763201072199	0.00964281769789066
R3	z	-0.025763201072199	0.00964281769789064
R2	R3	-0.0287934776947485	0.00381645406722084
R3	R2	-0.0287934776947485	0.00381645406722084
R2	Z	-0.0319985373196058	0.00130388317530124
Z	R2	-0.0319985373196058	0.00130388317530124
E	s	-0.0357761828421752	0.000324489648676343
s	E	-0.0357761828421752	0.000324489648676342
N	s	-0.0380476030173839	0.000131665468849069
s	N	-0.0380476030173839	0.000131665468849069
E	S	-0.0416460131377121	2.84890888549323e-05
S	E	-0.0416460131377122	2.84890888549322e-05
Z	S	-0.0476868634796114	1.6435256172505e-06
S	Z	-0.0476868634796114	1.6435256172505e-06
E	Z	-0.090770506580451	6.42694843023698e-20
Z	E	-0.090770506580451	6.42694843023698e-20
