Gene1	Gene2	EdgeWeight
S	Z	0.134189964545733
Z	S	0.111808569196351
Z	T	0.0389261864146886
N	Z	0.0381821825390299
T	Z	0.0351519335285952
T	S	0.0336946197673749
N	S	0.0329236041286622
R3	N	0.0304881199447184
E	N	0.0298364143397095
s	R2	0.0298230309173165
N	E	0.0291514639267166
T	E	0.0290413299307167
R2	N	0.0289895028377269
T	R3	0.0282240215643234
z	R3	0.0281384835976827
E	s	0.0279806485696343
R2	E	0.0273078115698072
N	s	0.0271458848020467
T	z	0.0270189073542051
R2	R3	0.0267840197309439
s	N	0.02669787596794
z	s	0.0258484389127196
R2	s	0.0256207274607591
T	R2	0.0255203787913064
T	s	0.0253164866124312
N	z	0.0252704789050607
R3	z	0.0248683444788571
z	R2	0.0244012405060828
E	R3	0.0243197362397682
N	R2	0.0243182832448428
s	z	0.0236550712081837
s	E	0.0230397068438176
R2	z	0.0230141813990903
Z	s	0.0225759798965085
Z	z	0.0224809822836067
s	R3	0.0222233206616399
S	E	0.0220867287749558
R3	s	0.021941271530995
z	E	0.0218301613769876
S	z	0.0217482904189726
Z	E	0.0217426544266031
z	N	0.0213717202917931
Z	N	0.020295708868721
S	s	0.0202383071090137
N	T	0.0196298004235946
T	N	0.0196019596389081
R3	E	0.0195151579933048
R3	R2	0.0194315955154388
Z	R2	0.0192867254919906
S	R3	0.0190373671721297
Z	R3	0.0189297579231876
S	R2	0.0188940509144038
S	N	0.0187549209120793
E	z	0.0187409432160044
E	R2	0.0177565760736589
N	R3	0.0161280402577677
S	T	0.014816339686417
E	T	0.0117555240534486
R2	T	0.0101524710819923
z	T	0.009846143706741459
R3	T	0.008475744949035609
s	T	0.00811962070470352
E	S	0.0015125808595657
E	Z	0.0011155258191106199
R2	Z	0.0008988129245700711
z	Z	0.000819732035641154
R2	S	0.000810776949314867
s	S	0.000715678282044475
z	S	0.000684236584112772
R3	S	0.000492759508339984
s	Z	0.00044397115725115403
R3	Z	0.00041665771978188396
