Gene,StateA,StateB
g5,cell_1,cell_411
g3,cell_1,cell_422
g8,cell_1,cell_719
g9,cell_1,cell_1008
g4,cell_1,cell_1270
g10,cell_1,cell_1951
g7,cell_2,cell_45
g2,cell_2,cell_742
g11,cell_2,cell_829
g9,cell_2,cell_1607
g2,cell_3,cell_359
g9,cell_3,cell_497
g4,cell_3,cell_1517
g10,cell_3,cell_1595
g7,cell_3,cell_1663
g6,cell_3,cell_1865
g7,cell_7,cell_145
g9,cell_7,cell_176
g11,cell_7,cell_319
g2,cell_7,cell_441
g10,cell_7,cell_537
g8,cell_7,cell_717
g6,cell_7,cell_1017
g5,cell_11,cell_63
g11,cell_11,cell_274
g8,cell_11,cell_542
g7,cell_11,cell_709
g9,cell_11,cell_746
g3,cell_11,cell_1718
g7,cell_13,cell_406
g10,cell_13,cell_432
g1,cell_13,cell_561
g6,cell_13,cell_757
g8,cell_13,cell_949
g9,cell_13,cell_1492
g5,cell_13,cell_1606
g10,cell_26,cell_255
g5,cell_26,cell_406
g4,cell_26,cell_478
g7,cell_26,cell_1606
g8,cell_31,cell_395
g2,cell_31,cell_403
g11,cell_31,cell_478
g9,cell_31,cell_544
g10,cell_31,cell_750
g7,cell_31,cell_1964
g6,cell_34,cell_518
g4,cell_34,cell_564
g7,cell_34,cell_1669
g2,cell_35,cell_582
g6,cell_35,cell_1005
g11,cell_35,cell_1342
g4,cell_35,cell_1786
g9,cell_42,cell_47
g10,cell_42,cell_89
g8,cell_42,cell_757
g6,cell_42,cell_949
g7,cell_42,cell_1010
g8,cell_44,cell_146
g7,cell_44,cell_186
g9,cell_44,cell_877
g10,cell_44,cell_991
g1,cell_44,cell_1037
g4,cell_44,cell_1057
g7,cell_45,cell_2
g11,cell_45,cell_486
g8,cell_46,cell_145
g11,cell_46,cell_273
g7,cell_46,cell_717
g10,cell_46,cell_998
g5,cell_46,cell_1121
g9,cell_47,cell_42
g10,cell_47,cell_138
g11,cell_47,cell_312
g7,cell_47,cell_359
g5,cell_47,cell_935
g8,cell_47,cell_1650
g2,cell_47,cell_1663
g3,cell_50,cell_706
g10,cell_50,cell_1503
g2,cell_50,cell_1585
g5,cell_50,cell_1672
g2,cell_52,cell_165
g5,cell_52,cell_280
g8,cell_52,cell_651
g10,cell_52,cell_1508
g6,cell_54,cell_406
g10,cell_54,cell_417
g9,cell_54,cell_560
g7,cell_54,cell_757
g8,cell_54,cell_1010
g8,cell_57,cell_652
g6,cell_57,cell_1490
g1,cell_57,cell_1652
g5,cell_63,cell_11
g8,cell_63,cell_479
g3,cell_63,cell_801
g4,cell_63,cell_886
g11,cell_63,cell_1008
g6,cell_63,cell_1637
g10,cell_65,cell_1150
g11,cell_65,cell_1175
g2,cell_65,cell_1372
g7,cell_68,cell_82
g9,cell_68,cell_163
g1,cell_68,cell_247
g2,cell_68,cell_315
g11,cell_68,cell_622
g5,cell_68,cell_773
g6,cell_68,cell_934
g8,cell_68,cell_1314
g11,cell_69,cell_255
g4,cell_69,cell_750
g10,cell_70,cell_82
g9,cell_70,cell_522
g8,cell_70,cell_1063
g6,cell_70,cell_1174
g11,cell_70,cell_1356
g1,cell_70,cell_1432
g7,cell_82,cell_68
g10,cell_82,cell_70
g8,cell_82,cell_91
g11,cell_82,cell_92
g6,cell_82,cell_104
g9,cell_82,cell_437
g5,cell_82,cell_1826
g6,cell_86,cell_185
g9,cell_86,cell_915
g3,cell_86,cell_1393
g11,cell_88,cell_619
g2,cell_88,cell_915
g6,cell_88,cell_1254
g7,cell_88,cell_1569
g3,cell_88,cell_1682
g10,cell_89,cell_42
g9,cell_89,cell_138
g7,cell_89,cell_283
g11,cell_89,cell_462
g2,cell_89,cell_494
g8,cell_89,cell_968
g6,cell_89,cell_1099
g4,cell_89,cell_1635
g8,cell_91,cell_82
g2,cell_91,cell_192
g11,cell_91,cell_877
g10,cell_91,cell_1063
g6,cell_91,cell_1130
g7,cell_91,cell_1314
g4,cell_91,cell_1493
g11,cell_92,cell_82
g9,cell_92,cell_146
g1,cell_92,cell_284
g7,cell_92,cell_622
g8,cell_92,cell_877
g6,cell_92,cell_900
g10,cell_92,cell_1356
g9,cell_94,cell_1417
g3,cell_94,cell_1710
g11,cell_94,cell_1994
g6,cell_99,cell_507
g3,cell_99,cell_1631
g9,cell_101,cell_225
g8,cell_101,cell_244
g6,cell_101,cell_478
g10,cell_101,cell_1705
g10,cell_102,cell_912
g6,cell_104,cell_82
g4,cell_104,cell_588
g11,cell_104,cell_900
g7,cell_104,cell_934
g2,cell_104,cell_1075
g8,cell_104,cell_1130
g10,cell_104,cell_1174
g10,cell_107,cell_724
g6,cell_107,cell_877
g8,cell_107,cell_900
g11,cell_107,cell_1130
g4,cell_107,cell_1819
g11,cell_108,cell_310
g11,cell_111,cell_386
g2,cell_111,cell_608
g9,cell_111,cell_1491
g9,cell_119,cell_426
g2,cell_119,cell_757
g4,cell_119,cell_1351
g10,cell_119,cell_1431
g5,cell_126,cell_652
g7,cell_126,cell_1394
g6,cell_129,cell_497
g7,cell_129,cell_540
g4,cell_129,cell_769
g5,cell_129,cell_977
g9,cell_129,cell_1865
g2,cell_131,cell_432
g9,cell_131,cell_835
g8,cell_131,cell_918
g6,cell_131,cell_1431
g3,cell_134,cell_274
g9,cell_134,cell_609
g5,cell_134,cell_1283
g8,cell_134,cell_1294
g10,cell_134,cell_1536
g11,cell_134,cell_1718
g3,cell_135,cell_200
g4,cell_135,cell_545
g8,cell_135,cell_1088
g4,cell_136,cell_139
g7,cell_136,cell_146
g11,cell_136,cell_163
g8,cell_136,cell_186
g9,cell_136,cell_622
g10,cell_136,cell_794
g6,cell_136,cell_995
g10,cell_138,cell_47
g9,cell_138,cell_89
g11,cell_138,cell_145
g5,cell_138,cell_228
g8,cell_138,cell_273
g7,cell_138,cell_319
g6,cell_138,cell_370
g2,cell_138,cell_475
g4,cell_139,cell_136
g7,cell_139,cell_174
g8,cell_139,cell_255
g7,cell_141,cell_479
g11,cell_141,cell_650
g10,cell_141,cell_1022
g9,cell_141,cell_1993
g10,cell_142,cell_282
