,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
cell_1,True,True,False,False,True,False,True,False,False,True,True
cell_2,False,True,True,True,True,False,True,True,False,True,True
cell_3,False,True,True,True,False,True,True,False,False,True,False
cell_7,False,False,True,True,False,True,True,False,False,False,True
cell_11,True,True,False,False,False,False,True,False,True,True,False
cell_13,False,False,True,True,False,False,False,True,True,True,False
cell_26,False,False,True,True,True,False,True,True,True,True,False
cell_31,False,False,True,False,True,False,True,True,True,True,True
cell_34,False,True,True,True,False,True,False,False,True,True,True
cell_35,True,False,False,True,True,True,True,True,True,True,True
cell_42,False,False,True,True,False,True,False,False,True,True,False
cell_44,False,False,True,False,True,False,False,True,True,False,False
cell_45,False,True,True,True,True,False,False,True,False,True,True
cell_46,False,False,True,True,False,True,False,True,False,False,True
cell_47,False,False,True,True,False,True,False,False,False,True,False
cell_50,True,False,False,False,False,False,True,False,False,False,True
cell_52,True,False,True,False,False,False,True,True,True,False,False
cell_54,False,False,True,True,False,True,True,True,True,True,False
cell_57,True,True,True,False,False,False,True,False,False,False,False
cell_63,True,True,False,False,True,False,True,False,True,True,False
cell_65,True,True,False,True,False,True,True,True,True,False,True
cell_68,False,False,True,False,True,False,True,False,False,False,True
cell_69,False,False,True,True,True,False,True,True,True,False,True
cell_70,False,False,True,False,True,False,False,False,False,True,True
cell_82,False,False,True,False,True,False,False,False,False,False,True
cell_86,True,True,False,False,False,False,False,True,False,True,True
cell_88,True,False,False,False,False,False,False,True,True,True,True
cell_89,False,False,True,True,False,True,False,False,True,False,False
cell_91,False,False,True,False,True,False,False,True,False,False,True
cell_92,False,False,True,False,True,False,False,False,False,False,False
cell_94,True,False,True,False,False,True,True,False,False,True,True
cell_99,True,True,True,False,False,True,False,False,True,False,True
cell_101,False,False,True,False,True,True,True,True,True,True,False
cell_102,True,True,False,True,True,False,True,True,True,False,True
cell_104,False,False,True,False,True,True,False,False,False,False,True
cell_107,False,False,True,False,True,True,False,True,False,False,False
cell_108,True,False,True,False,True,True,False,True,True,True,False
cell_111,False,True,True,False,True,True,True,True,True,False,True
cell_119,False,True,True,True,False,True,False,True,True,True,False
cell_126,True,True,True,False,True,False,True,True,False,False,False
cell_129,False,True,True,True,False,False,True,False,True,True,False
cell_131,False,True,True,True,False,False,False,True,True,False,False
cell_134,True,True,True,False,False,False,True,False,True,True,True
cell_135,True,True,True,True,False,False,True,True,False,True,True
cell_136,False,False,True,False,True,False,True,False,True,False,False
cell_138,False,False,True,True,False,True,False,False,False,False,False
cell_139,False,False,True,True,True,False,True,False,True,False,False
cell_141,True,True,False,False,True,False,False,True,True,True,False
cell_142,False,True,True,False,False,False,True,True,True,False,True
cell_145,False,False,True,True,False,True,False,False,False,False,True
cell_146,False,False,True,False,True,False,False,False,True,False,False
cell_148,False,False,True,False,True,False,False,True,False,True,False
cell_149,True,True,False,False,False,True,True,False,True,False,True
cell_150,True,True,True,True,True,True,False,True,True,False,True
cell_155,False,False,True,True,False,False,True,True,False,False,False
cell_158,True,True,False,False,False,True,False,True,True,True,False
cell_161,False,True,True,True,True,True,True,False,True,True,False
cell_163,False,False,True,False,True,False,True,False,True,False,True
cell_164,False,False,True,True,False,True,True,True,True,False,True
cell_165,True,True,True,False,False,False,True,True,True,False,False
cell_166,True,True,False,False,False,False,False,True,True,False,True
cell_168,False,False,True,True,True,True,False,True,False,True,True
cell_171,True,False,True,False,True,False,True,False,True,True,True
cell_174,False,False,True,True,True,False,False,False,True,False,False
cell_176,False,False,True,True,False,True,True,False,True,False,True
cell_177,True,True,False,True,False,False,False,True,True,True,False
cell_185,True,True,False,False,False,True,False,True,False,True,True
cell_186,False,False,True,False,True,False,True,True,True,False,False
cell_187,True,True,True,False,True,True,True,True,True,True,True
cell_189,True,True,False,True,True,True,True,True,True,False,False
cell_190,True,True,False,True,False,False,False,False,False,True,True
cell_192,False,True,True,False,True,False,False,True,False,False,True
cell_200,True,True,False,True,False,False,True,True,False,True,True
cell_201,True,False,True,False,False,False,False,False,False,True,True
cell_202,False,False,True,True,False,False,False,False,True,False,True
cell_203,False,True,True,False,False,True,True,False,True,True,False
cell_210,False,False,True,False,False,False,False,True,False,True,True
cell_213,False,False,True,False,True,True,True,False,True,True,True
cell_219,True,False,True,False,False,True,True,True,False,False,False
cell_221,True,True,False,False,False,True,False,True,True,True,True
cell_225,False,False,True,False,True,True,True,True,False,True,False
cell_228,False,False,True,True,True,True,False,False,False,False,False
cell_229,False,False,True,False,False,False,False,True,True,False,True
cell_230,False,True,True,False,True,True,False,True,False,True,True
cell_234,True,True,True,False,False,False,True,True,True,True,False
cell_235,True,True,True,False,True,True,False,True,False,True,True
cell_237,True,True,False,False,False,True,False,False,False,False,False
cell_239,True,False,False,False,True,False,False,True,True,False,True
cell_244,False,False,True,False,True,True,True,False,True,True,False
cell_247,True,False,True,False,True,False,True,False,False,False,True
cell_255,False,False,True,True,True,False,True,True,True,False,False
cell_256,True,True,True,False,True,False,True,True,True,True,True
cell_258,True,True,False,False,False,True,True,False,False,True,True
cell_259,True,False,False,False,True,False,True,True,True,False,True
