,pseudotime
0,0.64335704
1,0.021075573
2,0.068059936
3,0.1516158
4,0.92816055
5,0.29204616
6,0.81944054
7,0.18679327
8,0.37627944
9,0.93531346
10,0.6612281
11,0.021262312
12,0.5948436
13,0.07528798
14,0.27209714
15,0.9147481
16,0.2851908
17,0.39308488
18,0.59992784
19,0.8819233
20,0.60218763
21,0.7724474
22,0.8206983
23,0.92066276
24,0.9477458
25,0.83721155
26,0.179522
27,0.9090593
28,0.9471708
29,0.64505273
30,0.8692163
31,0.13423258
32,0.63996446
33,0.008875771
34,0.10473526
35,0.085962854
36,0.8944964
37,0.88964045
38,0.44907665
39,0.9595955
40,0.48660186
41,0.89169675
42,0.21925333
43,0.70114493
44,0.16335134
45,0.1267458
46,0.19024713
47,0.21800333
48,0.9854261
49,0.9369614
50,0.028761543
51,0.40732542
52,0.07064405
53,0.9168788
54,0.21829094
55,0.67260987
56,0.94696844
57,0.04915255
58,0.9181837
59,0.79987794
60,0.77654016
61,0.62139726
62,0.5940839
63,0.021870883
64,0.41989437
65,0.021991368
66,0.8812283
67,0.8045254
68,0.18918161
69,0.16567913
70,0.076987304
71,0.9583025
72,0.82062465
73,0.88433784
74,0.44632992
75,0.64695764
76,0.24411339
77,0.6621372
78,0.75723064
79,0.86675155
80,0.3316715
81,0.24315228
82,0.0962383
83,0.91021276
84,0.24436848
85,0.31985703
86,0.0024616253
87,0.8457626
88,0.053124156
89,0.18069255
90,0.41193005
91,0.1626538
92,0.1710189
93,0.90725225
94,0.05073104
95,0.8289089
96,0.52480245
97,0.5368536
98,0.615896
99,0.050730314
100,0.93226933
101,0.16966394
102,0.029210566
103,0.93572944
104,0.1629058
105,0.47941455
106,0.58346087
107,0.11698209
108,0.055906214
109,0.73045415
110,0.26123276
111,0.040968638
112,0.51844263
113,0.6253655
114,0.84689
115,0.5215619
116,0.42157102
117,0.8232265
118,0.89963067
119,0.21135235
120,0.8404025
121,0.61213964
122,0.25102445
123,0.93868774
124,0.23716883
125,0.6615022
126,0.045635287
127,0.79482126
128,0.35453936
129,0.11168643
130,0.4999508
131,0.10701257
132,0.71851695
133,0.7854251
134,0.049154345
135,0.061962288
136,0.1916083
137,0.53015506
138,0.21279533
139,0.11400861
140,0.83074397
141,0.022739053
142,0.06882558
143,0.03876941
144,0.8679302
145,0.20164622
146,0.15733735
147,0.84487855
148,0.16549921
149,0.035108488
150,0.055549346
151,0.4784513
152,0.8887783
153,0.023697875
154,0.749684
155,0.1274757
156,0.91621614
157,0.89062876
158,0.06364755
159,0.83510685
160,0.8682037
161,0.07313944
162,0.67375994
163,0.17818357
164,0.22713044
165,0.05615442
166,0.017246941
167,0.5453852
168,0.13096608
169,0.9473582
170,0.8437133
171,0.05701559
172,0.52149236
173,0.13960432
174,0.11826592
175,0.48562354
176,0.18156807
177,0.019936899
178,0.6295603
179,0.21222419
180,0.939087
181,0.9265608
182,0.24972177
183,0.96231544
184,0.6086877
185,0.0082114125
186,0.1851217
187,0.053721536
188,0.46901318
189,0.021436857
190,0.01656214
191,0.271741
192,0.064972855
193,0.93825334
194,0.24486293
195,0.6038728
196,0.86160916
197,0.24395394
198,0.60523397
199,0.7916532
200,0.023293901
201,0.06338719
202,0.12538472
203,0.05049488
204,0.81576663
205,0.876104
206,0.47269863
207,0.7881596
208,0.39311683
209,0.012103713
210,0.052345674
211,0.2272444
212,0.48242342
213,0.1726689
214,0.80711865
215,0.83283186
216,0.2884536
217,0.5802232
218,0.25066638
219,0.053523865
220,0.83930904
221,0.035693344
222,0.35036555
223,0.6551983
224,0.27392152
225,0.18152091
226,0.0340561
227,0.9442251
228,0.21897946
229,0.08079377
230,0.08409514
231,0.9305331
232,0.49885416
233,0.82617474
234,0.04678411
235,0.07562261
236,0.6425123
237,0.034788907
238,0.5566601
239,0.015089606
240,0.5990172
241,0.6144277
242,0.7697227
243,0.6103053
244,0.17049594
245,0.46880427
246,0.8340665
247,0.06442687
248,0.6207837
249,0.20385543
250,0.7969098
251,0.90881014
252,0.7221841
253,0.6585454
254,0.9739228
255,0.11656492
256,0.104963854
257,0.9113559
258,0.016796043
259,0.027810616
260,0.08418698
261,0.82005143
262,0.03983137
263,0.6458599
264,0.5599258
265,0.08248363
266,0.050901856
267,0.048036132
268,0.24541485
269,0.031818558
270,0.28443602
271,0.9488109
272,0.7156311
273,0.2134881
274,0.016436858
275,0.020788807
276,0.8617549
277,0.046721987
278,0.06058043
279,0.8717982
280,0.06697237
281,0.45383573
282,0.055929873
283,0.19289583
284,0.06986033
285,0.87488705
286,0.4430274
287,0.72472256
288,0.05784382
289,0.44055173
290,0.82299143
291,0.91599566
292,0.02269743
293,0.93309546
294,0.9530565
295,0.89873135
296,0.034638904
297,0.923683
298,0.95442057
299,0.23626809
300,0.60186535
301,0.031847876
302,0.9279247
303,0.5985267
304,0.59948707
305,0.029286668
306,0.008321204
307,0.17011684
308,0.89170814
309,0.028023776
310,0.043966725
311,0.24308647
312,0.22349955
313,0.87388706
314,0.30635762
315,0.050696548
316,0.93922997
317,0.0846247
318,0.0059817187
319,0.21229877
320,0.39861223
321,0.57428014
322,0.85379034
323,0.48149475
324,0.18511973
325,0.8384113
326,0.4157927
327,0.909416
328,0.9716196
329,0.38984743
330,0.12806599
331,0.8283458
332,0.053939402
333,0.5998904
334,0.7719919
335,0.5926904
336,0.95736104
337,0.18528786
338,0.033615515
339,0.27167842
340,0.8086225
341,0.7634171
342,0.7550388
343,0.9498982
344,0.25524822
345,0.0786813
346,0.48057094
347,0.14789885
348,0.7978114
349,0.4633408
350,0.047872834
351,0.93610835
352,0.91830343
353,0.01537619
354,0.1697497
355,0.21298131
356,0.056531917
357,0.05344939
358,0.019625958
