,Time
cell_4,0.92816055
cell_6,0.81944054
cell_9,0.93531346
cell_15,0.9147481
cell_19,0.8819233
cell_21,0.7724474
cell_22,0.8206983
cell_23,0.92066276
cell_24,0.9477458000000001
cell_25,0.83721155
cell_27,0.9090593000000001
cell_28,0.9471708000000001
cell_30,0.8692163
cell_36,0.8944964
cell_37,0.88964045
cell_39,0.9595955
cell_41,0.89169675
cell_48,0.9854261000000001
cell_49,0.9369613999999999
cell_53,0.9168788
cell_56,0.94696844
cell_58,0.9181836999999999
cell_59,0.79987794
cell_60,0.77654016
cell_66,0.8812283000000001
cell_67,0.8045254
cell_71,0.9583025
cell_72,0.82062465
cell_73,0.88433784
cell_78,0.75723064
cell_79,0.86675155
cell_83,0.91021276
cell_87,0.8457626
cell_93,0.90725225
cell_95,0.8289089
cell_100,0.93226933
cell_103,0.93572944
cell_109,0.73045415
cell_114,0.8468899999999999
cell_117,0.8232265
cell_118,0.89963067
cell_120,0.8404024999999999
cell_123,0.93868774
cell_127,0.79482126
cell_133,0.7854251
cell_140,0.83074397
cell_144,0.8679302
cell_147,0.84487855
cell_152,0.8887783000000001
cell_154,0.749684
cell_156,0.91621614
cell_157,0.89062876
cell_159,0.83510685
cell_160,0.8682037
cell_169,0.9473582
cell_170,0.8437133
cell_180,0.9390870000000001
cell_181,0.9265608
cell_183,0.96231544
cell_193,0.93825334
cell_196,0.86160916
cell_199,0.7916532
cell_204,0.81576663
cell_205,0.8761040000000001
cell_207,0.7881596
cell_214,0.80711865
cell_215,0.83283186
cell_220,0.83930904
cell_227,0.9442251
cell_231,0.9305331
cell_233,0.82617474
cell_242,0.7697227
cell_246,0.8340665
cell_250,0.7969098000000001
cell_251,0.90881014
cell_252,0.7221841
cell_254,0.9739228000000001
cell_257,0.9113559000000001
cell_261,0.82005143
cell_271,0.9488109
cell_276,0.8617549000000001
cell_279,0.8717982
cell_285,0.87488705
cell_287,0.72472256
cell_290,0.82299143
cell_291,0.91599566
cell_293,0.93309546
cell_294,0.9530565000000001
cell_295,0.89873135
cell_297,0.923683
cell_298,0.95442057
cell_302,0.9279246999999999
cell_308,0.89170814
cell_313,0.87388706
cell_316,0.93922997
cell_322,0.85379034
cell_325,0.8384113000000001
cell_327,0.909416
cell_328,0.9716196
cell_331,0.8283458
cell_334,0.7719919
cell_336,0.95736104
cell_340,0.8086225
cell_341,0.7634171
cell_342,0.7550388000000001
cell_343,0.9498982
cell_348,0.7978114000000001
cell_351,0.93610835
cell_352,0.91830343
cell_360,0.82685447
cell_361,0.87848276
cell_366,0.7960195
cell_367,0.923359
cell_368,0.949901
cell_369,0.90495956
cell_383,0.7964852
cell_385,0.8961895000000001
cell_391,0.87412107
cell_392,0.9194124
cell_393,0.7855413
cell_398,0.95292246
cell_402,0.81187475
cell_404,0.9413933000000001
cell_405,0.9446471
cell_408,0.92478144
cell_410,0.9606363000000001
cell_418,0.91817725
cell_427,0.91671145
cell_433,0.9550544
cell_442,0.91971874
cell_443,0.96873885
cell_444,0.9106846
cell_449,0.9491550999999999
cell_455,0.8589074000000001
cell_456,0.87936276
cell_459,0.9240433000000001
cell_461,0.9462235999999999
cell_467,0.871706
cell_469,0.9884196
cell_472,0.84322375
cell_474,0.91523916
cell_476,0.94469076
cell_480,0.85558677
cell_483,0.9204076999999999
cell_484,0.97047
cell_489,0.8175036
cell_491,0.93178207
cell_492,0.83251864
cell_499,0.7800321
cell_500,0.9216603000000001
cell_502,0.8027812
cell_508,0.7561094
cell_509,0.88591474
cell_516,0.8950872999999999
cell_517,0.85651976
cell_519,0.91803443
cell_521,0.8065751999999999
cell_529,0.82937485
cell_534,0.8579888000000001
cell_550,0.95945996
cell_553,0.914544
cell_555,0.913032
cell_556,0.7986983
cell_557,0.83714336
cell_558,0.88572496
cell_559,0.9273571
cell_562,0.8718880999999999
cell_565,0.81129247
cell_568,0.96206665
cell_570,0.92276907
cell_572,0.94584644
cell_576,0.87198967
cell_577,0.91153556
cell_578,0.80689096
cell_580,0.8981844999999999
cell_583,0.95176333
cell_584,0.9006388000000001
cell_585,0.99843514
cell_587,0.93895406
cell_589,0.9451516999999999
cell_594,0.93692684
cell_596,0.86305004
cell_598,0.8271685
cell_599,0.8246536
cell_600,0.8984752
cell_610,0.9977404000000001
cell_611,0.9054549000000001
cell_617,0.9270681999999999
cell_618,0.9189451
cell_624,0.86809903
cell_625,0.81145465
cell_629,0.9489328000000001
cell_632,0.9701439000000001
cell_633,0.96021175
cell_645,0.9055673000000001
cell_648,0.91634214
cell_649,0.8366183
cell_654,0.8743939000000001
cell_658,0.8786016999999999
cell_661,0.91496587
cell_663,0.94211566
cell_664,0.91735464
cell_667,0.82451236
cell_669,0.82620174
cell_676,0.9003161
cell_680,0.89145356
cell_683,0.90052325
cell_688,0.8867
cell_690,0.87743324
cell_695,0.8654825999999999
cell_699,0.8353446
cell_702,0.93156046
cell_703,0.92974883
cell_712,0.81420356
cell_713,0.94118834
cell_715,0.90446603
cell_722,0.8854190999999999
cell_726,0.87058324
cell_728,0.9304822
cell_729,0.9617034999999999
cell_730,0.9494894
cell_731,0.9271455
cell_732,0.8808838
cell_733,0.9301761999999999
cell_735,0.8781652
cell_737,0.8744894
cell_739,0.9637618
cell_740,0.9227948
cell_747,0.8173245
cell_748,0.9720588
cell_755,0.76023304
cell_763,0.8923743000000001
cell_768,0.93519384
cell_772,0.95571554
cell_774,0.92005026
cell_779,0.8610620000000001
cell_780,0.9366472
cell_781,0.9160485999999999
cell_784,0.79028255
cell_787,0.73217064
cell_788,0.9206972999999999
cell_791,0.9241661
cell_792,0.8415101
cell_796,0.89044
cell_797,0.9615469000000001
cell_799,0.884999
cell_800,0.89842445
cell_811,0.99223256
cell_818,0.9018341000000001
cell_819,0.7768189
cell_824,0.8631211
cell_830,0.7757757
cell_831,0.9516100000000001
cell_832,0.9258661
cell_833,0.84203976
cell_834,0.7919941999999999
cell_836,0.8516611999999999
cell_843,0.86177975
cell_844,0.8089655
cell_846,0.8014826
cell_848,0.8785898000000001
cell_852,0.9178997
cell_853,0.8553103999999999
cell_854,0.94060653
cell_862,0.7336593000000001
cell_866,0.9006921999999998
cell_869,0.9003962999999999
cell_878,0.9190099
cell_880,0.8140529000000001
cell_882,0.9106639000000001
cell_883,0.9552221
cell_885,0.87689847
cell_887,0.80323106
cell_889,0.9201608
cell_893,0.9244924000000001
cell_894,0.7585301999999999
cell_896,0.9260633
cell_906,0.8870933000000001
cell_907,0.89706177
cell_908,0.7573439000000001
cell_909,0.82956374
cell_916,0.810265
cell_919,0.88233155
cell_921,0.89571804
cell_922,0.88741314
cell_923,0.86317337
cell_929,0.80119634
cell_931,0.8207566999999999
cell_932,0.8039996
cell_933,0.8130556999999999
cell_941,0.90385956
cell_945,0.7958596
cell_946,0.8171046
cell_948,0.85270196
cell_950,0.79021734
cell_955,0.86591464
cell_956,0.9628532
cell_958,0.8411824000000001
cell_959,0.937218
cell_961,0.90931433
cell_963,0.79874974
cell_979,0.9545575000000001
cell_982,0.88074374
cell_987,0.9675179
cell_988,0.9083601
cell_989,0.83546567
cell_990,0.9062118
cell_992,0.86464125
cell_994,0.9500629999999999
cell_1007,0.9347101000000001
cell_1012,0.94107115
cell_1015,0.8664983
cell_1020,0.962353
cell_1023,0.8775359
cell_1026,0.79421747
cell_1027,0.78966326
cell_1030,0.7369324
cell_1031,0.91879886
cell_1034,0.9364956
cell_1035,0.9417074000000001
cell_1040,0.89529455
cell_1049,0.89787936
cell_1051,0.7952554000000001
cell_1054,0.85789514
cell_1055,0.910747
cell_1059,0.9537104
cell_1064,0.88355654
cell_1067,0.9591748999999999
cell_1068,0.8958145000000001
cell_1071,0.8780369
cell_1077,0.9295205
cell_1080,0.93238556
cell_1084,0.80943364
cell_1089,0.8406870000000001
cell_1090,0.8279844000000001
cell_1098,0.92668283
cell_1103,0.83093977
cell_1105,0.93748575
cell_1106,0.9692947000000001
cell_1108,0.8153138000000001
cell_1110,0.9147312
cell_1111,0.908323
cell_1113,0.92360234
cell_1116,0.8813810999999999
cell_1118,0.859828
cell_1119,0.942208
cell_1120,0.8235173000000001
cell_1127,0.8279627
cell_1132,0.8659093000000001
cell_1133,0.7958723000000001
cell_1136,1.0
cell_1138,0.8795037
cell_1140,0.8887441999999999
cell_1141,0.844201
cell_1149,0.8553734000000001
cell_1151,0.8334311
cell_1154,0.8828254999999999
cell_1156,0.9046668999999999
cell_1158,0.8515149
cell_1160,0.84015214
cell_1162,0.8687379000000001
cell_1169,0.87040746
cell_1172,0.8975955
cell_1177,0.93580383
cell_1178,0.91840225
cell_1181,0.91413295
cell_1183,0.9196643
cell_1186,0.78477585
cell_1189,0.878183
cell_1193,0.9199973
cell_1194,0.8075324
cell_1196,0.834506
cell_1197,0.91379553
cell_1207,0.84801954
cell_1209,0.8057291
cell_1210,0.7041909000000001
cell_1214,0.86770034
cell_1220,0.9061039000000001
cell_1222,0.8977185999999999
cell_1223,0.9330437
cell_1224,0.92519903
cell_1226,0.8433101999999999
cell_1230,0.91174686
cell_1233,0.8756466
cell_1236,0.85653555
cell_1239,0.8716474
cell_1243,0.87918586
cell_1245,0.87619513
cell_1246,0.9256701999999999
cell_1260,0.82513285
cell_1264,0.8712622
cell_1269,0.8505473
cell_1273,0.8707402
cell_1275,0.8484527000000001
cell_1276,0.8362815
cell_1277,0.97414523
cell_1286,0.90800166
cell_1296,0.8473076999999999
cell_1301,0.7563866
cell_1304,0.8955933
cell_1305,0.85833985
cell_1307,0.82656795
cell_1310,0.8444311
cell_1311,0.8744864999999999
cell_1312,0.89253885
cell_1317,0.72857195
cell_1319,0.9226564
cell_1320,0.9629271999999999
cell_1325,0.9146741
cell_1326,0.77144325
cell_1328,0.91253585
cell_1332,0.7988104
cell_1335,0.9093972
cell_1338,0.91466326
cell_1339,0.9455150999999999
cell_1343,0.8640104999999999
cell_1344,0.93118215
cell_1354,0.86010045
cell_1357,0.78414667
cell_1370,0.93916166
cell_1374,0.7683591999999999
cell_1375,0.8904110000000001
cell_1376,0.80094564
cell_1377,0.7978681
cell_1381,0.83151007
cell_1384,0.9316542
cell_1390,0.8067906
cell_1398,0.9239586
cell_1409,0.8794788
cell_1410,0.96325123
cell_1413,0.95017624
cell_1414,0.93037957
cell_1415,0.92818516
cell_1416,0.8371413000000001
cell_1418,0.9581052
cell_1419,0.8480601000000001
cell_1420,0.9718981
cell_1421,0.9671420000000001
cell_1422,0.7941249
cell_1423,0.7487351999999999
cell_1427,0.8098970999999999
cell_1433,0.9602908000000001
cell_1434,0.775361
cell_1437,0.79708165
cell_1442,0.95975244
cell_1444,0.9115211999999999
cell_1447,0.9731168
cell_1453,0.9571648000000001
cell_1455,0.8083541
cell_1456,0.93005043
cell_1462,0.8677403
cell_1463,0.84924865
cell_1465,0.88989043
cell_1472,0.9428645
cell_1473,0.8698020000000001
cell_1477,0.8150058000000001
cell_1481,0.87441456
cell_1483,0.97370833
cell_1484,0.77051693
cell_1486,0.8444634
cell_1487,0.8665134
cell_1494,0.8686792
cell_1495,0.8524710999999999
cell_1497,0.8204374
cell_1499,0.93214303
cell_1500,0.8721148000000001
cell_1504,0.9292722
cell_1505,0.91796136
cell_1506,0.80558306
cell_1510,0.92625207
cell_1513,0.73442775
cell_1515,0.91820604
cell_1519,0.8903039
cell_1520,0.9320864999999999
cell_1522,0.82962364
cell_1523,0.92658097
cell_1525,0.8542059000000001
cell_1526,0.79233515
cell_1527,0.84747905
cell_1528,0.7658630999999999
