,pseudotime0,pseudotime1,pseudotime2
cell_0,,,0.64335704
cell_1,0.021075573,,
cell_2,0.068059936,,
cell_3,0.1516158,,
cell_4,,0.92816055,
cell_5,,,0.29204616
cell_6,,0.81944054,
cell_7,0.18679327,,
cell_8,,,0.37627944
cell_9,,0.93531346,
cell_10,,,0.6612281
cell_11,0.021262312,,
cell_12,,,0.5948436
cell_13,0.07528798,,
cell_14,,,0.27209714
cell_15,,0.9147481,
cell_16,,,0.2851908
cell_17,,,0.39308488
cell_18,,,0.59992784
cell_19,,0.8819233,
cell_20,,,0.60218763
cell_21,,0.7724474,
cell_22,,0.8206983,
cell_23,,0.92066276,
cell_24,,0.9477458,
cell_25,,0.83721155,
cell_26,0.179522,,
cell_27,,0.9090593,
cell_28,,0.9471708,
cell_29,,,0.64505273
cell_30,,0.8692163,
cell_31,0.13423258,,
cell_32,,,0.63996446
cell_33,0.008875771,,
cell_34,0.10473526,,
cell_35,0.085962854,,
cell_36,,0.8944964,
cell_37,,0.88964045,
cell_38,,,0.44907665
cell_39,,0.9595955,
cell_40,,,0.48660186
cell_41,,0.89169675,
cell_42,0.21925333,,
cell_43,,,0.70114493
cell_44,0.16335134,,
cell_45,0.1267458,,
cell_46,0.19024713,,
cell_47,0.21800333,,
cell_48,,0.9854261,
cell_49,,0.9369614,
cell_50,0.028761543,,
cell_51,,,0.40732542
cell_52,0.07064405,,
cell_53,,0.9168788,
cell_54,0.21829094,,
cell_55,,,0.67260987
cell_56,,0.94696844,
cell_57,0.04915255,,
cell_58,,0.9181837,
cell_59,,0.79987794,
cell_60,,0.77654016,
cell_61,,,0.62139726
cell_62,,,0.5940839
cell_63,0.021870883,,
cell_64,,,0.41989437
cell_65,0.021991368,,
cell_66,,0.8812283,
cell_67,,0.8045254,
cell_68,0.18918161,,
cell_69,0.16567913,,
cell_70,0.076987304,,
cell_71,,0.9583025,
cell_72,,0.82062465,
cell_73,,0.88433784,
cell_74,,,0.44632992
cell_75,,,0.64695764
cell_76,,,0.24411339
cell_77,,,0.6621372
cell_78,,0.75723064,
cell_79,,0.86675155,
cell_80,,,0.3316715
cell_81,,,0.24315228
cell_82,0.0962383,,
cell_83,,0.91021276,
cell_84,,,0.24436848
cell_85,,,0.31985703
cell_86,0.0024616253,,
cell_87,,0.8457626,
cell_88,0.053124156,,
cell_89,0.18069255,,
cell_90,,,0.41193005
cell_91,0.1626538,,
cell_92,0.1710189,,
cell_93,,0.90725225,
cell_94,0.05073104,,
