,x_g1,x_g2,x_g3,x_g4,x_g5,x_g6,x_g7,x_g8,x_g9,x_g10,x_g11
0,0.0397735,0.26531792,0.56197214,-0.39312834,-0.85272706,0.30399486,0.43606004,0.72201985,0.9970955,1.0513933,-0.0007864943
1,0.941616,0.7993352,-2.2868624,-0.20978835,1.1645342,-0.9329662,0.93068284,-2.0264733,-1.0545065,-0.63118696,0.63338816
2,0.74226874,0.6867027,0.6470745,1.5963483,0.788245,0.1504038,0.575503,-0.0771741,-1.1392659,-0.60829383,-0.4791582
3,0.5558757,0.69469714,0.64105415,2.3003185,-0.42791322,0.75358075,0.87844104,-2.041437,-1.6939635,-0.2901345,-0.5320887
4,-1.6375066,-1.1039679,-2.3111525,-1.3378664,-0.22869624,0.08368893,-0.9772207,0.8412133,1.0260981,1.2444187,1.4813185
5,0.5824261,0.49134302,0.4825228,-0.15355667,1.0986719,-0.64980614,2.495207,0.7383746,-1.1570071,-1.3461335,-0.43839982
6,-1.9728163,-0.094678134,0.3200653,-1.3193809,0.14347793,-0.0085532125,0.03788593,0.9560712,0.91029066,1.2147332,0.8132188
7,0.737428,0.52375257,0.6998539,2.0842085,-0.58133096,1.4872833,0.88001734,-1.2815021,-1.2092804,-1.7914529,-0.14147975
8,0.5036464,0.47664905,0.5658786,0.9323459,0.23653297,0.75516194,1.3749118,0.6920399,0.8650683,-0.41493067,-0.5288843
9,-1.3909495,-2.81274,-1.4091718,-0.9944622,-0.56483954,-0.23408598,-0.36896986,0.74230975,1.0826803,1.308687,1.4230918
10,-0.57840604,0.4047802,0.53500414,0.096850805,-1.5681678,1.0984674,-0.38583627,0.7655479,0.9879299,1.0144212,-0.55452067
11,1.0160465,0.729845,-1.994288,-0.9265451,-0.99412936,-1.1681284,0.06427326,-1.6983202,-0.073605455,-0.31242234,-1.4202284
12,0.35690162,0.5098755,0.4562745,-1.3521482,0.17676134,-0.3122116,0.38631892,0.6870068,0.9469495,0.8041983,-0.21949832
13,0.70881253,0.6175725,0.8764914,0.8704793,0.042935852,-0.60972565,-0.93753654,-1.0479097,-0.6498136,0.07370043,-0.97935975
14,0.6120708,0.3453914,0.537162,-0.50452036,1.572213,-0.16280457,2.422515,0.7430234,-1.7244836,0.0343819,-0.007843169
15,-1.4865776,-2.664944,-1.3336844,-0.030827552,0.7094662,1.0703871,-0.35576174,0.9034301,0.856524,1.2104325,1.5557414
16,0.5057428,0.39397457,0.5816017,2.1083133,0.039326653,2.4055772,0.38778013,0.48193988,-1.0972321,-0.37197638,-1.3875626
17,0.5412959,0.40354362,0.5010261,-0.3354321,0.08647019,2.4061842,0.5420913,0.81501436,-0.7988158,0.13237375,-0.6593831
18,0.21759453,0.416733,0.5581397,-0.23227994,-1.140878,-1.1241615,0.57881624,0.803347,0.8916669,0.87617666,-0.5647046
19,-1.6482441,-1.6831849,0.59187967,-0.38990712,-0.4709266,0.37513027,0.88263637,0.8363272,0.73590493,1.0916281,1.4385974
20,0.4903552,0.32888925,0.510548,-0.41889504,-0.7699726,-0.844665,-1.4848566,0.90669125,0.8341703,0.5213623,-0.88859355
21,0.011001363,-0.028938487,0.54319805,-0.853888,-0.39790204,0.4412046,-0.9822246,0.7567593,1.0458566,1.0467294,0.74353945
22,-1.9474363,-1.1199489,0.29259446,-0.33108306,0.066596195,-0.54943997,0.8750298,0.8105227,0.9396306,1.161281,1.4278291
23,-0.7473699,-2.5373442,-0.9528593,-0.16932496,-0.9068672,-0.0042432034,-0.25219604,0.76702875,1.0512536,1.2840419,1.4469482
24,-1.0465039,-1.4213408,-1.2967812,0.8972697,-0.9476653,-0.9521872,0.30512607,0.9124302,1.0549582,1.2828743,1.233671
25,-1.3273208,-1.6246078,0.6831537,-0.65085393,0.14029782,-0.7386631,-0.9162763,0.6950285,0.8869783,1.1435112,1.3429636
26,0.60558975,0.63665843,0.63163614,0.7399093,2.3668575,-0.8515128,0.7304252,-0.6251511,-0.5513874,-0.4284801,-0.62887084
27,-0.9500102,-2.3812356,-0.5660786,-0.23161341,0.3557567,-0.38639545,-0.6084581,0.8633443,1.0064813,1.1877457,1.4917295
28,-1.8475062,-2.5387514,0.042621642,0.8263845,-0.8177491,0.55104923,0.27140132,0.7383231,1.0181396,1.1766956,1.4849347
29,-0.07780102,0.39588353,0.592213,-1.353164,-0.061689597,-1.4304196,-0.5712602,0.82372266,0.7682566,1.1099217,-0.7430277
30,-0.6220305,-1.1752456,0.6247375,-0.9869472,-1.6489716,-0.0038519017,-0.8967377,0.702644,0.9871037,1.1020992,1.297094
31,0.7884722,0.59698594,0.6376136,0.3222946,1.9056033,-0.42097116,-0.06101353,-1.0938482,-0.24766701,0.17620592,-0.11988862
32,-0.006329979,0.34562868,0.52919674,0.3033143,-0.68671733,-0.75498945,-1.5637215,0.82052016,0.98551357,0.9471773,-0.65964425
33,0.96083677,0.80557317,-0.91651434,0.37741122,-0.15100119,-0.43557867,0.6555791,-1.7468379,-0.62419504,-0.3297377,-0.7601575
34,0.78230095,0.72236484,0.57351553,1.4719284,0.10784597,0.85639334,-0.16695632,-1.3406305,-0.46426705,-0.67959976,0.13314356
35,1.1809795,-0.9936487,-1.1806228,0.7011646,0.72449523,0.7086402,0.7899608,-0.5049358,-0.31405708,-0.08404078,0.12539284
36,-1.5868559,-1.4383376,-1.3792913,-0.53923243,-0.79974496,-0.63120514,-1.114682,0.89204544,1.0171679,1.1066071,1.5619733
37,-1.291165,-2.1787078,0.17640173,-0.16830511,0.16136707,0.2880941,-1.0779116,0.96318156,0.94919443,1.1700857,1.2591004
38,0.5193455,0.45239666,0.6011674,-0.2797389,-1.1121862,1.4617467,-1.311704,0.6373556,0.9311913,-1.0887125,-1.0522543
39,-1.9453055,-2.050684,-2.8844364,0.29136768,0.5224232,-0.6059271,-0.392952,0.78114665,1.035367,1.2275324,1.5402551
40,0.60453755,0.48079967,0.5577478,0.11321241,0.64471847,0.26367587,-0.06972304,0.8713581,0.5259887,-0.59861577,-0.8225865
41,-1.8416703,-1.3838885,-2.030965,-0.46249837,0.16589765,-0.72059834,-0.75583863,0.77198243,0.99187976,1.3232241,1.4864566
42,0.65395594,0.5439426,0.6360253,2.3223019,-0.631104,1.659351,-1.546164,-1.1922452,-0.39455265,-0.39041758,-0.72644544
43,-0.65044606,0.39587885,0.5236282,-0.72474784,-0.51538795,-1.2829133,-0.22098985,0.66527456,0.9781661,1.1772915,-0.11121465
44,0.65898824,0.6053731,0.6740941,-1.1342368,2.3389902,-0.3827451,-0.41302368,-0.7660376,-0.66603374,-0.77029854,-0.79879934
45,0.6260335,0.7840921,0.6183142,1.9032037,0.52393657,0.10141183,-1.3941286,-1.0053526,-1.0168318,-0.155003,-0.14032681
46,0.5703152,0.54506546,0.57564354,2.52837,-0.45081112,1.4528469,-0.20139785,-0.6247459,-1.8471239,-0.8563873,-0.3883914
47,0.48010266,0.48264036,0.34188566,2.3797565,0.122526735,2.5911317,-0.66043586,-1.1598036,-0.9696342,-0.5163134,-0.6521936
48,-0.59395725,-2.363418,-3.113109,0.3376251,-0.3788848,-0.7049611,0.11792966,0.89101005,0.92954576,1.2348263,1.519953
49,-1.91176,-2.3897455,-1.3526233,0.55704683,-0.44111326,-1.054355,-0.98969537,0.924923,0.9990952,1.1778387,1.4843578
50,1.1470413,0.2902016,-3.0050602,-0.019228503,0.17725699,0.10596442,0.44484165,-1.2663634,-1.604145,-1.246467,-0.13589576
