,pseudotime
4,0.92816055
6,0.81944054
9,0.93531346
15,0.9147481
19,0.8819233
21,0.7724474
22,0.8206983
23,0.92066276
24,0.9477458
25,0.83721155
27,0.9090593
28,0.9471708
30,0.8692163
36,0.8944964
37,0.88964045
39,0.9595955
41,0.89169675
48,0.9854261
49,0.9369614
53,0.9168788
56,0.94696844
58,0.9181837
59,0.79987794
60,0.77654016
66,0.8812283
67,0.8045254
71,0.9583025
72,0.82062465
73,0.88433784
78,0.75723064
79,0.86675155
83,0.91021276
87,0.8457626
93,0.90725225
95,0.8289089
100,0.93226933
103,0.93572944
109,0.73045415
114,0.84689
117,0.8232265
118,0.89963067
120,0.8404025
123,0.93868774
127,0.79482126
133,0.7854251
140,0.83074397
144,0.8679302
147,0.84487855
152,0.8887783
154,0.749684
156,0.91621614
157,0.89062876
159,0.83510685
160,0.8682037
169,0.9473582
170,0.8437133
180,0.939087
181,0.9265608
183,0.96231544
193,0.93825334
196,0.86160916
199,0.7916532
204,0.81576663
205,0.876104
207,0.7881596
214,0.80711865
215,0.83283186
220,0.83930904
227,0.9442251
231,0.9305331
233,0.82617474
242,0.7697227
246,0.8340665
250,0.7969098
251,0.90881014
252,0.7221841
254,0.9739228
257,0.9113559
261,0.82005143
271,0.9488109
276,0.8617549
279,0.8717982
285,0.87488705
287,0.72472256
290,0.82299143
291,0.91599566
293,0.93309546
294,0.9530565
295,0.89873135
297,0.923683
298,0.95442057
302,0.9279247
308,0.89170814
313,0.87388706
316,0.93922997
322,0.85379034
325,0.8384113
327,0.909416
328,0.9716196
331,0.8283458
334,0.7719919
336,0.95736104
340,0.8086225
341,0.7634171
342,0.7550388
343,0.9498982
348,0.7978114
351,0.93610835
352,0.91830343
360,0.82685447
361,0.87848276
366,0.7960195
367,0.923359
368,0.949901
369,0.90495956
383,0.7964852
385,0.8961895
391,0.87412107
392,0.9194124
393,0.7855413
398,0.95292246
402,0.81187475
404,0.9413933
405,0.9446471
408,0.92478144
410,0.9606363
418,0.91817725
427,0.91671145
433,0.9550544
442,0.91971874
443,0.96873885
444,0.9106846
449,0.9491551
455,0.8589074
456,0.87936276
459,0.9240433
461,0.9462236
467,0.871706
469,0.9884196
472,0.84322375
474,0.91523916
476,0.94469076
480,0.85558677
483,0.9204077
484,0.97047
