,x_g1,x_g2,x_g3,x_g4,x_g5,x_g6,x_g7,x_g8,x_g9,x_g10,x_g11
0,0.0397735,0.26531792,0.56197214,-0.39312834,-0.85272706,0.30399486,0.43606004,0.72201985,0.9970955,1.0513933,-0.0007864943
5,0.5824261,0.49134302,0.4825228,-0.15355667,1.0986719,-0.64980614,2.495207,0.7383746,-1.1570071,-1.3461335,-0.43839982
8,0.5036464,0.47664905,0.5658786,0.9323459,0.23653297,0.75516194,1.3749118,0.6920399,0.8650683,-0.41493067,-0.5288843
10,-0.57840604,0.4047802,0.53500414,0.096850805,-1.5681678,1.0984674,-0.38583627,0.7655479,0.9879299,1.0144212,-0.55452067
12,0.35690162,0.5098755,0.4562745,-1.3521482,0.17676134,-0.3122116,0.38631892,0.6870068,0.9469495,0.8041983,-0.21949832
14,0.6120708,0.3453914,0.537162,-0.50452036,1.572213,-0.16280457,2.422515,0.7430234,-1.7244836,0.0343819,-0.007843169
16,0.5057428,0.39397457,0.5816017,2.1083133,0.039326653,2.4055772,0.38778013,0.48193988,-1.0972321,-0.37197638,-1.3875626
17,0.5412959,0.40354362,0.5010261,-0.3354321,0.08647019,2.4061842,0.5420913,0.81501436,-0.7988158,0.13237375,-0.6593831
18,0.21759453,0.416733,0.5581397,-0.23227994,-1.140878,-1.1241615,0.57881624,0.803347,0.8916669,0.87617666,-0.5647046
20,0.4903552,0.32888925,0.510548,-0.41889504,-0.7699726,-0.844665,-1.4848566,0.90669125,0.8341703,0.5213623,-0.88859355
29,-0.07780102,0.39588353,0.592213,-1.353164,-0.061689597,-1.4304196,-0.5712602,0.82372266,0.7682566,1.1099217,-0.7430277
32,-0.006329979,0.34562868,0.52919674,0.3033143,-0.68671733,-0.75498945,-1.5637215,0.82052016,0.98551357,0.9471773,-0.65964425
38,0.5193455,0.45239666,0.6011674,-0.2797389,-1.1121862,1.4617467,-1.311704,0.6373556,0.9311913,-1.0887125,-1.0522543
40,0.60453755,0.48079967,0.5577478,0.11321241,0.64471847,0.26367587,-0.06972304,0.8713581,0.5259887,-0.59861577,-0.8225865
43,-0.65044606,0.39587885,0.5236282,-0.72474784,-0.51538795,-1.2829133,-0.22098985,0.66527456,0.9781661,1.1772915,-0.11121465
51,0.58841735,0.40194646,0.49813676,-0.735459,-0.6420367,2.4271896,-0.27388063,0.8000943,-0.53887373,-0.91762656,-1.3603135
55,-0.62474364,0.5226449,0.49767107,-0.0017025258,-0.90841824,-0.65294564,-0.039451297,0.7744127,0.88213515,1.0867492,-0.57205623
