,pseudotime2
cell_0,0.64335704
cell_5,0.29204616
cell_8,0.37627944
cell_10,0.6612281
cell_12,0.5948436
cell_14,0.27209714
cell_16,0.2851908
cell_17,0.39308488
cell_18,0.59992784
cell_20,0.60218763
cell_29,0.64505273
cell_32,0.63996446
cell_38,0.44907665
cell_40,0.48660186
cell_43,0.70114493
cell_51,0.40732542
cell_55,0.67260987
cell_61,0.62139726
cell_62,0.5940839
cell_64,0.41989437
cell_74,0.44632992
cell_75,0.64695764
cell_76,0.24411339
cell_77,0.6621372
cell_80,0.3316715
cell_81,0.24315228
cell_84,0.24436848
cell_85,0.31985703
cell_90,0.41193005
cell_96,0.52480245
cell_97,0.5368536
cell_98,0.615896
cell_105,0.47941455
cell_106,0.58346087
cell_110,0.26123276
cell_112,0.51844263
cell_113,0.6253655
cell_115,0.5215619
cell_116,0.42157102
cell_121,0.61213964
cell_122,0.25102445
cell_124,0.23716883
cell_125,0.6615022
cell_128,0.35453936
cell_130,0.4999508
cell_132,0.71851695
cell_137,0.53015506
cell_151,0.4784513
cell_162,0.67375994
cell_167,0.5453852
cell_172,0.52149236
cell_175,0.48562354
cell_178,0.6295603
cell_182,0.24972177
cell_184,0.6086877
cell_188,0.46901318
cell_191,0.271741
cell_194,0.24486293
cell_195,0.6038728
cell_197,0.24395394
cell_198,0.60523397
cell_206,0.47269863
cell_208,0.39311683
cell_211,0.2272444
cell_212,0.48242342
cell_216,0.2884536
cell_217,0.5802232
cell_218,0.25066638
cell_222,0.35036555
cell_223,0.6551983
cell_224,0.27392152
cell_232,0.49885416
cell_236,0.6425123
cell_238,0.5566601
cell_240,0.5990172
cell_241,0.6144277
cell_243,0.6103053
cell_245,0.46880427
cell_248,0.6207837
cell_253,0.6585454
cell_263,0.6458599
cell_264,0.5599258
cell_268,0.24541485
cell_270,0.28443602
cell_272,0.7156311
cell_281,0.45383573
cell_286,0.4430274
cell_289,0.44055173
cell_299,0.23626809
cell_300,0.60186535
cell_303,0.5985267
cell_304,0.59948707
cell_311,0.24308647
cell_314,0.30635762
cell_320,0.39861223
cell_321,0.57428014
cell_323,0.48149475
cell_326,0.4157927
cell_329,0.38984743
cell_333,0.5998904
cell_335,0.5926904
cell_339,0.27167842
cell_344,0.25524822
cell_346,0.48057094
cell_349,0.4633408
cell_362,0.3371365
cell_363,0.2519123
cell_364,0.6857994
cell_365,0.22707395
cell_371,0.45734653
cell_373,0.23203976
cell_374,0.37787834
cell_375,0.6706688
