Gene,StateA,StateB
g4,cell_0,cell_1
g5,cell_0,cell_2
g2,cell_0,cell_25
g4,cell_1,cell_0
g3,cell_1,cell_4
g2,cell_1,cell_164
g5,cell_2,cell_0
g1,cell_2,cell_41
g2,cell_2,cell_310
g3,cell_4,cell_1
g2,cell_4,cell_26
g5,cell_4,cell_741
g4,cell_6,cell_7
g1,cell_6,cell_17
g5,cell_6,cell_52
g3,cell_6,cell_492
g6,cell_6,cell_504
g4,cell_7,cell_6
g3,cell_7,cell_8
g6,cell_7,cell_106
g5,cell_7,cell_562
g1,cell_7,cell_948
g3,cell_8,cell_7
g6,cell_8,cell_19
g5,cell_8,cell_139
g1,cell_8,cell_317
g4,cell_8,cell_492
g5,cell_11,cell_17
g6,cell_11,cell_26
g3,cell_11,cell_48
g1,cell_11,cell_52
g1,cell_17,cell_6
g5,cell_17,cell_11
g4,cell_17,cell_948
g6,cell_17,cell_1140
g6,cell_19,cell_8
g2,cell_19,cell_41
g3,cell_19,cell_106
g1,cell_19,cell_310
g2,cell_25,cell_0
g4,cell_25,cell_164
g3,cell_25,cell_170
g5,cell_25,cell_310
g6,cell_25,cell_528
g2,cell_26,cell_4
g6,cell_26,cell_11
g3,cell_26,cell_164
g4,cell_26,cell_170
g1,cell_26,cell_554
g5,cell_26,cell_1140
g1,cell_41,cell_2
g2,cell_41,cell_19
g3,cell_48,cell_11
g6,cell_48,cell_164
g1,cell_48,cell_330
g4,cell_48,cell_528
g5,cell_52,cell_6
g1,cell_52,cell_11
g3,cell_52,cell_330
g6,cell_52,cell_554
g4,cell_52,cell_562
g6,cell_106,cell_7
g3,cell_106,cell_19
g4,cell_106,cell_504
g5,cell_139,cell_8
g4,cell_139,cell_330
g1,cell_139,cell_528
g3,cell_139,cell_562
g2,cell_164,cell_1
g4,cell_164,cell_25
g3,cell_164,cell_26
g6,cell_164,cell_48
g1,cell_164,cell_423
g3,cell_170,cell_25
g4,cell_170,cell_26
g2,cell_310,cell_2
g1,cell_310,cell_19
g5,cell_310,cell_25
g6,cell_310,cell_317
g1,cell_317,cell_8
g6,cell_317,cell_310
g5,cell_317,cell_528
g3,cell_317,cell_948
g1,cell_330,cell_48
g3,cell_330,cell_52
g4,cell_330,cell_139
g6,cell_330,cell_423
g5,cell_330,cell_492
g1,cell_423,cell_164
g6,cell_423,cell_330
g3,cell_423,cell_554
g3,cell_492,cell_6
g4,cell_492,cell_8
g5,cell_492,cell_330
g6,cell_504,cell_6
g4,cell_504,cell_106
g5,cell_504,cell_554
g1,cell_504,cell_1140
g6,cell_528,cell_25
g4,cell_528,cell_48
g1,cell_528,cell_139
g5,cell_528,cell_317
g1,cell_554,cell_26
g6,cell_554,cell_52
g3,cell_554,cell_423
g5,cell_554,cell_504
g5,cell_562,cell_7
g4,cell_562,cell_52
g3,cell_562,cell_139
g5,cell_741,cell_4
g2,cell_741,cell_1140
g1,cell_948,cell_7
g4,cell_948,cell_17
g3,cell_948,cell_317
g6,cell_1140,cell_17
g5,cell_1140,cell_26
g1,cell_1140,cell_504
g2,cell_1140,cell_741
