,g1,g2,g3,g4,g5,g6
cell_0,True,False,True,True,False,True
cell_1,True,False,True,False,False,True
cell_2,True,False,True,True,True,True
cell_4,True,False,False,False,False,True
cell_6,False,True,False,False,True,False
cell_7,False,True,False,True,True,False
cell_8,False,True,True,True,True,False
cell_11,True,True,False,False,False,False
cell_17,True,True,False,False,True,False
cell_19,False,True,True,True,True,True
cell_25,True,True,True,True,False,True
cell_26,True,True,False,False,False,True
cell_41,False,False,True,True,True,True
cell_48,True,True,True,False,False,False
cell_52,False,True,False,False,False,False
cell_106,False,True,False,True,True,True
cell_139,False,True,True,True,False,False
cell_164,True,True,True,False,False,True
cell_170,True,True,False,True,False,True
cell_310,True,True,True,True,True,True
cell_317,True,True,True,True,True,False
cell_330,False,True,True,False,False,False
cell_423,False,True,True,False,False,True
cell_492,False,True,True,False,True,False
cell_504,False,True,False,False,True,True
cell_528,True,True,True,True,False,False
cell_554,False,True,False,False,False,True
cell_562,False,True,False,True,False,False
cell_741,True,False,False,False,True,True
cell_948,True,True,False,True,True,False
cell_1140,True,True,False,False,True,True
