,x_g1,x_g2,x_g3,x_g4,x_g5,x_g6
0,0.8810919,-1.5211449,0.81394047,0.7048148,-1.522802,0.8656729
1,1.0700468,-0.10745898,0.5992744,-1.8466493,-1.9635687,0.99727607
2,0.37880605,-1.4443008,0.798364,0.694573,0.69933414,0.87170327
3,0.45442465,-1.5216167,0.63497955,0.7763348,0.75454223,0.8226024
4,1.0811995,-1.6180089,-0.012206096,-0.44357267,-2.5347693,1.1304573
5,0.7280982,-2.0340614,0.79896945,0.6263159,0.5554727,0.8192378
6,-0.5200758,0.8311064,-1.3547386,-0.6256476,1.0612211,-2.1832352
7,-1.531252,0.8450855,-2.0563197,0.42977262,0.9481537,-1.3279655
8,-2.0893466,0.6378751,0.73137397,0.7154707,0.80740505,-0.6939031
9,-0.21186827,1.1208563,-0.9790711,-2.2968495,0.044606347,-1.0354009
10,0.69576675,-2.0673568,0.8453043,0.76858824,0.016420666,0.90080005
11,1.1212362,0.7789375,-0.44779935,-0.6565377,-0.6123329,-0.55389565
12,-0.3514446,0.8597035,-0.4629827,-0.2920638,0.9962052,-0.6218843
13,0.8553372,-1.2932961,0.9157065,0.6384373,-0.9180232,0.8436934
14,-1.9795996,0.6690028,0.4105785,0.78034204,0.8674182,-1.3269446
15,0.7703227,-1.6317114,0.8107018,0.7137702,0.14055352,0.88224834
16,-0.40091926,0.9453982,-1.5974056,-0.7080796,0.89755225,-0.26540872
17,0.9727775,0.7732679,-0.9005573,-0.88748914,0.6589834,-1.0910746
18,0.95140594,0.9474914,-1.0004729,-0.5717261,-0.6285748,-0.9908822
19,-0.14875808,0.011293117,0.83447737,0.698458,0.820728,0.68063325
20,-0.89541024,0.8960939,-1.1347934,-0.94616395,1.0005981,-1.346875
21,0.45185345,-0.09343647,0.795587,0.677051,0.7560497,0.6835178
22,-0.79903597,0.65168625,0.8720925,0.6654986,0.72054905,-1.2663912
23,0.93558246,0.9580041,-0.38197917,-0.8335124,-1.7547089,-0.8152795
24,-1.1097276,0.2542133,0.84409344,0.81117266,0.7400415,0.5526595
25,0.94169736,0.58878887,0.8838469,0.115416095,-1.1842889,0.2919166
26,1.0869633,0.7668227,-1.7557044,-1.4928429,-1.430107,0.49555776
27,0.86072695,0.638703,0.89686614,0.19898474,-0.8141039,0.3442868
28,0.96825236,-0.39940244,0.6776862,-1.8603941,-0.53830266,1.107501
29,-0.46331456,0.5315683,0.48136568,0.9779926,0.74529225,-0.53008515
30,0.9963479,0.93328303,-1.9279935,-1.9198194,-0.8716093,-0.8064723
31,-1.4898133,0.93466777,-0.6290081,-0.5358193,0.9229086,-0.5450695
32,0.9016056,0.6319625,0.76759094,0.35102406,-1.5658386,0.42615962
33,-1.2159703,0.6259562,0.74253404,0.69718623,0.80894053,-0.3019508
34,-1.9995717,0.5519385,0.9515008,0.76808125,0.6422925,-0.41283512
35,-2.0966434,0.2615445,0.7956703,0.7607358,0.88779515,0.30824375
36,1.0106472,-0.6952752,-1.4798722,-1.0255444,-2.54071,1.238904
37,-1.6992934,0.764335,-1.6740485,0.8688212,0.8141676,-1.1667104
38,-1.2486783,0.5530457,0.8997625,0.7946553,0.6846472,-0.6724301
39,0.09893372,1.1106431,-2.488644,-1.4532006,0.0025171384,-0.5357674
40,0.004605635,-0.63767934,0.8697018,0.7590983,0.7523819,0.7618135
41,-0.8678522,-1.6975273,0.72533894,0.79982626,0.8062455,0.8712933
42,-0.26436067,0.1936313,0.8288841,0.67232734,0.73207164,0.7859576
43,0.82206655,-1.6772285,0.94680345,0.58299,-0.7847419,0.88853604
44,-0.745518,0.7902683,-1.0690061,0.7734561,0.84382755,-0.80974114
45,0.2309807,-1.8201712,0.85512215,0.5907687,0.68721646,0.95307416
46,0.77824223,-1.2033575,0.8630832,0.790788,-0.43912944,0.832913
47,-0.07982767,-2.455673,0.9147292,0.66524166,0.7411761,0.8545919
48,0.90970397,0.70578575,0.9906917,-1.3167741,-1.1318599,-0.9775586
49,0.9996436,0.9176902,-1.0800848,-1.3130286,-0.32256246,-1.1993794
50,1.1325388,-0.316524,-0.7047262,-1.7130687,-1.2173921,1.0819405
51,0.69391334,-1.729641,0.7818398,0.7196831,0.4938435,0.8292584
52,-1.3846554,1.1441555,-0.39338043,-1.7425889,-1.0254116,-1.5084149
53,-0.3759821,0.77426547,-0.035377137,0.620044,0.9071499,-2.021736
54,1.0502913,-0.14749643,0.73076653,-1.5031157,-1.4592444,0.9676865
55,-0.65389735,0.7597988,-2.8279345,0.8579957,0.82570785,-2.4262319
56,0.8670716,-1.2716578,0.96331275,0.24400029,-0.60861117,0.9555169
57,-1.7565486,0.8690445,-1.6697211,0.044116743,0.99088913,-1.3230972
58,-0.7721258,-0.0997591,0.88562983,0.70819485,0.7302757,0.8196857
59,-0.6574777,0.72577494,-1.4649829,0.966801,0.74381113,-1.1385018
60,-0.63925326,0.4701771,1.0145968,0.68279374,0.65315,0.0955275
61,-1.0183661,0.844689,-1.2177591,0.39396462,0.9536973,-1.3890654
62,0.9243379,0.11367337,0.7538358,0.3410521,-1.732823,0.93021506
63,0.7979783,-1.9393568,1.0067745,0.29666528,-1.6320893,0.98260057
64,-1.0811659,-0.99776405,0.88481116,0.76576513,0.61510384,0.94548345
65,1.0709,0.43444437,-0.24691914,-1.1288375,-1.667027,0.9837921
66,0.24888255,1.1006085,-0.12182292,-1.6813644,-0.23395738,-1.9509358
67,-0.9187427,0.737235,0.013191085,0.9561881,0.67624,-1.7835634
68,0.83163625,-1.0786393,0.8170661,0.7728602,-0.06895154,0.78316164
69,0.8127268,-1.7094214,0.7461834,0.65367186,0.18431853,0.9219437
70,-2.093589,0.68839085,-0.043697238,0.92074174,0.8074283,-2.1483326
71,-2.1440818,1.0161761,-0.868439,-1.3621975,0.78569484,-1.2487032
72,-1.179119,0.98615605,-1.8664539,-1.5470262,0.8617343,-0.8612392
73,-1.4471773,0.5238556,0.85949993,0.783184,0.68699104,0.19617888
74,-1.1051466,0.6253665,-0.7540989,0.8944896,0.9236235,-1.2443706
75,-1.1141108,0.7529614,0.06627771,0.9332615,0.6723719,-1.1160793
76,0.9155612,0.98169327,-1.4000655,-1.3178449,-1.2777168,-0.8042526
77,-1.2227852,0.72733074,-1.5148809,0.72967947,0.95480543,-1.9528731
78,-0.8552864,0.66045743,0.41052252,0.7974989,0.85757685,-1.2737062
79,-1.6085511,0.91213876,-0.61649275,-0.10495705,0.9269232,-0.4236994
80,0.7912752,-0.99969345,0.70853966,0.773068,-0.8688225,0.96902466
81,0.4882587,-2.0208468,0.7844313,0.67665094,0.7019401,0.8469474
82,1.0537579,-0.6479946,0.56289095,-1.9681345,-2.0885646,1.0751885
83,1.135225,0.61612123,-0.9470377,-2.0729163,-1.053336,0.66942257
84,0.99059176,0.9409084,-1.4593887,-1.3140545,-1.5169494,-1.5372027
85,-1.6848763,0.7851588,-0.6252211,0.9002071,0.73500043,-1.9614381
86,-1.5629019,0.57396394,0.83282053,0.8072711,0.70560974,-0.3770748
87,0.8817781,0.69834876,0.95519894,-0.26492277,-1.382353,-0.033459008
88,-1.1112376,0.75701344,0.13708702,0.8759565,0.72700214,-0.9937777
89,1.0327215,-0.39550406,0.79138184,-2.0612597,-1.6559122,0.9878809
90,-1.1264992,0.55664086,0.7436001,0.80115956,0.81404865,-1.6323683
91,0.7823247,-0.5955412,0.8305642,0.5955711,-0.9021562,1.0028766
92,0.9118075,-0.17806414,0.35623515,0.61044747,-0.6380159,1.0338832
93,0.7360479,-0.9595903,0.9049852,0.39331934,0.5918787,0.8088127
94,0.9366193,-1.6142955,0.92822033,0.4857476,-2.3423467,0.8212944
95,-0.87193304,0.84914833,-1.6811364,-0.06892331,1.0202763,-1.1147232
96,1.0915722,0.7824869,-1.4967319,-0.99074155,-1.2363849,0.36043411
97,-0.6925334,-0.80249816,0.88342357,0.7246015,0.67149305,0.92805594
98,0.932141,0.015098468,0.78741205,0.11080429,-1.221221,0.9804475
