,pseudotime0,pseudotime1,pseudotime2,pseudotime3
cell_0,,,0.4279519,
cell_1,,0.077156566,,
cell_2,,,0.5222067,
cell_3,,,,0.80172276
cell_4,0.66934985,,,
cell_5,,,0.35982513,
cell_6,,0.1648581,,
cell_7,0.61525667,,,
cell_8,0.6852997,,,
cell_9,0.4345485,,,
cell_10,0.6539128,,,
cell_11,,,,0.52485144
cell_12,0.69843775,,,
cell_13,,,0.4534037,
cell_14,0.52891225,,,
cell_15,0.5399909,,,
cell_16,0.6271158,,,
cell_17,0.71146464,,,
cell_18,0.6815645,,,
cell_19,,0.14063631,,
cell_20,0.7366444,,,
cell_21,0.69138753,,,
cell_22,,,0.3730358,
cell_23,,,0.5171495,
cell_24,,,0.44203082,
cell_25,0.6185853,,,
cell_26,,,0.4852865,
cell_27,0.3599332,,,
cell_28,,,0.47060812,
cell_29,,0.25004232,,
cell_30,0.7300799,,,
cell_31,,0.12963136,,
cell_32,,0.058120225,,
cell_33,,,0.5522325,
cell_34,,,0.430421,
cell_35,,,,0.33947435
cell_36,,0.15468615,,
cell_37,,,0.5002369,
cell_38,0.54875696,,,
cell_39,0.68177617,,,
cell_40,0.60008705,,,
cell_41,0.57522255,,,
cell_42,0.6901327,,,
cell_43,0.71351236,,,
cell_44,,,,0.40305492
cell_45,0.6960046,,,
cell_46,,0.02615011,,
cell_47,,,,0.5674099
cell_48,,,0.4375991,
cell_49,0.6743335,,,
cell_50,,,0.5108243,
cell_51,,,0.50717926,
cell_52,,,0.35972372,
cell_53,,,0.46133274,
cell_54,,0.029066276,,
cell_55,,0.16229624,,
cell_56,0.63725,,,
cell_57,,,,0.4766187
cell_58,,0.21817237,,
cell_59,,0.050835367,,
cell_60,0.4096786,,,
cell_61,,,0.4576298,
cell_62,0.67568004,,,
cell_63,0.686838,,,
cell_64,0.6844214,,,
cell_65,0.6363344,,,
cell_66,,0.055249438,,
cell_67,,,0.52343684,
cell_68,0.70324224,,,
cell_69,,,0.49586418,
cell_70,0.702396,,,
cell_71,0.7038234,,,
cell_72,0.6547647,,,
cell_73,,0.04978911,,
cell_74,,0.21473993,,
cell_75,,,,0.7730582
cell_76,,0.053472623,,
cell_77,0.4934614,,,
cell_78,,,0.48960134,
cell_79,0.52460575,,,
