,pseudotime
4,0.66934985
7,0.61525667
8,0.6852997
9,0.4345485
10,0.6539128
12,0.69843775
14,0.52891225
15,0.5399909
16,0.6271158
17,0.71146464
18,0.6815645
20,0.7366444
21,0.69138753
25,0.6185853
27,0.3599332
30,0.7300799
38,0.54875696
39,0.68177617
40,0.60008705
41,0.57522255
42,0.6901327
43,0.71351236
45,0.6960046
49,0.6743335
56,0.63725
60,0.4096786
62,0.67568004
63,0.686838
64,0.6844214
65,0.6363344
68,0.70324224
70,0.702396
71,0.7038234
72,0.6547647
77,0.4934614
79,0.52460575
80,0.6819666
81,0.683032
83,0.54670596
86,0.6575886
89,0.500254
92,0.47022077
93,0.47419077
94,0.6424734
97,0.6744084
99,0.6427842
103,0.5408065
104,0.58719313
105,0.6965409
106,0.655137
107,0.37154153
109,0.55656993
114,0.41079292
115,0.66989815
116,0.69305384
117,0.61525697
118,0.66242576
120,0.6191499
124,0.6222962
126,0.528302
130,0.4972074
134,0.69461274
136,0.671538
138,0.69866997
141,0.5635724
142,0.41378978
148,0.38423827
150,0.6664099
151,0.5398318
152,0.6655313
154,0.6696468
157,0.5405734
158,0.45925242
160,0.67671466
161,0.7087919
163,0.5252226
164,0.63139796
165,0.593019
167,0.5849654
170,0.44962135
174,0.651898
178,0.6744334
179,0.57002616
181,0.67624646
184,0.66891015
191,0.35468704
192,0.56697345
193,0.47687262
196,0.69026
198,0.69122964
202,0.66928923
203,0.7175565
205,0.67829454
206,0.6969277
207,0.6557796
210,0.5117883
215,0.47138828
216,0.37934107
217,0.39991522
220,0.5021722
223,0.6070826
226,0.66725576
227,0.6439966
229,0.6736872
230,0.66173965
234,0.65079296
240,0.6040584
242,0.625139
245,0.62364215
247,0.5134871
251,0.71039623
252,0.5333197
255,0.6597108
257,0.5367481
259,0.64277637
261,0.5326808
270,0.60474056
271,0.39941072
272,0.5225782
275,0.68578994
281,0.5824635
286,0.70887285
287,0.6927844
288,0.61212724
292,0.70168895
294,0.66126716
296,0.74188536
306,0.6232203
313,0.6356619
314,0.40382197
315,0.3752698
320,0.42213583
321,0.6656285
325,0.52775806
328,0.55702364
331,0.6523379
332,0.5152398
334,0.6317887
335,0.2535223
337,0.59765655
346,0.6414084
348,0.6885424
351,0.6979281
354,0.43580177
355,0.69159794
358,0.5204993
364,0.4815337
366,0.5402927
368,0.4250425
372,0.46519208
384,0.5654186
386,0.3818697
387,0.6913704
388,0.67319024
391,0.5203234
392,0.64807785
395,0.6565346
397,0.67914206
399,0.5546108
403,0.66543627
404,0.5324871
405,0.5036599
411,0.64453256
412,0.7144857
413,0.6582349
415,0.43696067
416,0.6710815
418,0.5418761
420,0.6939152
423,0.36904302
424,0.6650758
425,0.5272397
426,0.6636938
428,0.70041406
442,0.67305386
444,0.6663013
446,0.5679937
447,0.42228994
449,0.63012046
452,0.6538521
461,0.674391
462,0.64489734
463,0.7028628
464,0.5745402
466,0.41868472
467,0.653112
469,0.5881651
470,0.672085
472,0.38614398
473,0.37608233
474,0.6281373
477,0.44568053
478,0.6353092
479,0.470495
481,0.5754331
484,0.66460097
486,0.69543713
487,0.463338
489,0.54171836
490,0.4458012
493,0.37478825
494,0.6449772
496,0.41597572
498,0.6833574
499,0.4555246
502,0.3004402
505,0.65416807
506,0.6740444
507,0.66416925
511,0.59544605
514,0.56305057
515,0.5696991
518,0.6772378
519,0.71458435
523,0.71068114
525,0.6583927
526,0.5571141
530,0.53185433
531,0.42697945
535,0.63716197
536,0.6965172
538,0.6318294
541,0.406975
542,0.6642344
544,0.5724889
546,0.6340612
552,0.43580312
553,0.7382071
560,0.68295765
567,0.45528558
570,0.43424308
574,0.6928307
577,0.6536449
578,0.6553249
580,0.52326846
583,0.38960907
585,0.3816445
586,0.43730974
589,0.56837225
590,0.6985471
592,0.6346815
593,0.6753994
602,0.5848713
605,0.5084438
610,0.4593819
611,0.29316285
612,0.6308694
613,0.57228976
614,0.663615
617,0.613168
621,0.56179637
628,0.7395365
630,0.66383004
633,0.60698587
634,0.4108419
639,0.47902298
640,0.7077435
641,0.7330075
642,0.6083232
645,0.65980405
649,0.5601237
652,0.67109865
653,0.63998926
654,0.67092013
656,0.70082116
657,0.6255563
658,0.59055054
660,0.47590908
661,0.5276482
663,0.50693935
664,0.69815445
671,0.7082177
674,0.67605627
675,0.2673347
676,0.611107
677,0.2697011
683,0.63512725
685,0.51694727
686,0.6281472
690,0.38941762
694,0.6743198
696,0.39092168
698,0.65738744
701,0.6198739
702,0.6788625
703,0.6497447
706,0.616711
709,0.6294648
713,0.71378857
714,0.19286224
715,0.3661955
718,0.38345167
719,0.61847377
720,0.7073571
721,0.658786
724,0.2822214
726,0.5987392
729,0.44367918
731,0.4240013
739,0.64633834
743,0.70157933
746,0.68307006
750,0.48268214
753,0.7134636
754,0.65791667
756,0.64191324
759,0.54109794
762,0.6246755
764,0.70717144
768,0.61920995
769,0.42699245
770,0.6269915
776,0.6701581
777,0.5411152
778,0.6658908
779,0.39168346
781,0.5798467
782,0.4671014
783,0.35096547
789,0.59541255
790,0.47955158
793,0.65179163
800,0.68938243
802,0.49465084
804,0.6161049
807,0.691621
811,0.66797817
813,0.61990994
814,0.70166457
815,0.6334213
818,0.39768198
819,0.62037474
821,0.70385534
824,0.48463845
825,0.661039
827,0.41502804
828,0.63160914
829,0.64334184
831,0.5510048
832,0.56863576
835,0.6742544
836,0.66503143
838,0.6670339
843,0.6695895
845,0.4636427
849,0.66520464
850,0.62455946
852,0.6847295
853,0.3719822
856,0.66015786
858,0.59668905
859,0.66323745
863,0.4320195
865,0.630095
866,0.65520656
867,0.38145176
869,0.6296606
870,0.3910332
871,0.70708907
873,0.6105846
876,0.24906327
882,0.6129062
883,0.5516477
885,0.70577383
888,0.7119684
893,0.73817444
895,0.5656034
899,0.62051994
902,0.55925554
907,0.36483452
914,0.6226953
917,0.5500932
919,0.6781621
922,0.5924645
925,0.68731856
929,0.6410063
930,0.62790865
935,0.6015342
936,0.5389565
938,0.5146066
941,0.39968717
945,0.62247896
948,0.6738381
949,0.45012307
950,0.6849365
953,0.59032893
954,0.66072375
956,0.566205
959,0.6411465
960,0.665952
962,0.55972016
963,0.66555005
965,0.6773087
970,0.6896724
971,0.6994333
972,0.6362907
973,0.57684994
974,0.66044277
978,0.6817905
979,0.55500513
981,0.6451189
983,0.68090755
985,0.34172362
988,0.7026169
989,0.7110738
993,0.6921628
995,0.6397724
996,0.6646379
998,0.68019897
999,0.5027965
1000,0.503083
1001,0.7016025
1003,0.56798625
1005,0.53595656
1009,0.7040188
1012,0.6430968
1014,0.6558698
1015,0.5380551
1016,0.5206742
1021,0.65831137
1024,0.5402434
1025,0.69851136
1027,0.70621014
1030,0.6270739
1037,0.49899444
1040,0.69782054
1043,0.60433376
1044,0.5848224
1046,0.66174436
1047,0.72880644
1050,0.64326805
1058,0.6333414
1062,0.6647713
1063,0.65224814
1064,0.63790077
1066,0.6480121
1068,0.6423632
1069,0.6984916
1071,0.6557496
1072,0.49202982
1073,0.5336084
1074,0.68111163
1075,0.54866713
1077,0.6687148
1081,0.22887716
1083,0.65765524
1084,0.6221799
1089,0.58218646
1090,0.5040052
1091,0.59249085
1092,0.4053175
1093,0.71477854
1094,0.635605
1095,0.5760348
1097,0.7153815
1098,0.61724883
1099,0.57220125
1100,0.54886043
1102,0.67645127
1105,0.6309984
1106,0.5510736
1112,0.29535028
1115,0.66839474
1117,0.5629172
1118,0.607419
1127,0.56595933
1131,0.6996507
