	x_g2	x_g3	x_g4	x_g1	x_g5	x_g6	x_g7	x_g8
cell_0	-0.95469797	-0.026915442	-0.14707257	0.109615386	1.8677753000000001	-0.97473645	0.04007905	0.62360835
cell_1	1.0747173	1.2190875	-0.29218653	0.4035478	-0.69213015	-0.023800949	-1.0662086000000002	0.20496354
cell_2	-1.9461567	-0.6448722	-1.3492076000000002	-1.411728	1.9373398999999998	-0.9622845	-0.6862761	0.5587251
cell_3	-0.17705123	0.28014076	2.6282970000000003	-0.36917397	0.14786732	-0.48292464	0.09875493	-4.047526
cell_4	-0.5404720999999999	-0.33844215	0.099850774	-1.0948756000000002	0.8258894	1.1789178	1.3273036	0.18522607
cell_5	-0.79660624	0.15174939999999998	0.26068389999999997	-0.3650369	0.9302315000000001	-0.22734472	-0.51224345	1.1998718000000002
cell_6	0.72658986	-1.2566389	-0.20811659	1.3859878	0.47417337	-1.468741	-0.37675837	0.37722248
cell_7	0.21829818	0.8436798000000001	-0.7117157	-1.3605716	-1.3881101999999998	1.0734502000000001	1.2851032	0.11695083
cell_8	-0.21923159	-1.7268655	0.20920153	-0.76292664	-0.255892	1.2644387	1.2939663000000001	0.16963123
cell_9	0.8711975000000001	1.0080508	-1.1697197	1.0389378	-1.097953	1.1104684	-0.45703703	-0.4151787
cell_10	-1.3896636	-0.43342529999999996	-0.640174	-0.49178445	-0.49917677	1.1326302	1.3722686000000002	0.28384352
cell_11	0.8544855	1.2236761	2.2504112999999997	-0.61313266	-1.1806357	-0.94934136	-0.10708606	-1.3357204
cell_12	0.06638546	-0.73325384	-0.5026185000000001	-1.6213207	-0.17931049	1.2881896000000002	1.1840613000000002	0.30432454
cell_13	-1.0953888	-0.37267659999999997	0.28943297	0.17627911	1.900795	-1.4998586999999999	-0.08652881	0.5654278
cell_14	0.88805676	0.97770244	-0.014513113999999999	-0.9330251	-0.24732262	1.0981742	1.1438478	-0.43672687
cell_15	0.9021906999999999	1.0471305	-0.29335794	-0.13662335	0.15826584	1.028303	0.93228173	-0.06767191
cell_16	-1.3132538	-0.22193505	-0.39758715	-0.09870854	-1.0391368	1.080509	1.3826798999999999	0.3088708
cell_17	-1.8071828	-1.666418	0.020121513	-0.5898414000000001	-1.4494957	1.2336695	1.1820358	0.49183047
cell_18	-1.1981419	-2.0283515	-0.20578314	-1.0161641	-0.61626786	1.1962454	1.2588674	0.44441864
cell_19	1.0701947	0.802696	0.99046606	1.1033325	-0.20147684	-1.1237682	-0.87890285	0.22867607
cell_20	-0.69358	-0.8027003	-0.2585056	-1.5825307	-1.4617996000000002	1.2636848999999999	1.2876563	0.23162909
cell_21	-1.158307	-1.0189646	-0.7464896	-0.95897233	-1.1529962999999999	1.1821153	1.377895	0.19625832
cell_22	-0.14097205	-0.49870735	-0.99206036	-1.3251297	-0.034534577000000004	-0.4646478	8.667922500000001e-05	1.2612733
cell_23	0.9596756	1.0496413	-1.0263472	0.6443191	1.5915427	-0.45116827	-0.8071335	-0.08041496599999999
cell_24	-1.3028593000000002	1.0343804	0.55540437	-0.580951	1.7439921000000003	-0.40837428	-0.5853813	0.4686263
