Gene,StateA,StateB
g5,cell_1,cell_108
g1,cell_1,cell_146
g4,cell_1,cell_310
g7,cell_1,cell_406
g6,cell_1,cell_483
g8,cell_1,cell_830
g3,cell_6,cell_98
g2,cell_6,cell_282
g6,cell_6,cell_290
g4,cell_6,cell_436
g5,cell_6,cell_547
g7,cell_6,cell_1339
g7,cell_19,cell_32
g5,cell_19,cell_76
g8,cell_19,cell_194
g4,cell_19,cell_222
g1,cell_19,cell_376
g6,cell_19,cell_594
g4,cell_29,cell_32
g1,cell_29,cell_46
g5,cell_29,cell_66
g7,cell_29,cell_222
g6,cell_29,cell_440
g8,cell_29,cell_1229
g8,cell_31,cell_144
g7,cell_31,cell_200
g5,cell_31,cell_280
g2,cell_31,cell_427
g7,cell_32,cell_19
g4,cell_32,cell_29
g8,cell_32,cell_102
g6,cell_32,cell_185
g5,cell_32,cell_318
g3,cell_36,cell_135
g2,cell_36,cell_199
g7,cell_36,cell_343
g6,cell_36,cell_451
g4,cell_36,cell_480
g8,cell_36,cell_1184
g5,cell_36,cell_1605
g1,cell_46,cell_29
g7,cell_46,cell_96
g5,cell_46,cell_623
g6,cell_46,cell_1740
g8,cell_46,cell_1941
g3,cell_54,cell_231
g2,cell_54,cell_248
g1,cell_54,cell_371
g8,cell_54,cell_406
g4,cell_54,cell_476
g7,cell_54,cell_830
g6,cell_54,cell_1231
g5,cell_54,cell_1626
g5,cell_55,cell_188
g2,cell_55,cell_225
g4,cell_55,cell_274
g8,cell_55,cell_291
g1,cell_55,cell_322
g6,cell_55,cell_343
g7,cell_55,cell_451
g3,cell_55,cell_1974
g2,cell_58,cell_101
g7,cell_58,cell_588
g4,cell_58,cell_1836
g6,cell_59,cell_73
g1,cell_59,cell_123
g3,cell_59,cell_291
g5,cell_59,cell_409
g4,cell_59,cell_465
g7,cell_59,cell_1042
g8,cell_59,cell_1974
g5,cell_66,cell_29
g4,cell_66,cell_318
g6,cell_66,cell_406
g7,cell_66,cell_483
g1,cell_66,cell_623
g8,cell_66,cell_1231
g6,cell_73,cell_59
g3,cell_73,cell_280
g1,cell_73,cell_318
g7,cell_73,cell_503
g8,cell_73,cell_557
g4,cell_73,cell_623
g6,cell_74,cell_221
g7,cell_74,cell_984
g3,cell_74,cell_1054
g5,cell_74,cell_1136
g1,cell_74,cell_1836
g5,cell_76,cell_19
g6,cell_76,cell_310
g7,cell_76,cell_318
g4,cell_76,cell_483
g1,cell_76,cell_503
g7,cell_96,cell_46
g6,cell_96,cell_212
g1,cell_96,cell_222
g4,cell_96,cell_376
g5,cell_96,cell_482
g8,cell_96,cell_632
g3,cell_96,cell_751
g3,cell_98,cell_6
g4,cell_98,cell_1101
g2,cell_98,cell_1941
g2,cell_101,cell_58
g7,cell_101,cell_274
g5,cell_101,cell_375
g4,cell_101,cell_451
g6,cell_101,cell_480
g8,cell_101,cell_1453
g8,cell_102,cell_32
g3,cell_102,cell_187
g7,cell_102,cell_194
g6,cell_102,cell_725
g4,cell_102,cell_1229
g1,cell_102,cell_1546
g5,cell_108,cell_1
g1,cell_108,cell_212
g6,cell_108,cell_222
g7,cell_108,cell_440
g4,cell_108,cell_594
g8,cell_108,cell_691
g3,cell_108,cell_1048
g1,cell_123,cell_59
g5,cell_123,cell_185
g7,cell_123,cell_310
g6,cell_123,cell_318
g4,cell_123,cell_406
g8,cell_123,cell_476
g3,cell_123,cell_1352
g3,cell_135,cell_36
g5,cell_135,cell_175
g6,cell_135,cell_250
g4,cell_135,cell_339
g8,cell_135,cell_503
g7,cell_135,cell_557
g5,cell_143,cell_248
g3,cell_143,cell_254
g4,cell_143,cell_758
g2,cell_143,cell_1626
g8,cell_144,cell_31
g1,cell_144,cell_187
g6,cell_144,cell_188
g4,cell_144,cell_282
g5,cell_144,cell_343
g2,cell_144,cell_436
g3,cell_144,cell_1546
g7,cell_144,cell_1605
g1,cell_146,cell_1
g5,cell_146,cell_212
g7,cell_146,cell_465
g6,cell_146,cell_482
g4,cell_146,cell_1042
g3,cell_146,cell_1453
g5,cell_175,cell_135
g1,cell_175,cell_194
g8,cell_175,cell_376
g4,cell_175,cell_632
g7,cell_175,cell_1546
g3,cell_175,cell_1605
g2,cell_175,cell_1762
g3,cell_183,cell_209
g5,cell_183,cell_371
g7,cell_183,cell_1475
g1,cell_183,cell_1626
g8,cell_183,cell_1740
g6,cell_183,cell_1941
g6,cell_185,cell_32
g5,cell_185,cell_123
g1,cell_185,cell_409
g4,cell_185,cell_440
g7,cell_185,cell_594
g8,cell_185,cell_725
g3,cell_187,cell_102
g1,cell_187,cell_144
g4,cell_187,cell_344
g7,cell_187,cell_582
g5,cell_187,cell_1146
g2,cell_187,cell_1225
g5,cell_188,cell_55
g6,cell_188,cell_144
g4,cell_188,cell_209
g7,cell_188,cell_359
g2,cell_188,cell_1154
g8,cell_194,cell_19
g7,cell_194,cell_102
g1,cell_194,cell_175
g3,cell_194,cell_582
g4,cell_194,cell_1311
g2,cell_199,cell_36
g1,cell_199,cell_221
g7,cell_199,cell_509
g5,cell_199,cell_791
g6,cell_199,cell_1836
g7,cell_200,cell_31
g3,cell_200,cell_376
g6,cell_200,cell_556
g4,cell_200,cell_751
g5,cell_200,cell_1184
g8,cell_200,cell_1605
g3,cell_209,cell_183
g4,cell_209,cell_188
g5,cell_209,cell_274
g6,cell_209,cell_282
g2,cell_209,cell_290
g8,cell_209,cell_365
g7,cell_209,cell_375
g1,cell_209,cell_680
g6,cell_212,cell_96
g1,cell_212,cell_108
g5,cell_212,cell_146
g3,cell_212,cell_647
g8,cell_212,cell_1475
g7,cell_212,cell_1740
g6,cell_221,cell_74
g1,cell_221,cell_199
g4,cell_222,cell_19
g7,cell_222,cell_29
g1,cell_222,cell_96
g6,cell_222,cell_108
g5,cell_222,cell_483
g8,cell_222,cell_1311
g2,cell_225,cell_55
g6,cell_225,cell_509
g4,cell_225,cell_588
g1,cell_225,cell_984
g5,cell_225,cell_1154
g8,cell_225,cell_1444
g7,cell_225,cell_1836
g3,cell_231,cell_54
g1,cell_231,cell_274
g4,cell_231,cell_322
g8,cell_231,cell_453
g5,cell_231,cell_680
g2,cell_231,cell_912
g6,cell_231,cell_1561
g7,cell_239,cell_291
g8,cell_239,cell_451
g5,cell_239,cell_556
g3,cell_239,cell_1042
g6,cell_239,cell_1184
g4,cell_239,cell_1453
g4,cell_243,cell_350
g6,cell_243,cell_427
g8,cell_243,cell_1154
g5,cell_243,cell_1444
g2,cell_248,cell_54
g5,cell_248,cell_143
g6,cell_248,cell_278
g4,cell_248,cell_279
g7,cell_248,cell_765
g3,cell_248,cell_912
g6,cell_250,cell_135
g1,cell_250,cell_434
g3,cell_250,cell_451
g8,cell_250,cell_1042
g7,cell_250,cell_1974
g3,cell_254,cell_143
g1,cell_254,cell_290
g2,cell_254,cell_680
g4,cell_254,cell_810
g5,cell_254,cell_912
g4,cell_266,cell_369
g1,cell_266,cell_375
g6,cell_266,cell_624
g7,cell_266,cell_680
g3,cell_266,cell_691
g8,cell_266,cell_1048
g4,cell_274,cell_55
g7,cell_274,cell_101
g5,cell_274,cell_209
g1,cell_274,cell_231
g3,cell_274,cell_371
g6,cell_274,cell_517
g2,cell_274,cell_588
g6,cell_278,cell_248
g2,cell_278,cell_1231
g4,cell_279,cell_248
g2,cell_279,cell_476
g5,cell_279,cell_758
g3,cell_279,cell_984
g7,cell_279,cell_1054
g5,cell_280,cell_31
g3,cell_280,cell_73
g6,cell_280,cell_291
g8,cell_280,cell_343
g4,cell_280,cell_401
g7,cell_280,cell_1184
g2,cell_282,cell_6
g4,cell_282,cell_144
g6,cell_282,cell_209
g7,cell_282,cell_319
g1,cell_282,cell_344
g5,cell_282,cell_517
g3,cell_282,cell_1941
g2,cell_289,cell_359
g6,cell_289,cell_791
g1,cell_289,cell_1136
g7,cell_289,cell_1154
g5,cell_289,cell_1836
g6,cell_290,cell_6
g2,cell_290,cell_209
g1,cell_290,cell_254
g8,cell_290,cell_350
g5,cell_290,cell_588
g4,cell_290,cell_1154
g8,cell_291,cell_55
g3,cell_291,cell_59
g7,cell_291,cell_239
g6,cell_291,cell_280
g1,cell_291,cell_1352
g2,cell_291,cell_1444
g4,cell_310,cell_1
g6,cell_310,cell_76
g7,cell_310,cell_123
g8,cell_310,cell_434
g5,cell_310,cell_594
g1,cell_310,cell_1042
g5,cell_318,cell_32
g4,cell_318,cell_66
g1,cell_318,cell_73
g7,cell_318,cell_76
g6,cell_318,cell_123
g7,cell_319,cell_282
g6,cell_319,cell_375
g5,cell_319,cell_480
g1,cell_319,cell_624
g3,cell_319,cell_632
g8,cell_319,cell_751
g2,cell_319,cell_1339
g4,cell_319,cell_1605
g1,cell_322,cell_55
g4,cell_322,cell_231
g3,cell_322,cell_476
g2,cell_322,cell_984
g6,cell_322,cell_1146
g8,cell_322,cell_1352
g4,cell_339,cell_135
g3,cell_339,cell_480
g8,cell_339,cell_482
g1,cell_339,cell_599
g5,cell_339,cell_632
g2,cell_339,cell_1531
g7,cell_339,cell_1931
g7,cell_343,cell_36
g6,cell_343,cell_55
g5,cell_343,cell_144
g8,cell_343,cell_280
g2,cell_343,cell_509
g4,cell_343,cell_517
g3,cell_343,cell_557
g1,cell_343,cell_1146
g4,cell_344,cell_187
g1,cell_344,cell_282
g7,cell_344,cell_624
g6,cell_344,cell_680
g3,cell_344,cell_1229
g5,cell_344,cell_1561
g4,cell_350,cell_243
g8,cell_350,cell_290
g2,cell_350,cell_365
g7,cell_359,cell_188
g2,cell_359,cell_289
g1,cell_359,cell_369
g4,cell_359,cell_375
g5,cell_359,cell_451
g8,cell_359,cell_556
g6,cell_359,cell_1605
g8,cell_365,cell_209
g2,cell_365,cell_350
g7,cell_365,cell_647
g3,cell_365,cell_1740
g4,cell_369,cell_266
g1,cell_369,cell_359
g6,cell_369,cell_582
g2,cell_369,cell_1136
g1,cell_371,cell_54
g5,cell_371,cell_183
g3,cell_371,cell_274
g8,cell_371,cell_465
g6,cell_371,cell_1931
g4,cell_371,cell_1974
g5,cell_375,cell_101
g7,cell_375,cell_209
g1,cell_375,cell_266
g6,cell_375,cell_319
g4,cell_375,cell_359
g8,cell_375,cell_647
g3,cell_375,cell_1475
g1,cell_376,cell_19
g4,cell_376,cell_96
g8,cell_376,cell_175
g3,cell_376,cell_200
g5,cell_376,cell_503
g4,cell_401,cell_280
g8,cell_401,cell_517
g7,cell_401,cell_575
g3,cell_401,cell_623
g7,cell_406,cell_1
g8,cell_406,cell_54
g6,cell_406,cell_66
g4,cell_406,cell_123
g5,cell_406,cell_440
g3,cell_406,cell_453
