,g2,g3,g4,g1,g5,g6,g7,g8
cell_1,True,True,False,False,False,True,False,False
cell_6,False,False,False,True,True,False,True,True
cell_19,True,True,True,False,True,False,False,False
cell_29,True,True,False,False,True,False,True,False
cell_31,True,False,True,True,True,False,True,False
cell_32,True,True,True,False,True,False,True,False
cell_36,True,False,True,True,False,False,False,True
cell_46,True,True,False,True,True,False,True,False
cell_54,True,True,False,False,False,True,True,True
cell_55,True,False,True,True,False,True,True,True
cell_58,False,False,False,True,False,True,False,True
cell_59,True,True,True,True,False,True,True,False
cell_66,True,True,False,False,False,False,True,False
cell_73,True,True,True,True,False,False,True,False
cell_74,False,False,True,False,False,True,False,True
cell_76,True,True,True,False,False,False,False,False
cell_96,True,True,False,True,True,False,False,False
cell_98,False,True,False,True,True,False,True,True
cell_101,True,False,False,True,False,True,False,True
cell_102,True,True,True,False,True,False,True,True
cell_108,True,True,False,False,True,True,False,False
cell_123,True,True,True,False,False,True,True,False
cell_135,True,True,True,True,False,False,False,True
cell_143,False,True,False,False,True,True,True,True
cell_144,True,False,True,True,True,False,True,True
cell_146,True,True,False,True,False,True,False,False
cell_175,True,True,True,True,True,False,False,True
cell_183,True,True,False,True,True,True,True,True
cell_185,True,True,True,False,True,True,True,False
cell_187,True,False,True,False,True,False,True,True
cell_188,True,False,True,True,True,True,True,True
cell_194,True,True,True,False,True,False,False,True
cell_199,False,False,True,True,False,False,False,True
cell_200,True,False,True,True,True,False,False,False
cell_209,True,False,False,True,True,True,True,True
cell_212,True,True,False,True,True,True,False,False
cell_221,False,False,True,False,False,False,False,True
cell_222,True,True,False,False,True,False,False,False
cell_225,False,False,True,True,False,True,True,True
cell_231,True,False,False,False,False,True,True,True
cell_239,True,False,True,True,False,True,False,False
cell_243,False,False,True,True,True,True,True,False
cell_248,False,True,False,False,False,True,True,True
cell_250,True,True,True,True,False,True,False,True
cell_254,False,False,False,False,True,True,True,True
cell_266,True,False,False,False,True,True,False,True
cell_274,True,False,False,True,False,True,True,True
cell_278,False,True,False,False,False,False,True,True
cell_279,False,True,True,False,False,True,True,True
cell_280,True,False,True,True,False,False,True,False
cell_282,True,False,False,True,True,False,True,True
cell_289,False,False,True,True,True,True,False,True
cell_290,False,False,False,True,True,True,True,True
cell_291,True,False,True,True,False,True,True,False
cell_310,True,True,True,False,False,True,False,False
cell_318,True,True,True,False,False,False,True,False
cell_319,True,False,False,True,True,False,False,True
cell_322,True,False,True,False,False,True,True,True
cell_339,True,True,False,True,False,False,False,True
cell_343,True,False,True,True,False,False,True,True
cell_344,True,False,False,False,True,False,True,True
cell_350,False,False,False,True,True,True,True,False
cell_359,True,False,True,True,True,True,False,True
cell_365,True,False,False,True,True,True,True,False
cell_369,True,False,True,False,True,True,False,True
cell_371,True,True,False,True,False,True,True,True
cell_375,True,False,False,True,True,True,False,True
cell_376,True,True,True,True,True,False,False,False
cell_401,True,False,False,True,False,False,True,False
cell_406,True,True,False,False,False,True,True,False
cell_409,True,True,True,True,True,True,True,False
cell_427,False,False,True,True,True,False,True,False
cell_434,True,True,True,False,False,True,False,True
cell_436,False,False,True,True,True,False,True,True
cell_440,True,True,False,False,True,True,True,False
cell_451,True,False,True,True,False,True,False,True
cell_453,True,False,False,False,False,True,True,False
cell_465,True,True,False,True,False,True,True,False
cell_476,True,True,True,False,False,True,True,True
cell_480,True,False,False,True,False,False,False,True
cell_482,True,True,False,True,False,False,False,False
cell_483,True,True,False,False,False,False,False,False
cell_503,True,True,True,True,False,False,False,False
cell_509,False,False,True,True,False,False,True,True
cell_517,True,False,False,True,False,False,True,True
cell_547,False,False,False,True,False,False,True,True
cell_556,True,False,True,True,True,True,False,False
cell_557,True,True,True,True,False,False,True,True
cell_575,True,False,False,True,False,False,False,False
cell_582,True,False,True,False,True,False,False,True
cell_588,False,False,False,True,False,True,True,True
cell_594,True,True,True,False,True,True,False,False
cell_599,True,True,False,False,False,False,False,True
cell_623,True,True,False,True,False,False,True,False
cell_624,True,False,False,False,True,False,False,True
cell_632,True,True,False,True,True,False,False,True
cell_647,True,False,False,True,True,True,False,False
cell_680,True,False,False,False,True,True,True,True
cell_687,True,False,False,False,False,False,False,True
cell_691,True,True,False,False,True,True,False,True
cell_725,True,True,True,False,True,True,True,True
cell_751,True,False,False,True,True,False,False,False
cell_758,False,True,True,False,True,True,True,True
cell_765,False,True,False,False,False,True,False,True
cell_791,False,False,True,True,True,False,False,True
cell_810,False,False,True,False,True,True,True,True
cell_830,True,True,False,False,False,True,False,True
cell_912,False,False,False,False,False,True,True,True
cell_947,False,True,True,True,True,True,True,True
cell_984,False,False,True,False,False,True,True,True
cell_1042,True,True,True,True,False,True,False,False
cell_1048,True,False,False,False,True,True,False,False
cell_1054,False,True,True,False,False,True,False,True
cell_1101,False,True,True,True,True,False,True,True
cell_1136,False,False,True,False,True,True,False,True
cell_1146,True,False,True,False,False,False,True,True
cell_1154,False,False,True,True,True,True,True,True
cell_1184,True,False,True,True,False,False,False,False
cell_1225,False,False,True,False,True,False,True,True
cell_1229,True,True,False,False,True,False,True,True
cell_1231,True,True,False,False,False,False,True,True
cell_1311,True,True,False,False,True,False,False,True
cell_1339,False,False,False,True,True,False,False,True
cell_1352,True,False,True,False,False,True,True,False
cell_1444,False,False,True,True,False,True,True,False
cell_1453,True,False,False,True,False,True,False,False
cell_1463,False,True,True,True,True,True,False,False
cell_1475,True,True,False,True,True,True,False,True
cell_1531,False,True,False,True,False,False,False,True
cell_1546,True,True,True,True,True,False,True,True
cell_1561,True,False,False,False,False,False,True,True
cell_1605,True,False,True,True,True,False,False,True
cell_1626,True,True,False,False,True,True,True,True
cell_1740,True,True,False,True,True,True,True,False
cell_1762,False,True,True,True,True,False,False,True
cell_1836,False,False,True,True,False,True,False,True
cell_1931,True,True,False,True,False,False,True,True
cell_1941,True,True,False,True,True,False,True,True
cell_1974,True,True,True,True,False,True,True,True
