,Time
cell_1,0.077156566
cell_6,0.1648581
cell_19,0.14063631
cell_29,0.25004232
cell_31,0.12963136
cell_32,0.058120225
cell_36,0.15468615
cell_46,0.02615011
cell_54,0.029066276000000002
cell_55,0.16229624
cell_58,0.21817237
cell_59,0.050835367
cell_66,0.055249438
cell_73,0.04978911
cell_74,0.21473993
cell_76,0.053472623
cell_85,0.035362042
cell_96,0.035412736
cell_98,0.09902613
cell_101,0.1592116
cell_102,0.07881159
cell_108,0.07864984
cell_123,0.04592226
cell_125,0.029714333
cell_128,0.15846406
cell_132,0.16865624
cell_135,0.04155243
cell_143,0.25734565
cell_144,0.11682787
cell_145,0.06273129
cell_146,0.059532974
cell_175,0.09074282
cell_182,0.050254297
cell_183,0.057647053
cell_185,0.13847794
cell_187,0.14768037
cell_188,0.18033192
cell_194,0.063991904
cell_195,0.039792903
cell_199,0.19586766
cell_200,0.18869181
cell_209,0.15183891
cell_211,0.15462708
cell_212,0.09490229
cell_219,0.05776954
cell_221,0.24250206
cell_222,0.037062984
cell_225,0.16106439
cell_231,0.15260293
cell_233,0.18594302
cell_239,0.18385358
cell_243,0.18101358
cell_246,0.08399268
cell_248,0.26698953
cell_249,0.061282645999999996
cell_250,0.042343557000000004
cell_254,0.19792014
cell_256,0.17999569
cell_258,0.02759261
cell_262,0.041929602999999996
cell_264,0.09437509
cell_266,0.15445967
cell_269,0.18893526
cell_273,0.06609884
cell_274,0.19583394
cell_277,0.08427225
cell_278,0.16561016
cell_279,0.112724684
cell_280,0.1733105
cell_282,0.17039736
cell_283,0.18984179999999998
cell_289,0.15788746
cell_290,0.26918966
cell_291,0.15927829
cell_293,0.055441372
cell_297,0.04247399
cell_299,0.049637377
cell_301,0.16755722
cell_307,0.21924058
cell_310,0.07460071
cell_311,0.1319414
cell_318,0.07990963
cell_319,0.07831391
cell_322,0.13589868
cell_323,0.07644869
cell_326,0.18267812
cell_333,0.038903486
cell_338,0.15007132
cell_339,0.029619427
cell_340,0.32470962
cell_343,0.12393053
cell_344,0.13089441
cell_347,0.052855127
cell_350,0.13178822
cell_352,0.23060714
cell_356,0.07688409
cell_359,0.102789134
cell_365,0.09913997
cell_369,0.13070287
cell_370,0.03770497
cell_371,0.04421434
cell_374,0.18269839999999998
cell_375,0.15097204
cell_376,0.08697172
cell_382,0.13803959999999998
cell_401,0.15396108
cell_402,0.15003367
cell_406,0.03509229
cell_407,0.10613181
cell_408,0.18454003
cell_409,0.06274454
cell_414,0.07237415
cell_419,0.108964965
cell_427,0.14062235
cell_430,0.13081789
cell_434,0.029376674
cell_435,0.1882057
cell_436,0.15781203
cell_440,0.097832605
cell_450,0.14856860000000002
cell_451,0.10674056400000001
cell_453,0.10021859
cell_455,0.08516373
cell_456,0.15636334
cell_457,0.03839111
cell_465,0.044722922000000005
cell_468,0.13901976
cell_471,0.17217968
cell_476,0.05061684
cell_480,0.08378399
cell_482,0.015054288
cell_483,0.037989203
cell_495,0.16139959
