,x_g2,x_g3,x_g4,x_g1,x_g5,x_g6,x_g7,x_g8
0,-0.95469797,-0.026915442,-0.14707257,0.109615386,1.8677753,-0.97473645,0.04007905,0.62360835
1,1.0747173,1.2190875,-0.29218653,0.4035478,-0.69213015,-0.023800949,-1.0662086,0.20496354
2,-1.9461567,-0.6448722,-1.3492076,-1.411728,1.9373399,-0.9622845,-0.6862761,0.5587251
3,-0.17705123,0.28014076,2.628297,-0.36917397,0.14786732,-0.48292464,0.09875493,-4.047526
4,-0.5404721,-0.33844215,0.099850774,-1.0948756,0.8258894,1.1789178,1.3273036,0.18522607
5,-0.79660624,0.1517494,0.2606839,-0.3650369,0.9302315,-0.22734472,-0.51224345,1.1998718
6,0.72658986,-1.2566389,-0.20811659,1.3859878,0.47417337,-1.468741,-0.37675837,0.37722248
7,0.21829818,0.8436798,-0.7117157,-1.3605716,-1.3881102,1.0734502,1.2851032,0.11695083
8,-0.21923159,-1.7268655,0.20920153,-0.76292664,-0.255892,1.2644387,1.2939663,0.16963123
9,0.8711975,1.0080508,-1.1697197,1.0389378,-1.097953,1.1104684,-0.45703703,-0.4151787
10,-1.3896636,-0.4334253,-0.640174,-0.49178445,-0.49917677,1.1326302,1.3722686,0.28384352
11,0.8544855,1.2236761,2.2504113,-0.61313266,-1.1806357,-0.94934136,-0.10708606,-1.3357204
12,0.06638546,-0.73325384,-0.5026185,-1.6213207,-0.17931049,1.2881896,1.1840613,0.30432454
13,-1.0953888,-0.3726766,0.28943297,0.17627911,1.900795,-1.4998587,-0.08652881,0.5654278
14,0.88805676,0.97770244,-0.014513114,-0.9330251,-0.24732262,1.0981742,1.1438478,-0.43672687
15,0.9021907,1.0471305,-0.29335794,-0.13662335,0.15826584,1.028303,0.93228173,-0.06767191
16,-1.3132538,-0.22193505,-0.39758715,-0.09870854,-1.0391368,1.080509,1.3826799,0.3088708
17,-1.8071828,-1.666418,0.020121513,-0.5898414,-1.4494957,1.2336695,1.1820358,0.49183047
18,-1.1981419,-2.0283515,-0.20578314,-1.0161641,-0.61626786,1.1962454,1.2588674,0.44441864
19,1.0701947,0.802696,0.99046606,1.1033325,-0.20147684,-1.1237682,-0.87890285,0.22867607
20,-0.69358,-0.8027003,-0.2585056,-1.5825307,-1.4617996,1.2636849,1.2876563,0.23162909
21,-1.158307,-1.0189646,-0.7464896,-0.95897233,-1.1529963,1.1821153,1.377895,0.19625832
22,-0.14097205,-0.49870735,-0.99206036,-1.3251297,-0.034534577,-0.4646478,8.6679225e-05,1.2612733
23,0.9596756,1.0496413,-1.0263472,0.6443191,1.5915427,-0.45116827,-0.8071335,-0.080414966
24,-1.3028593,1.0343804,0.55540437,-0.580951,1.7439921,-0.40837428,-0.5853813,0.4686263
25,0.54910845,-0.16345277,-1.4633235,-0.63897735,0.48361152,1.321223,0.6476142,0.4701815
26,0.90921676,1.076697,-0.29140374,-0.11771381,1.5491434,-1.093759,-0.98839027,0.26341113
27,0.9255131,1.0086182,-0.08391315,0.96233845,-0.29070646,1.0470867,-0.26851332,-0.20759404
28,-0.30000252,-1.7939768,-0.092212215,-0.58268344,2.0108027,-0.3613119,-0.77341187,0.26829776
29,1.042757,1.1129731,-0.5795403,1.0724776,0.7571022,-1.2181085,-0.23316243,-0.18704847
30,-1.3945731,-1.8651745,-0.59643334,-0.74527436,-1.5180191,1.2001125,1.2864355,0.3896225
31,1.1313536,-0.27805328,0.6937795,1.2654667,-0.14482298,-0.87601346,-0.3093345,0.123135366
32,1.0081985,0.89904004,0.020541148,1.1749816,-0.25937477,-1.5196693,-0.53942156,0.17508635
33,0.9674775,1.0820206,-1.0549369,0.031354476,1.6381418,-0.7963521,-1.8295069,-0.023395678
34,-1.1602062,-0.4221569,-0.120659925,-0.4978112,1.8655406,-0.89555556,-0.39289376,0.6963268
35,0.53695565,1.3441142,1.5683523,-0.67636603,-0.85292023,-1.0465549,-0.4873183,0.3313137
36,1.1459767,-0.89086246,0.643477,1.1943047,-0.57213265,-1.7020501,-1.3253876,0.3160314
37,0.77402,1.1537578,0.29397547,-0.98022294,1.4464055,-1.5267249,-1.7635667,0.4147594
38,1.0072079,0.943593,-0.709574,-1.4011041,-0.038921885,1.0819335,0.8902314,-0.084137626
39,-1.6159432,-1.5627339,1.229061,-0.9453273,-0.21773817,1.1579875,1.3178794,0.2758191
40,-0.87864983,-0.4933947,-0.66795146,0.03252293,0.36926484,1.3406633,0.5783862,0.6095426
41,-0.329159,1.0294905,-0.2636115,-0.7312875,-0.5515572,1.0120989,1.2043965,0.22338364
42,-1.850757,-0.073662475,-0.86875725,-0.36499822,-1.112535,1.2114829,1.3396994,0.18398827
43,-2.1730416,-0.6088711,0.009565407,-1.7633721,-0.09356263,1.2002242,1.335207,0.25619924
44,-0.27246678,-0.049921755,2.2763743,-0.71963495,0.11209121,-0.38668013,-0.21449114,0.69465226
45,-0.5738052,-1.977237,0.2893048,-0.95425296,-0.7028157,1.2318431,1.2433642,0.3834972
46,1.1544677,0.66297704,-0.8796898,1.1963041,-0.0027261458,-0.91901034,-0.47441676,0.0120250415
47,0.02312086,-0.2975421,2.5890977,0.22974429,-0.36525178,-0.75255877,0.25349694,-1.1025935
48,-0.35815468,-0.86176497,0.28387246,0.45242998,1.6826371,-0.31857014,0.21271335,0.8430687
49,-2.1357582,-1.5608585,-0.7308131,-0.32282066,0.11161668,1.1688449,1.1846427,0.5773291
50,1.0111547,1.0921586,-0.48061073,-0.5580484,1.5464854,-0.3919083,-0.9762129,0.08496189
51,-1.5890117,-1.0390936,-0.3349826,-0.7084372,1.9169064,-0.70699954,-1.3462318,0.60860103
52,-1.1011077,-0.20562033,0.7612282,-1.0438812,0.11249281,-1.0359392,0.18323503,1.2471731
53,-1.5953685,-0.07816203,0.8401675,-0.32613692,1.9105579,-1.7369045,-0.34440994,0.543487
54,1.1775262,0.41895512,-0.5788941,1.0894983,-0.7157546,-0.40210807,-0.21082494,0.29377857
55,0.89456224,-0.9559513,0.19933087,1.2739002,-0.8121529,-0.68869793,-0.34682816,0.5272852
56,-0.7293147,-0.31084904,-0.945049,-0.54934734,-0.861701,1.1992472,1.3769473,0.11693492
57,0.996551,1.1740805,2.0420308,0.617922,0.2165014,-0.56016403,-1.3725588,-0.80214626
58,-0.93176454,-1.8650056,-1.2921218,1.2194563,-1.0748302,-0.10371974,-1.0950063,0.9250034
59,1.0938259,0.6846282,-0.12451965,1.21504,-0.7274725,-0.57869375,-0.63311046,0.1124351
60,0.8974751,0.9538198,-1.4063929,1.0382982,-0.562538,1.02481,-0.5018616,-0.11083148
61,-0.16279644,0.6830799,0.09719144,-1.0018374,1.9019908,-1.2725347,-1.0272365,0.40392873
62,-1.2259134,-1.4541105,-0.6777693,-0.85672295,-0.40095836,1.1459559,1.3671756,0.29740086
63,-1.5413764,-1.2724452,-1.6318814,-0.64055765,-1.6093372,1.194791,1.3272635,0.30962673
64,-0.50552756,-1.0211118,0.45910215,-1.5022972,-1.1518482,1.2332922,1.3198514,0.20354891
65,0.0467205,-0.52592266,0.5919886,-0.007730927,0.0038132053,1.1427902,1.3189845,0.26848784
66,1.0809772,1.0042607,-0.27223554,1.0936487,-0.47911328,-1.0769557,-0.6565379,0.051721446
67,-2.2159617,-1.8206593,-0.0068999375,0.038804527,1.8657647,-0.6353766,-0.8698668,0.6897161
68,-0.7965505,-2.114096,-0.63749963,-1.0830926,-0.337742,1.2858171,1.2531036,0.25536373
69,0.9756974,1.0605175,0.42911103,-0.7544423,1.6907136,-1.2881566,-0.3601197,-0.12159628
70,-1.7354957,-0.752641,0.9160491,-0.51405495,-0.5169261,1.0213522,1.3364867,0.4800741
71,-2.0390527,-1.66834,-0.067032084,-1.2871989,-0.9484842,1.296166,1.2699114,0.19838114
72,-1.7775668,1.0503734,0.31645074,-0.9402943,0.2748496,1.1161014,1.1769415,0.049217127
73,1.187432,0.63431245,0.028061694,1.1947722,-0.6962615,-0.9016271,-0.250881,-0.074474454
74,-0.7888838,-0.80640095,1.2190114,0.7107671,-0.8689354,-0.0057392674,-0.8142517,1.1421686
75,-0.90268433,-0.94223195,2.6431775,-0.22684243,-0.29560497,0.16520762,-0.06836685,-2.872195
76,0.9984086,1.1720562,-0.082184486,1.1472625,-1.680186,-1.1960489,-1.3979669,-0.29188675
77,0.9368415,1.0529557,-1.3652993,0.72575265,-0.6241525,0.95147675,0.58481276,-0.0058018034
78,-0.39829668,-1.9734828,0.38958275,-0.517721,1.8483803,-0.99183786,-0.99205995,0.726437
79,0.99410003,0.99217486,0.20685779,-0.64422643,-0.78045326,1.0523089,0.9067173,-0.11077268
80,-1.0115596,-1.4834346,0.34034458,-1.1087354,-0.71765107,1.2666808,1.2977476,0.19335394
81,-0.5024444,-1.7970971,-1.3429093,0.20827875,0.023184014,1.0362809,1.255856,0.59216934
82,0.53979963,0.3312011,-0.78624165,-1.8217176,1.8540566,-0.641551,-0.17085773,0.49551287
83,0.99464357,1.0239265,-0.361458,-1.5842272,-1.1911883,0.9927909,1.0146097,-0.18963766
84,-0.66883105,0.9814068,2.5516472,-0.20143454,-0.9994901,-0.33080268,-0.36161053,-4.459072
85,1.0826218,1.0155209,-0.6532871,1.1113019,-0.20934318,-1.2053554,-0.6578226,-0.01286517
86,-0.69145167,-1.260571,-0.08659899,-0.2399186,-1.2308576,1.192503,1.2926238,0.35977316
87,-0.85059494,-0.44232398,-0.2642166,-1.6771837,1.8688711,-0.40086752,-1.2904379,0.6964594
88,-1.0508931,-1.7918279,-0.90767956,-0.61633855,0.57994044,-0.81992096,-0.5201292,1.2729625
89,0.90179217,0.8408343,-0.106639795,0.33369675,-0.5119648,1.0823871,1.0942951,-0.1701031
90,-0.81129134,-1.7337915,2.6434245,-0.20134462,-0.5679511,-0.7929501,0.50058395,-4.9157767
91,-0.6959449,0.7436255,-0.7927896,0.18217361,1.8115263,-0.401641,0.032900658,0.52954507
92,0.89630705,1.0402595,-1.2319741,1.0559721,-1.4779851,0.9741991,-1.4501948,-0.21391693
93,0.94607556,1.007306,-0.7822753,0.6663698,-0.58918244,0.9760919,0.49884203,0.1077178
94,-1.4497427,1.0082781,-1.022765,-1.1360905,-0.59552073,1.0565377,1.3066268,-0.030318469
95,-0.8920545,-0.18123163,2.6354494,-0.98611045,0.21493794,-0.71863127,0.30821514,-2.256304
96,1.0076175,0.8313023,-0.4466177,1.2426715,-0.38767615,-1.0791532,-0.9303033,0.09887996
97,-0.3603109,-0.8758661,0.7708891,-0.28485304,-1.6111217,0.49531534,1.4372711,0.5564467
98,-0.70427036,1.1157503,-0.42072964,1.2458321,-0.2085278,-1.6139842,-0.30586904,0.38522568
99,-1.3462737,0.15389365,0.028175581,-0.34658927,-0.85025805,1.2092966,1.325926,0.17760128
100,-0.6602583,-1.7411677,2.6367805,-0.8364123,0.87741715,-0.12006433,-0.42433423,-3.2825196
101,0.95677584,-0.97858983,-0.8745408,1.2793185,-0.559689,-0.6202795,-1.2167614,0.46871027
102,1.0472901,0.14904438,-0.19586314,1.1462004,0.4383495,-1.5636268,-0.30179513,0.48667595
103,1.0236826,1.0841944,-1.5282118,-0.47871417,-1.6781421,1.0079999,0.63468736,-0.029101897
104,-0.44419736,0.71270543,-0.5492662,-0.825888,-0.68859994,1.133313,1.1415737,0.46222162
105,0.28713855,-1.3527249,-0.82497746,-0.9992604,0.43558428,1.2291725,1.3147877,0.085442856
106,-0.65119225,-0.9710888,-0.31678906,-0.62705284,-1.3531814,1.1657156,1.3200952,0.36303386
107,0.99566394,1.0398228,-0.680627,0.7200871,0.27356723,0.99344796,-0.98303765,0.0008022547
108,0.990948,1.0151616,-1.3664062,1.1305102,-0.30812722,-0.51217586,-0.8704818,0.14115849
109,0.87060726,0.9405393,-0.14267182,-1.4308752,0.34664825,1.113803,1.093431,-0.25420043
110,0.99808306,0.98319846,-0.17701647,0.7432461,1.5594041,-1.3729899,-0.36387238,-0.04494209
111,0.46309677,1.1285025,-0.82961804,-1.2861624,1.7393942,-0.66801906,-0.87596893,0.20522258
112,-1.3006432,-0.30103296,0.56603295,-1.8946146,1.9014113,-0.41922134,-1.4253184,0.60917836
113,-0.2632009,-1.8110373,0.52000576,-0.20316605,0.70893633,-1.5974971,-0.26865643,1.2389162
114,0.5916508,1.0620794,-0.5620984,1.027579,-0.5465652,1.0487909,-0.38964048,0.022882681
115,-1.1638924,-0.22938241,0.58394337,-0.44887966,-0.30512646,1.1963711,1.2361531,0.42060265
116,0.0143249845,-1.4320835,0.18248907,-0.5499596,-1.4123408,1.2419083,1.2503204,0.30032915
117,-0.29315776,0.96724385,-0.9722483,-0.25355434,-1.3327162,1.0410473,1.3130798,-0.010182258
118,-1.4274955,0.7623937,-1.0428903,-1.941569,-0.43911892,1.1133974,1.3121663,0.16634578
119,-0.026313607,-0.8965044,2.633864,-0.7699385,-0.04139079,-0.16194978,0.26419654,-2.5909903
120,-1.4097344,-0.6661538,-0.22962157,-1.4068481,-0.18373658,0.22536172,1.3501592,0.81605214
121,-2.080774,0.06707696,0.85308903,-0.7895835,1.8425548,-0.69814426,-0.550403,0.6860726
122,-1.080104,1.0450279,0.046709456,-1.194625,1.8018808,-0.6943271,-1.499126,0.3689735
123,1.1821582,0.6802415,0.1323634,1.1249218,-1.1671835,-0.643695,-0.36200747,0.083651155
124,-0.7919619,0.8853053,-0.6437308,-1.5225911,0.051162194,1.1638707,1.2205548,0.13206427
125,1.1557301,0.89210063,-1.4574009,1.1684295,-0.15258737,-0.89575076,-0.3207963,-0.18730663
126,0.6287266,1.0998094,0.11648538,-0.5182961,-0.39627597,1.0177094,1.1054871,-0.050216846
127,-1.1107283,-0.4820061,0.6606466,-1.1292512,1.7698883,-1.1491807,-0.49857044,0.84166473
128,1.1157889,-0.8870843,-0.15696213,1.2535207,-0.5440352,-0.66910493,-0.49775988,0.2634518
129,0.112638906,0.018761288,0.7187409,0.24134012,-0.55578864,-0.07513336,0.44597954,1.1578275
130,-0.5417175,0.36820403,0.1322409,0.2519388,-1.1973591,0.22737825,1.3017884,0.7613011
131,1.1294321,0.9552616,1.9663929,0.32059854,0.2898105,-1.5773337,-1.6730117,-0.10045481
132,1.0582578,-1.2298583,0.19735363,1.286038,-0.70557505,-0.6246832,-0.025856348,0.26894405
133,0.94352794,0.8866001,-0.63133913,0.9911957,1.6359202,-0.8341533,-0.557067,-0.30027145
134,-1.0752499,-1.8419592,-0.81723285,-1.6130044,0.492397,1.2383404,1.2759585,0.28937644
135,1.0110395,0.22153974,-0.057358094,1.2988905,-0.67319757,-1.1324788,-1.2865884,0.26814213
136,-1.3357888,-1.0511807,0.06067545,-0.07469746,-1.5493908,1.2235539,1.2882478,0.29863247
137,-1.9305719,-0.7016786,2.6638467,-1.1258765,0.091660306,-0.5815726,-0.8061294,-4.462504
138,-2.0298529,-1.6502175,-0.4421937,0.105235845,0.13832821,1.2085567,1.2535436,0.37304494
139,-1.1280421,-1.0798427,0.38235977,-0.70118845,1.9361192,-0.39323863,-0.62970775,0.5346218
140,1.0705353,0.9845258,-0.5249613,0.1201955,1.5173763,-1.2780148,-1.8041741,0.16448379
141,0.21884696,1.0893407,-0.27986997,-0.9601759,-1.3887748,1.0357935,1.1503233,0.10531294
142,0.99463004,0.784298,-0.9015896,0.97609293,-0.9443177,1.0893776,-0.65910375,-0.07291439
