,x_g2,x_g3,x_g4,x_g1,x_g5,x_g6,x_g7,x_g8
3,-0.17705123,0.28014076,2.628297,-0.36917397,0.14786732,-0.48292464,0.09875493,-4.047526
11,0.8544855,1.2236761,2.2504113,-0.61313266,-1.1806357,-0.94934136,-0.10708606,-1.3357204
35,0.53695565,1.3441142,1.5683523,-0.67636603,-0.85292023,-1.0465549,-0.4873183,0.3313137
44,-0.27246678,-0.049921755,2.2763743,-0.71963495,0.11209121,-0.38668013,-0.21449114,0.69465226
47,0.02312086,-0.2975421,2.5890977,0.22974429,-0.36525178,-0.75255877,0.25349694,-1.1025935
57,0.996551,1.1740805,2.0420308,0.617922,0.2165014,-0.56016403,-1.3725588,-0.80214626
75,-0.90268433,-0.94223195,2.6431775,-0.22684243,-0.29560497,0.16520762,-0.06836685,-2.872195
84,-0.66883105,0.9814068,2.5516472,-0.20143454,-0.9994901,-0.33080268,-0.36161053,-4.459072
90,-0.81129134,-1.7337915,2.6434245,-0.20134462,-0.5679511,-0.7929501,0.50058395,-4.9157767
95,-0.8920545,-0.18123163,2.6354494,-0.98611045,0.21493794,-0.71863127,0.30821514,-2.256304
100,-0.6602583,-1.7411677,2.6367805,-0.8364123,0.87741715,-0.12006433,-0.42433423,-3.2825196
119,-0.026313607,-0.8965044,2.633864,-0.7699385,-0.04139079,-0.16194978,0.26419654,-2.5909903
131,1.1294321,0.9552616,1.9663929,0.32059854,0.2898105,-1.5773337,-1.6730117,-0.10045481
137,-1.9305719,-0.7016786,2.6638467,-1.1258765,0.091660306,-0.5815726,-0.8061294,-4.462504
149,0.9676397,1.0063744,1.7533389,1.0901847,-0.8176562,-0.8158606,-1.4396834,-0.23069651
176,0.723512,1.1985953,2.3285818,0.34179243,-0.61767405,-0.9778926,-1.1007193,-2.15591
180,-0.0832524,-0.39507374,2.6444492,-0.25519323,-0.46197462,-0.67930573,0.07973393,-3.6622825
197,-0.60872823,-1.3547091,2.6447875,-0.4189857,-0.15481618,0.15859209,-0.34704557,-2.629807
208,1.2124668,1.1692092,2.0266962,-0.33630732,-0.44165432,-0.960146,0.015618953,-2.315176
214,-1.0850635,-0.29040867,2.6242607,-1.1481265,0.32005218,0.3174664,-0.019841801,-2.0108104
224,1.0417447,0.9046847,1.6957356,0.9507287,0.22953556,-0.36284095,-1.7938703,0.07080377
235,0.9716183,1.1185724,1.9949652,0.034843992,0.27456224,-1.744287,-1.5325797,-0.02828407
236,1.1036696,1.1110822,2.151919,-1.8274632,-0.29587224,-0.71559864,-0.45202348,-0.9749923
267,0.17441934,0.90161574,2.521291,-0.379186,-0.4694551,-1.1353024,-0.80534387,-1.2087934
268,1.1376524,1.1433494,2.071242,0.21449344,-1.597624,-1.4868712,-0.050196625,-1.2692758
276,1.1262056,1.2413864,2.0191047,0.1500858,-0.5678069,-1.0272621,-1.3848263,-1.7526929
284,-1.5564003,0.5859264,2.6051724,-0.13835023,-0.46934277,-0.3427585,-1.0586951,-1.8173021
303,0.91466355,1.0752339,1.7230766,1.0126153,-0.585136,-1.398522,-0.4124198,-0.07311112
317,-0.45880872,-0.07499424,2.5948172,0.44839773,-0.76248723,-0.85035706,-0.15277934,-1.1557682
327,-0.4996119,0.9836017,2.5396466,-1.0906225,-0.5297401,-0.056239825,-0.4940362,-2.3093824
329,-0.039532304,-0.87330383,2.6445966,-0.30820343,-0.9859134,-1.8864186,0.32410783,-6.544854
341,-1.5172907,-0.24685058,2.633517,0.50593674,-0.5108636,-0.5537438,-0.61512554,-3.49396
349,0.12366976,1.3795255,2.2909765,-0.35684997,-0.18190543,-0.49285072,-1.096485,-3.752245
357,0.93492585,0.98387945,1.8044329,1.011356,-1.07558,-0.27987355,-1.3434467,-0.027965778
363,-0.80891484,-0.9609612,2.6414385,-0.020181384,0.008556366,-0.3288769,0.36831743,-4.8929157
367,0.2367415,1.2915716,1.8582379,0.6556429,0.07297581,-0.28889853,-0.59667623,0.10924028
378,0.73469555,1.0695202,2.0513253,0.8872919,0.24812374,-1.1876575,-1.562753,-0.14409004
383,0.92058563,0.9643902,1.8263404,1.0655283,-0.6990802,-0.6708913,-0.7280292,-0.093780905
398,-0.7676245,-0.97669834,2.6371238,-0.4980936,0.5164036,0.22945856,-0.059137594,-3.4006605
410,1.1089422,1.1316643,2.1668365,-0.38602775,-0.7156011,-1.1589527,-1.6039602,-1.3205862
429,0.99569136,1.2342232,2.2203825,-1.1027405,-0.37394843,-0.11579811,-0.46538565,-4.146276
431,-0.43778494,-0.7851179,2.6163876,-0.6008166,0.19307333,-0.9689861,-0.9409679,-0.9533035
432,0.42547923,1.2986856,2.3326519,-0.26174396,0.492981,-1.0337915,-0.9334035,-3.3651047
437,-0.5384476,-0.18622994,2.6505964,-0.26370752,-0.9527173,-0.25505126,-0.8485699,-3.0848997
439,0.1962389,-0.857877,2.637482,-0.20607917,-0.02938539,-0.53487575,-0.12993646,-3.2981017
441,-0.8467232,-0.19712283,2.655304,-0.43421197,-1.0708537,-1.0307362,-0.29380372,-3.1096435
443,-1.6079056,-0.77627426,2.6398463,-0.4276852,-0.12118315,0.18180078,0.20974787,-3.0087578
445,-0.11214838,0.05810041,2.5090132,-0.10288254,-0.2878029,-0.08278057,-0.35985106,-0.09051888
459,-0.004674558,-0.66126233,2.650439,-0.790224,-0.23092467,-1.1195606,-0.6233551,-2.8312197
491,0.9281826,0.9163498,1.926437,1.0311857,-0.387602,-0.18270223,-1.0679895,-0.14396979
500,0.9684805,1.2027032,2.0221097,-0.084205985,-0.5764452,-0.36684164,-1.1834877,-0.32615763
504,1.09444,1.0093724,1.2834387,1.0051647,-0.51450163,-1.9454516,-0.7720736,-0.00042536884
508,-0.068265915,-1.1505618,2.655784,-0.6454903,-0.5062487,-1.0039574,-0.13135779,-5.407696
520,-0.36526638,-0.3192219,0.48495373,1.6544235,0.22433902,-0.2071324,-0.09566322,-3.0186398
549,-0.93776417,-0.45618275,2.655958,-1.5670416,-0.091513865,-0.008144267,-0.36380732,-4.8657045
