,pseudotime
0,0.4279519
1,0.077156566
2,0.5222067
3,0.80172276
4,0.66934985
5,0.35982513
6,0.1648581
7,0.61525667
8,0.6852997
9,0.4345485
10,0.6539128
11,0.52485144
12,0.69843775
13,0.4534037
14,0.52891225
15,0.5399909
16,0.6271158
17,0.71146464
18,0.6815645
19,0.14063631
20,0.7366444
21,0.69138753
22,0.3730358
23,0.5171495
24,0.44203082
25,0.6185853
26,0.4852865
27,0.3599332
28,0.47060812
29,0.25004232
30,0.7300799
31,0.12963136
32,0.058120225
33,0.5522325
34,0.430421
35,0.33947435
36,0.15468615
37,0.5002369
38,0.54875696
39,0.68177617
40,0.60008705
41,0.57522255
42,0.6901327
43,0.71351236
44,0.40305492
45,0.6960046
46,0.02615011
47,0.5674099
48,0.4375991
49,0.6743335
50,0.5108243
51,0.50717926
52,0.35972372
53,0.46133274
54,0.029066276
55,0.16229624
56,0.63725
57,0.4766187
58,0.21817237
59,0.050835367
60,0.4096786
61,0.4576298
62,0.67568004
63,0.686838
64,0.6844214
65,0.6363344
66,0.055249438
67,0.52343684
68,0.70324224
69,0.49586418
70,0.702396
71,0.7038234
72,0.6547647
73,0.04978911
74,0.21473993
75,0.7730582
76,0.053472623
77,0.4934614
78,0.48960134
79,0.52460575
80,0.6819666
81,0.683032
82,0.4744145
83,0.54670596
84,0.9083564
85,0.035362042
86,0.6575886
87,0.49376494
88,0.42562047
89,0.500254
90,0.9001675
91,0.42629865
92,0.47022077
93,0.47419077
94,0.6424734
95,0.6888052
96,0.035412736
97,0.6744084
98,0.09902613
99,0.6427842
100,0.81348
101,0.1592116
102,0.07881159
103,0.5408065
104,0.58719313
105,0.6965409
106,0.655137
107,0.37154153
108,0.07864984
109,0.55656993
110,0.5195152
111,0.49347147
112,0.49367985
113,0.48298237
114,0.41079292
115,0.66989815
116,0.69305384
117,0.61525697
118,0.66242576
119,0.74011475
120,0.6191499
121,0.48020947
122,0.44963592
123,0.04592226
124,0.6222962
125,0.029714333
126,0.528302
127,0.47191983
128,0.15846406
129,0.35122135
130,0.4972074
131,0.46023887
132,0.16865624
133,0.46625218
134,0.69461274
135,0.04155243
136,0.671538
137,0.93476295
138,0.69866997
139,0.4639493
