	g2	g3	g4	g1	g5	g6	g7	g8
cell_3	-0.17705123	0.28014076	2.6282970000000003	-0.36917397	0.14786732	-0.48292464	0.09875493	-4.047526
cell_11	0.8544855	1.2236761	2.2504112999999997	-0.61313266	-1.1806357	-0.94934136	-0.10708606	-1.3357204
cell_35	0.53695565	1.3441142	1.5683523000000001	-0.67636603	-0.85292023	-1.0465549	-0.4873183	0.33131370000000004
cell_44	-0.27246678	-0.049921755	2.2763743	-0.71963495	0.11209121	-0.38668013	-0.21449114	0.69465226
cell_47	0.02312086	-0.2975421	2.5890977000000004	0.22974429	-0.36525178	-0.75255877	0.25349694	-1.1025935
cell_57	0.9965510000000001	1.1740805	2.0420308	0.617922	0.2165014	-0.56016403	-1.3725588	-0.80214626
cell_75	-0.90268433	-0.94223195	2.6431775	-0.22684243	-0.29560497	0.16520762	-0.06836685	-2.872195
cell_84	-0.66883105	0.9814068000000001	2.5516472	-0.20143454	-0.9994900999999999	-0.33080268	-0.36161053	-4.459072
cell_90	-0.81129134	-1.7337915000000002	2.6434245	-0.20134462	-0.5679510999999999	-0.7929501	0.50058395	-4.9157767
cell_95	-0.8920545	-0.18123163	2.6354493999999997	-0.98611045	0.21493794	-0.71863127	0.30821514	-2.256304
cell_100	-0.6602583000000001	-1.7411676999999999	2.6367805	-0.8364123	0.87741715	-0.12006433	-0.42433423	-3.2825196000000005
cell_119	-0.026313607000000003	-0.8965044	2.633864	-0.7699385	-0.04139079	-0.16194978	0.26419654	-2.5909902999999996
cell_131	1.1294321000000003	0.9552616	1.9663929	0.32059854	0.2898105	-1.5773337	-1.6730116999999998	-0.10045481
cell_137	-1.9305718999999997	-0.7016786	2.6638467	-1.1258765	0.091660306	-0.5815726	-0.8061294	-4.462504
cell_149	0.9676396999999999	1.0063744000000001	1.7533389	1.0901847	-0.8176561999999999	-0.8158605999999999	-1.4396833999999998	-0.23069651
cell_176	0.723512	1.1985953	2.3285818	0.34179243	-0.61767405	-0.9778926	-1.1007193000000002	-2.15591
cell_180	-0.08325239999999999	-0.39507374	2.6444492000000004	-0.25519323	-0.46197462	-0.67930573	0.07973393	-3.6622825
cell_197	-0.60872823	-1.3547091	2.6447875	-0.4189857	-0.15481618	0.15859209	-0.34704557	-2.629807
cell_208	1.2124668	1.1692091999999998	2.0266962	-0.33630732	-0.44165432	-0.9601459999999999	0.015618953	-2.3151759999999997
cell_214	-1.0850635	-0.29040867	2.6242607000000002	-1.1481265	0.32005218	0.31746640000000004	-0.019841801000000003	-2.0108104
cell_224	1.0417447	0.9046847	1.6957356	0.9507287	0.22953556	-0.36284095	-1.7938703	0.07080377
cell_235	0.9716183	1.1185724	1.9949651999999998	0.034843992000000004	0.27456224	-1.744287	-1.5325796999999999	-0.02828407
cell_236	1.1036696000000001	1.1110822	2.151919	-1.8274631999999997	-0.29587224	-0.71559864	-0.45202348	-0.9749923
cell_267	0.17441934	0.90161574	2.521291	-0.379186	-0.46945509999999996	-1.1353024	-0.80534387	-1.2087934
cell_268	1.1376524	1.1433494	2.071242	0.21449344	-1.597624	-1.4868712	-0.050196625	-1.2692758
cell_276	1.1262056	1.2413864	2.0191046999999998	0.1500858	-0.5678069	-1.0272621	-1.3848263	-1.7526929
cell_284	-1.5564003	0.5859264	2.6051724	-0.13835023	-0.46934277	-0.3427585	-1.0586951	-1.8173021
cell_303	0.91466355	1.0752339	1.7230766	1.0126153	-0.585136	-1.398522	-0.41241980000000006	-0.07311112
cell_317	-0.45880872	-0.07499424	2.5948172	0.44839773	-0.76248723	-0.85035706	-0.15277934	-1.1557681999999998
cell_327	-0.49961190000000005	0.9836017	2.5396466	-1.0906225	-0.5297400999999999	-0.056239825	-0.4940362	-2.3093824
cell_329	-0.039532304	-0.87330383	2.6445966	-0.30820343	-0.9859134	-1.8864186	0.32410783	-6.544854
cell_341	-1.5172907	-0.24685058	2.633517	0.50593674	-0.5108636	-0.5537438	-0.61512554	-3.49396
cell_349	0.12366976	1.3795255	2.2909764999999997	-0.35684997	-0.18190543	-0.49285072	-1.096485	-3.752245
cell_357	0.93492585	0.98387945	1.8044329	1.011356	-1.07558	-0.27987355	-1.3434466999999999	-0.027965777999999997
cell_363	-0.80891484	-0.9609612	2.6414385	-0.020181384	0.008556366	-0.3288769	0.36831743	-4.8929157
cell_367	0.2367415	1.2915716	1.8582379	0.6556429	0.07297581	-0.28889853	-0.59667623	0.10924028
cell_378	0.73469555	1.0695202	2.0513253000000002	0.8872919	0.24812374	-1.1876575	-1.562753	-0.14409004
cell_383	0.92058563	0.9643902	1.8263403999999999	1.0655283000000002	-0.6990801999999999	-0.6708913000000001	-0.7280291999999999	-0.093780905
cell_398	-0.7676245	-0.97669834	2.6371238	-0.49809359999999997	0.5164036	0.22945856	-0.059137594	-3.4006605000000003
cell_410	1.1089421999999998	1.1316643	2.1668365	-0.38602775	-0.7156011	-1.1589527	-1.6039602	-1.3205862
cell_429	0.99569136	1.2342232	2.2203825	-1.1027405000000001	-0.37394843	-0.11579811	-0.46538565	-4.146276
cell_431	-0.43778494	-0.7851179	2.6163876	-0.6008166	0.19307333	-0.9689860999999999	-0.9409679	-0.9533035
cell_432	0.42547923	1.2986856000000002	2.3326519	-0.26174396	0.49298100000000006	-1.0337915000000002	-0.9334034999999999	-3.3651047
cell_437	-0.5384475999999999	-0.18622994	2.6505964	-0.26370752	-0.9527173000000001	-0.25505126	-0.8485699000000001	-3.0848997000000002
cell_439	0.1962389	-0.857877	2.637482	-0.20607917	-0.02938539	-0.53487575	-0.12993646	-3.2981017
cell_441	-0.8467232	-0.19712283	2.655304	-0.43421197	-1.0708537	-1.0307362	-0.29380372	-3.1096435000000002
cell_443	-1.6079056	-0.77627426	2.6398463	-0.4276852	-0.12118315	0.18180078	0.20974787	-3.0087577999999997
cell_445	-0.11214838	0.05810041	2.5090132	-0.10288254	-0.28780290000000003	-0.08278057	-0.35985106	-0.09051888
cell_459	-0.004674558	-0.66126233	2.650439	-0.7902239999999999	-0.23092467	-1.1195606000000002	-0.6233550999999999	-2.8312197
cell_491	0.9281825999999999	0.9163498	1.926437	1.0311857	-0.387602	-0.18270223	-1.0679895000000001	-0.14396979
cell_500	0.9684805000000001	1.2027032	2.0221096999999997	-0.084205985	-0.5764451999999999	-0.36684164	-1.1834877000000001	-0.32615763
cell_504	1.0944399999999999	1.0093724	1.2834386999999998	1.0051647	-0.51450163	-1.9454516	-0.7720736	-0.00042536884000000003
cell_508	-0.068265915	-1.1505618	2.655784	-0.6454903000000001	-0.5062487	-1.0039574	-0.13135779	-5.407696
cell_520	-0.36526638	-0.3192219	0.48495373	1.6544235	0.22433902	-0.2071324	-0.09566322	-3.0186398
cell_549	-0.93776417	-0.45618275	2.655958	-1.5670416	-0.091513865	-0.008144267	-0.36380732	-4.8657045
cell_555	-0.5297451999999999	-0.73631805	2.6587336	-0.6737002	-0.32374907	-0.4386308	-1.0597243	-3.1482294
cell_558	1.1181214	1.0428537	2.0354717	0.30297694	-0.10723405	-1.1124133999999999	-0.44950733	-0.42874488
cell_564	-0.65271795	0.11007836	2.6343064	-0.4909797000000001	-0.17469507	0.048799172	0.13762741	-3.5632565
cell_568	0.34902737	1.3331306	2.337308	-0.9362579	-1.1152178	-1.2624668	-0.8964390999999999	-5.0289
cell_581	-0.48033878	0.7319541	2.6061637	-0.48413745	-0.42320418	-0.42819524	-0.95019317	-5.024249
cell_584	-0.26584727	0.09873247	2.6172185000000003	0.15672722	0.08132788	-0.42845362	0.39074808	-3.290692
cell_596	0.9999135	1.1973200000000002	2.0789418	-1.6450406000000002	-0.18681362	-1.0454961	0.43233135	-0.765192
cell_625	-0.58964187	0.112318985	2.6217904	-0.7213348	0.47697303	0.04129706	-1.262369	-1.8295828
cell_629	0.59049505	1.305703	2.3093255	-0.63449013	0.08193641	-0.46080387	-0.8837572	-3.4700718
cell_636	1.0153813	1.0657527	1.9502916000000001	0.7182983000000001	-0.07003937	-0.61426955	-0.41130072	-0.23689167
cell_638	-0.4381965	1.1978487	2.2468646	0.53624624	-0.5878296	-0.5832674	0.36279324	-0.37734473
