Gene,StateA,StateB
Z,cell_0,cell_166
s,cell_0,cell_243
z,cell_0,cell_300
R3,cell_0,cell_454
R2,cell_0,cell_830
T,cell_0,cell_831
S,cell_0,cell_1163
E,cell_0,cell_1422
N,cell_0,cell_1860
Z,cell_1,cell_102
T,cell_1,cell_107
R3,cell_1,cell_109
N,cell_1,cell_244
E,cell_1,cell_710
R2,cell_1,cell_722
s,cell_1,cell_1112
S,cell_1,cell_1167
z,cell_1,cell_1453
S,cell_2,cell_3
R3,cell_2,cell_4
N,cell_2,cell_8
Z,cell_2,cell_224
E,cell_2,cell_360
z,cell_2,cell_684
R2,cell_2,cell_768
T,cell_2,cell_878
s,cell_2,cell_5637
S,cell_3,cell_2
s,cell_3,cell_272
z,cell_3,cell_686
T,cell_3,cell_731
Z,cell_3,cell_858
R2,cell_3,cell_903
E,cell_3,cell_1211
R3,cell_3,cell_1682
N,cell_3,cell_3214
R3,cell_4,cell_2
R2,cell_4,cell_52
s,cell_4,cell_244
E,cell_4,cell_275
z,cell_4,cell_682
N,cell_4,cell_1112
Z,cell_4,cell_1254
T,cell_4,cell_1678
S,cell_4,cell_1682
N,cell_8,cell_2
Z,cell_8,cell_10
s,cell_8,cell_109
z,cell_8,cell_264
T,cell_8,cell_265
R2,cell_8,cell_724
R3,cell_8,cell_1112
E,cell_8,cell_1590
S,cell_8,cell_3214
Z,cell_10,cell_8
S,cell_10,cell_61
s,cell_10,cell_110
N,cell_10,cell_224
R2,cell_10,cell_228
R3,cell_10,cell_230
T,cell_10,cell_316
z,cell_10,cell_1100
E,cell_10,cell_3112
R2,cell_11,cell_14
s,cell_11,cell_18
N,cell_11,cell_132
S,cell_11,cell_407
T,cell_11,cell_507
R3,cell_11,cell_622
E,cell_11,cell_1100
Z,cell_11,cell_1589
z,cell_11,cell_3112
R2,cell_14,cell_11
z,cell_14,cell_17
E,cell_14,cell_41
T,cell_14,cell_173
s,cell_14,cell_290
R3,cell_14,cell_610
Z,cell_14,cell_845
N,cell_14,cell_1133
S,cell_14,cell_1699
z,cell_17,cell_14
s,cell_17,cell_19
E,cell_17,cell_228
T,cell_17,cell_284
R3,cell_17,cell_607
N,cell_17,cell_998
Z,cell_17,cell_1734
S,cell_17,cell_2484
R2,cell_17,cell_3112
s,cell_18,cell_11
R3,cell_18,cell_112
z,cell_18,cell_241
E,cell_18,cell_263
T,cell_18,cell_286
R2,cell_18,cell_290
S,cell_18,cell_350
N,cell_18,cell_357
Z,cell_18,cell_543
s,cell_19,cell_17
Z,cell_19,cell_55
T,cell_19,cell_150
R2,cell_19,cell_241
z,cell_19,cell_290
N,cell_19,cell_354
S,cell_19,cell_480
E,cell_19,cell_497
R3,cell_19,cell_714
S,cell_21,cell_24
E,cell_21,cell_116
R3,cell_21,cell_190
Z,cell_21,cell_342
s,cell_21,cell_364
T,cell_21,cell_447
z,cell_21,cell_792
R2,cell_21,cell_1980
N,cell_21,cell_5187
E,cell_22,cell_181
s,cell_22,cell_190
R3,cell_22,cell_364
Z,cell_22,cell_367
T,cell_22,cell_411
N,cell_22,cell_576
R2,cell_22,cell_738
S,cell_22,cell_803
z,cell_22,cell_838
z,cell_23,cell_27
S,cell_23,cell_82
R3,cell_23,cell_106
E,cell_23,cell_283
Z,cell_23,cell_395
T,cell_23,cell_718
s,cell_23,cell_1758
R2,cell_23,cell_1788
N,cell_23,cell_3096
S,cell_24,cell_21
R2,cell_24,cell_26
R3,cell_24,cell_27
z,cell_24,cell_106
E,cell_24,cell_115
s,cell_24,cell_365
T,cell_24,cell_448
Z,cell_24,cell_701
N,cell_24,cell_4068
R2,cell_26,cell_24
T,cell_26,cell_102
Z,cell_26,cell_107
E,cell_26,cell_235
s,cell_26,cell_250
R3,cell_26,cell_317
N,cell_26,cell_322
z,cell_26,cell_323
S,cell_26,cell_1980
z,cell_27,cell_23
R3,cell_27,cell_24
E,cell_27,cell_150
S,cell_27,cell_190
R2,cell_27,cell_317
T,cell_27,cell_497
Z,cell_27,cell_499
s,cell_27,cell_803
N,cell_27,cell_3458
R2,cell_31,cell_116
S,cell_31,cell_235
R3,cell_31,cell_254
T,cell_31,cell_406
Z,cell_31,cell_600
s,cell_31,cell_1267
N,cell_31,cell_1278
z,cell_31,cell_1395
E,cell_31,cell_1980
R3,cell_32,cell_78
z,cell_32,cell_121
R2,cell_32,cell_159
N,cell_32,cell_257
T,cell_32,cell_326
S,cell_32,cell_662
s,cell_32,cell_1036
E,cell_32,cell_1128
Z,cell_32,cell_1464
z,cell_33,cell_214
R2,cell_33,cell_391
T,cell_33,cell_415
s,cell_33,cell_484
N,cell_33,cell_486
R3,cell_33,cell_667
E,cell_33,cell_904
Z,cell_33,cell_1370
S,cell_33,cell_1420
R2,cell_34,cell_192
E,cell_34,cell_257
z,cell_34,cell_298
s,cell_34,cell_399
Z,cell_34,cell_790
S,cell_34,cell_831
N,cell_34,cell_1128
T,cell_34,cell_1163
R3,cell_34,cell_1524
Z,cell_35,cell_39
T,cell_35,cell_258
s,cell_35,cell_260
R2,cell_35,cell_262
E,cell_35,cell_299
z,cell_35,cell_325
N,cell_35,cell_328
R3,cell_35,cell_517
S,cell_35,cell_980
T,cell_36,cell_37
Z,cell_36,cell_184
R3,cell_36,cell_185
s,cell_36,cell_268
S,cell_36,cell_322
E,cell_36,cell_1278
z,cell_36,cell_1525
N,cell_36,cell_1980
R2,cell_36,cell_5187
T,cell_37,cell_36
R2,cell_37,cell_40
z,cell_37,cell_50
s,cell_37,cell_375
E,cell_37,cell_392
Z,cell_37,cell_678
R3,cell_37,cell_970
N,cell_37,cell_1248
S,cell_37,cell_2744
N,cell_38,cell_47
Z,cell_38,cell_50
E,cell_38,cell_158
T,cell_38,cell_192
z,cell_38,cell_678
s,cell_38,cell_681
S,cell_38,cell_830
R2,cell_38,cell_1163
R3,cell_38,cell_1658
Z,cell_39,cell_35
E,cell_39,cell_40
T,cell_39,cell_128
s,cell_39,cell_214
N,cell_39,cell_256
R2,cell_39,cell_392
R3,cell_39,cell_478
z,cell_39,cell_484
S,cell_39,cell_883
R2,cell_40,cell_37
E,cell_40,cell_39
Z,cell_40,cell_299
N,cell_40,cell_447
S,cell_40,cell_771
s,cell_40,cell_905
z,cell_40,cell_908
R3,cell_40,cell_1063
T,cell_40,cell_5187
E,cell_41,cell_14
Z,cell_41,cell_43
S,cell_41,cell_44
z,cell_41,cell_228
s,cell_41,cell_718
R2,cell_41,cell_1100
R3,cell_41,cell_1751
T,cell_41,cell_1758
N,cell_41,cell_2793
Z,cell_43,cell_41
s,cell_43,cell_59
R2,cell_43,cell_264
z,cell_43,cell_724
S,cell_43,cell_726
T,cell_43,cell_755
E,cell_43,cell_845
R3,cell_43,cell_1105
N,cell_43,cell_2861
S,cell_44,cell_41
N,cell_44,cell_334
R2,cell_44,cell_408
z,cell_44,cell_411
s,cell_44,cell_638
Z,cell_44,cell_726
R3,cell_44,cell_826
T,cell_44,cell_838
E,cell_44,cell_1699
R3,cell_45,cell_62
S,cell_45,cell_264
T,cell_45,cell_269
Z,cell_45,cell_408
N,cell_45,cell_686
R2,cell_45,cell_726
E,cell_45,cell_964
s,cell_45,cell_1185
z,cell_45,cell_3214
s,cell_46,cell_50
S,cell_46,cell_163
N,cell_46,cell_267
z,cell_46,cell_375
E,cell_46,cell_391
T,cell_46,cell_578
Z,cell_46,cell_681
R2,cell_46,cell_904
R3,cell_46,cell_1354
N,cell_47,cell_38
Z,cell_47,cell_48
s,cell_47,cell_62
E,cell_47,cell_154
T,cell_47,cell_294
R2,cell_47,cell_1106
z,cell_47,cell_1167
R3,cell_47,cell_1185
S,cell_47,cell_1453
Z,cell_48,cell_47
N,cell_48,cell_50
