,T,s,S,R3,z,Z,R2,E,N
cell_0,False,True,True,False,True,True,True,False,False
cell_1,False,True,True,False,False,True,False,False,True
cell_2,False,False,True,True,False,True,False,False,False
cell_3,False,False,False,True,False,True,False,False,False
cell_4,False,False,True,False,False,True,False,False,False
cell_8,False,False,True,True,False,True,False,False,True
cell_10,False,False,True,True,False,False,False,False,True
cell_11,False,False,True,True,True,False,False,True,True
cell_14,False,False,True,True,True,False,True,True,True
cell_17,False,False,True,True,False,False,True,True,True
cell_18,False,True,True,True,True,False,False,True,True
cell_19,False,True,True,True,False,False,True,True,True
cell_21,True,True,False,False,False,False,True,False,True
cell_22,True,False,False,True,False,False,True,False,True
cell_23,True,True,True,True,True,False,True,False,True
cell_24,True,True,True,False,False,False,True,False,True
cell_26,True,True,True,False,False,False,False,False,True
cell_27,True,True,True,True,False,False,True,False,True
cell_31,True,True,False,False,False,False,False,True,True
cell_32,True,True,False,False,True,True,True,True,True
cell_33,False,False,False,False,True,False,True,True,False
cell_34,True,True,False,False,True,True,True,False,False
cell_35,False,True,False,False,False,True,True,True,False
cell_36,True,True,False,False,False,False,False,False,False
cell_37,False,True,False,False,False,False,False,False,False
cell_38,False,True,False,False,True,True,False,False,False
cell_39,False,True,False,False,False,False,True,True,False
cell_40,False,True,False,False,False,False,True,False,False
cell_41,False,False,True,True,True,False,True,False,True
cell_43,False,False,True,True,True,True,True,False,True
cell_44,False,False,False,True,True,False,True,False,True
cell_45,False,False,False,True,True,True,False,False,True
cell_46,False,False,False,False,True,False,False,False,False
cell_47,False,True,False,False,True,True,False,False,True
cell_48,False,True,False,False,True,False,False,False,True
cell_50,False,True,False,False,True,False,False,False,False
cell_51,False,True,True,False,True,True,False,True,False
cell_52,False,False,True,False,False,True,True,False,False
cell_54,False,False,True,False,False,True,True,True,False
cell_55,False,True,True,True,False,True,True,True,True
cell_56,False,True,True,False,False,True,True,True,True
cell_57,False,False,True,False,False,True,True,False,True
cell_58,False,True,True,True,True,True,True,True,True
cell_59,False,True,True,True,True,True,True,False,True
cell_61,False,False,False,True,False,False,False,False,True
cell_62,False,False,False,False,True,True,False,False,True
cell_63,True,False,False,False,True,True,False,False,True
cell_64,True,False,False,False,True,True,False,False,False
cell_65,True,False,False,False,False,True,True,False,True
cell_68,True,False,False,True,True,False,False,False,False
cell_69,True,False,False,False,True,False,True,False,False
cell_71,True,True,True,False,False,False,True,True,False
cell_72,True,False,True,False,True,False,True,True,False
cell_73,True,False,True,False,False,False,True,True,False
cell_74,True,False,True,True,True,False,True,True,False
cell_75,True,False,False,True,False,False,False,True,False
cell_76,True,False,False,True,False,False,False,True,True
cell_77,True,True,False,True,True,False,True,True,True
cell_78,True,True,False,True,True,True,True,True,True
cell_79,True,True,False,True,False,True,True,True,True
cell_81,True,False,False,False,True,False,True,False,True
cell_82,True,True,False,True,True,False,True,False,True
cell_83,True,True,False,True,True,False,True,False,False
cell_89,True,True,False,True,True,False,True,True,False
cell_90,True,True,False,True,True,True,True,True,False
cell_91,True,False,True,False,True,True,False,False,True
cell_92,True,False,True,False,True,True,True,False,False
cell_93,True,False,True,False,True,False,False,False,False
cell_94,True,False,True,False,True,False,True,False,False
cell_97,True,False,True,True,False,True,True,False,False
cell_98,True,False,True,False,False,True,True,False,False
cell_101,False,False,True,False,True,False,False,False,True
cell_102,False,True,True,False,False,False,False,False,True
cell_103,False,True,True,False,True,False,True,False,True
cell_105,True,True,True,False,True,True,True,False,True
cell_106,True,True,True,False,True,False,True,False,True
cell_107,True,True,True,False,False,True,False,False,True
cell_109,False,True,True,True,False,True,False,False,True
cell_110,False,True,True,True,False,False,False,False,True
cell_112,False,True,True,False,True,False,False,True,True
cell_114,True,False,False,False,False,False,True,True,True
cell_115,True,True,True,False,False,False,True,True,True
cell_116,True,True,False,False,False,False,True,True,True
cell_117,False,True,True,False,True,True,True,True,True
cell_118,False,True,False,False,True,False,True,True,True
cell_121,True,True,False,False,False,True,True,True,True
cell_122,True,False,True,True,False,True,False,True,False
cell_123,True,False,True,False,False,True,False,True,False
cell_124,True,True,True,False,False,True,True,True,False
cell_125,False,False,True,True,False,True,True,True,False
cell_126,True,False,True,True,False,True,True,True,False
cell_128,True,True,False,False,False,False,True,True,False
cell_132,False,False,True,True,True,False,False,True,False
cell_133,False,False,True,True,False,False,False,True,False
cell_134,True,False,True,True,True,True,False,True,False
cell_139,True,False,True,True,False,False,False,True,False
cell_140,False,False,False,True,False,False,False,True,False
cell_142,True,False,True,False,False,False,True,True,True
cell_143,True,False,True,False,False,True,True,True,True
cell_145,True,False,True,True,False,True,True,True,True
cell_147,True,False,True,True,False,False,True,True,False
cell_150,True,True,True,True,False,False,True,True,True
cell_152,True,True,False,True,False,True,False,True,True
cell_154,False,True,False,False,True,True,False,True,True
cell_157,False,True,False,True,True,True,False,True,False
cell_158,False,True,False,False,True,True,False,True,False
cell_159,True,True,False,False,True,True,False,True,True
cell_160,True,True,False,False,True,True,False,True,False
cell_162,False,False,True,False,True,False,True,False,False
cell_163,False,False,True,False,True,False,False,False,False
cell_164,False,True,True,False,True,False,False,False,False
cell_166,False,True,True,False,True,False,True,False,False
cell_169,False,False,True,False,True,True,False,False,True
cell_173,True,False,True,True,True,False,True,True,True
cell_178,True,False,True,True,True,True,True,True,True
cell_181,True,False,False,True,False,False,True,True,True
cell_183,True,True,False,True,False,True,True,False,False
cell_184,True,True,False,False,False,True,False,False,False
cell_185,True,True,False,True,False,False,False,False,False
cell_187,True,True,False,True,False,False,True,False,False
cell_190,True,True,False,True,False,False,True,False,True
cell_191,True,True,False,True,False,True,True,False,True
cell_192,True,True,False,False,True,True,False,False,False
cell_193,True,False,False,True,True,True,False,False,False
cell_194,True,True,False,True,True,True,False,False,False
cell_203,True,True,False,False,True,False,False,True,False
cell_204,True,False,False,True,False,False,True,True,False
cell_205,True,False,True,False,True,False,False,True,False
cell_206,True,False,True,True,True,False,False,True,False
cell_207,True,True,True,True,False,False,False,True,False
cell_209,False,True,True,False,False,True,False,True,False
cell_210,False,True,True,True,False,True,False,True,True
cell_212,True,True,True,False,True,True,False,True,True
cell_213,False,False,False,False,False,False,True,True,True
cell_214,False,False,False,False,False,False,True,True,False
cell_215,False,False,False,True,False,True,False,True,True
cell_216,False,False,True,False,False,True,False,True,True
cell_217,False,True,True,False,True,True,False,True,True
cell_218,False,False,True,True,True,True,False,True,False
cell_221,False,False,False,True,True,False,False,True,False
cell_223,False,True,False,True,True,False,False,False,False
cell_224,False,False,True,True,False,False,False,False,False
cell_225,False,False,True,True,True,False,False,False,False
cell_228,False,False,True,True,False,False,True,False,True
cell_230,False,False,True,False,False,False,False,False,True
cell_233,True,True,True,False,False,False,False,True,False
cell_235,True,True,True,False,False,False,False,True,True
cell_237,True,True,True,False,False,True,True,True,True
cell_238,True,True,True,True,False,True,True,True,True
cell_241,False,True,True,True,False,False,False,True,True
cell_242,True,True,True,True,False,False,False,True,True
cell_243,False,False,True,False,True,True,True,False,False
cell_244,False,True,True,False,False,True,False,False,False
cell_245,True,True,True,False,False,True,False,False,False
cell_247,True,False,True,False,False,True,True,False,True
cell_248,True,False,True,False,False,True,False,False,True
cell_250,True,False,True,False,False,False,False,False,True
cell_251,True,False,True,False,True,False,False,False,True
cell_254,True,True,False,True,False,False,False,True,True
cell_255,True,True,False,True,False,False,True,True,True
cell_256,False,True,False,False,False,False,True,True,True
cell_257,True,True,False,False,True,True,True,True,False
cell_258,True,True,False,False,False,True,True,True,False
cell_259,True,False,False,False,False,False,True,True,False
cell_260,False,False,False,False,False,True,True,True,False
cell_261,False,False,False,False,False,True,False,True,False
cell_262,False,True,False,False,False,True,False,True,False
cell_263,False,True,True,True,True,False,False,False,True
cell_264,False,False,True,True,True,True,False,False,True
cell_265,True,False,True,True,False,True,False,False,True
cell_266,True,False,True,True,True,False,False,False,True
cell_267,False,False,False,False,True,False,False,False,True
cell_268,True,False,False,False,False,False,False,False,False
cell_269,True,False,False,True,True,True,False,False,True
cell_270,True,True,False,True,False,True,False,False,True
