,PseudoTime
cell_0,0.06949596
cell_1,0.050456196
cell_2,0.02773608
cell_3,0.01318316
cell_4,0.0
cell_5,0.019340018
cell_6,0.018006563
cell_7,0.027143192
cell_8,0.026594326
cell_9,0.030983588
cell_10,0.029110862
cell_11,0.07216221
cell_12,0.07178313
cell_13,0.0746873
cell_14,0.07869749
cell_15,0.07451587
cell_16,0.07874078
cell_17,0.07620433
cell_18,0.07889134
cell_19,0.08003632
cell_20,0.07872605
cell_21,0.016111217
cell_22,0.025073592
cell_23,0.030990629
cell_24,0.03530109
cell_25,0.037350867
cell_26,0.03878074
cell_27,0.04099203
cell_28,0.04703273
cell_29,0.04524851
cell_30,0.044664305
cell_31,0.07873133
cell_32,0.07742072
cell_33,0.082237266
cell_34,0.07946065
cell_35,0.07537945
cell_36,0.07775149
cell_37,0.07845889
cell_38,0.074985385
cell_39,0.08242799
cell_40,0.07835285
cell_41,0.05104344
cell_42,0.040316522
cell_43,0.024905195
cell_44,0.025298612
cell_45,0.005112901
cell_46,0.004872692
cell_47,0.006356707
cell_48,0.016546402
cell_49,0.021777892
cell_50,0.022016227
cell_51,0.07761624
cell_52,0.082524054
cell_53,0.076593526
cell_54,0.08628637
cell_55,0.087372355
cell_56,0.08646497
cell_57,0.09023657
cell_58,0.091305904
cell_59,0.091753006
cell_60,0.08898226
cell_61,0.123173974
cell_62,0.068929136
cell_63,0.034367595
cell_64,0.022971125
cell_65,0.012424298
cell_66,0.0013021606
cell_67,0.0048774867
cell_68,0.019939715
cell_69,0.028647797
cell_70,0.038420033
cell_71,0.080970414
cell_72,0.07727137
cell_73,0.078638144
cell_74,0.070615254
cell_75,0.07490138
cell_76,0.07280366
cell_77,0.07896468
cell_78,0.07460512
cell_79,0.08019052
cell_80,0.0772636
cell_81,0.06470022
cell_82,0.07182663
cell_83,0.070036404
cell_84,0.0727135
cell_85,0.07859004
cell_86,0.08261854
cell_87,0.081284925
cell_88,0.08468224
cell_89,0.08584402
cell_90,0.088018246
cell_91,0.07134497
cell_92,0.078244306
cell_93,0.07590255
cell_94,0.07874823
cell_95,0.07832491
cell_96,0.08114555
cell_97,0.07645723
cell_98,0.080374815
cell_99,0.08319518
cell_100,0.07508801
cell_101,0.010732316
cell_102,0.015718188
cell_103,0.016545424
cell_104,0.017508764
cell_105,0.021214103
cell_106,0.032395784
cell_107,0.032578357
cell_108,0.035600375
cell_109,0.035278123
cell_110,0.036628246
cell_111,0.03849302
cell_112,0.14362884
cell_113,0.105066806
cell_114,0.090386145
cell_115,0.083794385
cell_116,0.080217004
cell_117,0.07622109
cell_118,0.07838791
cell_119,0.076079704
cell_120,0.07424268
cell_121,0.07655467
cell_122,0.07827104
cell_123,0.083278626
cell_124,0.081124
cell_125,0.08229439
cell_126,0.07790939
cell_127,0.08632082
cell_128,0.087675005
cell_129,0.085822016
cell_130,0.086083665
cell_131,0.07921904
cell_132,0.10783641
cell_133,0.0893915
cell_134,0.07838335
cell_135,0.07171239
cell_136,0.07949826
cell_137,0.07574161
cell_138,0.073507056
cell_139,0.077468306
cell_140,0.078115396
cell_141,0.07884807
cell_142,inf
cell_143,0.4731223
cell_144,0.51014173
cell_145,0.30141634
cell_146,0.26719615
cell_147,0.23140863
cell_148,0.1640193
cell_149,0.118173555
cell_150,0.08236867
cell_151,0.08285678
cell_152,0.07462208
cell_153,0.07612285
cell_154,0.07736401
cell_155,0.073146865
cell_156,0.07892307
cell_157,0.078839116
cell_158,0.07568642
cell_159,0.07914121
cell_160,0.08476256
cell_161,0.080280036
cell_162,0.02565005
cell_163,0.012521584
cell_164,0.008570948
cell_165,0.010277715
cell_166,0.015010476
cell_167,0.012335616
cell_168,0.020417055
cell_169,0.023824602
cell_170,0.026455319
cell_171,0.026320128
cell_172,0.17686586
cell_173,0.120519474
cell_174,0.0922332
cell_175,0.08565894
cell_176,0.08084273
cell_177,0.08359954
cell_178,0.07390054
cell_179,0.07670919
cell_180,0.075385876
cell_181,0.07327197
cell_182,0.016064892
cell_183,0.019936277
cell_184,0.031080548
cell_185,0.033182036
cell_186,0.035237756
cell_187,0.038866326
cell_188,0.038199786
