Gene,StateA,StateB
E,cell_0,cell_148
T,cell_0,cell_233
R2,cell_0,cell_580
S,cell_0,cell_794
N,cell_0,cell_869
z,cell_0,cell_1164
R3,cell_0,cell_1467
s,cell_0,cell_2023
Z,cell_0,cell_2139
R2,cell_1,cell_104
E,cell_1,cell_274
z,cell_1,cell_426
R3,cell_1,cell_466
Z,cell_1,cell_699
S,cell_1,cell_739
s,cell_1,cell_977
N,cell_1,cell_990
T,cell_1,cell_2091
R2,cell_2,cell_4
N,cell_2,cell_27
s,cell_2,cell_92
R3,cell_2,cell_237
T,cell_2,cell_375
z,cell_2,cell_456
Z,cell_2,cell_1138
E,cell_2,cell_2382
S,cell_2,cell_3188
R2,cell_4,cell_2
s,cell_4,cell_6
z,cell_4,cell_112
N,cell_4,cell_307
E,cell_4,cell_538
T,cell_4,cell_542
S,cell_4,cell_699
Z,cell_4,cell_739
R3,cell_4,cell_2465
s,cell_6,cell_4
N,cell_6,cell_7
R3,cell_6,cell_14
z,cell_6,cell_15
T,cell_6,cell_20
R2,cell_6,cell_92
S,cell_6,cell_494
E,cell_6,cell_1100
Z,cell_6,cell_2342
N,cell_7,cell_6
R2,cell_7,cell_25
T,cell_7,cell_255
s,cell_7,cell_307
z,cell_7,cell_308
R3,cell_7,cell_318
S,cell_7,cell_495
E,cell_7,cell_1620
Z,cell_7,cell_2607
T,cell_8,cell_9
R3,cell_8,cell_25
N,cell_8,cell_91
R2,cell_8,cell_318
S,cell_8,cell_512
z,cell_8,cell_1273
E,cell_8,cell_1353
s,cell_8,cell_1377
Z,cell_8,cell_3109
T,cell_9,cell_8
R3,cell_9,cell_23
s,cell_9,cell_41
z,cell_9,cell_42
R2,cell_9,cell_46
Z,cell_9,cell_253
S,cell_9,cell_508
N,cell_9,cell_2366
E,cell_9,cell_3055
R3,cell_14,cell_6
R2,cell_14,cell_91
z,cell_14,cell_113
N,cell_14,cell_318
S,cell_14,cell_486
E,cell_14,cell_1044
T,cell_14,cell_1313
Z,cell_14,cell_2339
s,cell_14,cell_2465
z,cell_15,cell_6
s,cell_15,cell_112
R3,cell_15,cell_113
R2,cell_15,cell_236
N,cell_15,cell_308
Z,cell_15,cell_435
E,cell_15,cell_918
S,cell_15,cell_1509
T,cell_15,cell_1762
R3,cell_17,cell_112
s,cell_17,cell_113
E,cell_17,cell_170
R2,cell_17,cell_452
T,cell_17,cell_453
S,cell_17,cell_700
Z,cell_17,cell_2190
N,cell_17,cell_2220
z,cell_17,cell_2465
T,cell_20,cell_6
N,cell_20,cell_255
S,cell_20,cell_380
s,cell_20,cell_542
Z,cell_20,cell_800
R2,cell_20,cell_976
R3,cell_20,cell_1313
z,cell_20,cell_1762
E,cell_20,cell_2926
S,cell_21,cell_49
E,cell_21,cell_73
R3,cell_21,cell_138
Z,cell_21,cell_141
s,cell_21,cell_209
z,cell_21,cell_212
T,cell_21,cell_322
N,cell_21,cell_370
R2,cell_21,cell_506
s,cell_22,cell_132
Z,cell_22,cell_138
R3,cell_22,cell_141
S,cell_22,cell_255
N,cell_22,cell_380
T,cell_22,cell_495
E,cell_22,cell_610
R2,cell_22,cell_1446
z,cell_22,cell_2717
R3,cell_23,cell_9
T,cell_23,cell_25
E,cell_23,cell_54
R2,cell_23,cell_255
Z,cell_23,cell_805
N,cell_23,cell_976
z,cell_23,cell_1000
s,cell_23,cell_1375
S,cell_23,cell_1446
R2,cell_25,cell_7
R3,cell_25,cell_8
T,cell_25,cell_23
s,cell_25,cell_27
N,cell_25,cell_92
S,cell_25,cell_95
z,cell_25,cell_647
E,cell_25,cell_1498
Z,cell_25,cell_2606
N,cell_27,cell_2
s,cell_27,cell_25
S,cell_27,cell_97
R2,cell_27,cell_307
z,cell_27,cell_309
T,cell_27,cell_1375
R3,cell_27,cell_1377
Z,cell_27,cell_1393
E,cell_27,cell_1711
R2,cell_31,cell_37
z,cell_31,cell_142
T,cell_31,cell_274
s,cell_31,cell_526
S,cell_31,cell_554
N,cell_31,cell_843
R3,cell_31,cell_1419
E,cell_31,cell_2091
Z,cell_31,cell_2145
T,cell_32,cell_33
R3,cell_32,cell_40
s,cell_32,cell_293
E,cell_32,cell_687
S,cell_32,cell_1202
R2,cell_32,cell_1203
z,cell_32,cell_1206
N,cell_32,cell_1394
Z,cell_32,cell_1936
T,cell_33,cell_32
Z,cell_33,cell_36
N,cell_33,cell_77
z,cell_33,cell_150
R3,cell_33,cell_263
E,cell_33,cell_469
S,cell_33,cell_758
R2,cell_33,cell_761
s,cell_33,cell_2678
Z,cell_36,cell_33
E,cell_36,cell_103
N,cell_36,cell_196
z,cell_36,cell_276
R2,cell_36,cell_281
s,cell_36,cell_302
R3,cell_36,cell_1258
S,cell_36,cell_1299
T,cell_36,cell_1936
R2,cell_37,cell_31
Z,cell_37,cell_40
E,cell_37,cell_105
z,cell_37,cell_109
T,cell_37,cell_1258
S,cell_37,cell_1423
R3,cell_37,cell_1936
s,cell_37,cell_2040
N,cell_37,cell_3142
R3,cell_40,cell_32
Z,cell_40,cell_37
T,cell_40,cell_263
E,cell_40,cell_376
z,cell_40,cell_569
S,cell_40,cell_1016
s,cell_40,cell_1395
N,cell_40,cell_1526
R2,cell_40,cell_2145
s,cell_41,cell_9
z,cell_41,cell_61
Z,cell_41,cell_397
S,cell_41,cell_510
R2,cell_41,cell_780
N,cell_41,cell_931
R3,cell_41,cell_1375
T,cell_41,cell_1377
E,cell_41,cell_1616
z,cell_42,cell_9
Z,cell_42,cell_43
R2,cell_42,cell_44
s,cell_42,cell_61
N,cell_42,cell_431
S,cell_42,cell_514
R3,cell_42,cell_1000
E,cell_42,cell_1224
T,cell_42,cell_1273
Z,cell_43,cell_42
S,cell_43,cell_244
z,cell_43,cell_253
s,cell_43,cell_402
N,cell_43,cell_644
R2,cell_43,cell_646
R3,cell_43,cell_1173
E,cell_43,cell_1227
T,cell_43,cell_2235
R2,cell_44,cell_42
z,cell_44,cell_46
s,cell_44,cell_394
Z,cell_44,cell_646
T,cell_44,cell_648
N,cell_44,cell_794
S,cell_44,cell_869
E,cell_44,cell_1277
R3,cell_44,cell_1555
R2,cell_46,cell_9
z,cell_46,cell_44
Z,cell_46,cell_49
S,cell_46,cell_141
R3,cell_46,cell_255
T,cell_46,cell_318
s,cell_46,cell_780
N,cell_46,cell_1313
E,cell_46,cell_2222
R3,cell_47,cell_49
S,cell_47,cell_138
Z,cell_47,cell_255
s,cell_47,cell_354
N,cell_47,cell_800
R2,cell_47,cell_805
z,cell_47,cell_1174
E,cell_47,cell_1249
T,cell_47,cell_2607
S,cell_49,cell_21
Z,cell_49,cell_46
R3,cell_49,cell_47
R2,cell_49,cell_253
T,cell_49,cell_321
z,cell_49,cell_646
s,cell_49,cell_778
N,cell_49,cell_808
E,cell_49,cell_3709
R2,cell_51,cell_63
Z,cell_51,cell_66
E,cell_51,cell_394
T,cell_51,cell_656
S,cell_51,cell_829
z,cell_51,cell_1184
s,cell_51,cell_1277
R3,cell_51,cell_1366
N,cell_51,cell_1587
R3,cell_52,cell_53
T,cell_52,cell_57
z,cell_52,cell_66
S,cell_52,cell_210
N,cell_52,cell_771
E,cell_52,cell_778
Z,cell_52,cell_1184
R2,cell_52,cell_2490
s,cell_52,cell_3709
R3,cell_53,cell_52
R2,cell_53,cell_55
T,cell_53,cell_56
z,cell_53,cell_68
E,cell_53,cell_354
N,cell_53,cell_554
S,cell_53,cell_843
s,cell_53,cell_1249
Z,cell_53,cell_1617
E,cell_54,cell_23
z,cell_54,cell_478
S,cell_54,cell_607
N,cell_54,cell_1015
Z,cell_54,cell_1247
T,cell_54,cell_1498
R2,cell_54,cell_1618
