,T,s,S,R3,z,Z,R2,E,N
cell_0,False,False,False,True,True,True,False,False,False
cell_1,True,True,False,False,False,False,False,False,False
cell_2,True,True,True,False,False,True,True,False,False
cell_4,True,True,True,False,False,True,False,False,False
cell_6,True,False,True,False,False,True,False,False,False
cell_7,True,False,True,False,False,True,False,False,True
cell_8,True,False,True,True,False,True,True,False,True
cell_9,False,False,True,True,False,True,True,False,True
cell_14,True,False,True,True,False,True,False,False,False
cell_15,True,False,True,False,True,True,False,False,False
cell_17,True,True,True,True,True,True,False,False,False
cell_20,False,False,True,False,False,True,False,False,False
cell_21,False,False,False,True,False,False,False,False,True
cell_22,False,False,False,False,False,True,False,False,True
cell_23,False,False,True,False,False,True,True,False,True
cell_25,True,False,True,False,False,True,True,False,True
cell_27,True,True,True,False,False,True,True,False,True
cell_31,False,True,False,False,False,False,False,True,False
cell_32,False,True,False,True,False,True,True,True,False
cell_33,True,True,False,True,False,True,True,True,False
cell_36,True,True,False,True,False,False,True,True,False
cell_37,False,True,False,False,False,False,True,True,False
cell_40,False,True,False,False,False,True,True,True,False
cell_41,False,True,True,True,False,True,True,False,True
cell_42,False,False,True,True,True,True,True,False,True
cell_43,False,False,True,True,True,False,True,False,True
cell_44,False,False,True,True,True,True,False,False,True
cell_46,False,False,True,True,False,True,False,False,True
cell_47,False,False,True,False,False,False,False,False,True
cell_49,False,False,True,True,False,False,False,False,True
cell_51,False,True,True,True,True,True,False,True,True
cell_52,False,True,True,True,False,False,False,True,True
cell_53,False,True,True,False,False,False,False,True,True
cell_54,False,False,True,False,False,True,True,True,True
cell_55,False,True,True,False,False,False,True,True,True
cell_56,True,True,True,False,False,False,False,True,True
cell_57,True,True,True,True,False,False,False,True,True
cell_60,True,True,True,False,False,False,True,True,True
cell_61,False,True,True,True,True,True,True,False,True
cell_63,False,True,True,True,True,True,True,True,True
cell_66,False,True,True,True,True,False,False,True,True
cell_68,False,True,True,False,True,False,False,True,True
cell_71,False,False,False,False,False,False,False,True,True
cell_72,False,False,False,True,False,False,True,True,True
cell_73,False,False,False,True,False,False,False,True,True
cell_74,True,False,False,True,False,True,True,True,True
cell_75,True,True,False,True,True,True,True,True,True
cell_76,True,True,False,True,True,True,False,True,True
cell_77,True,True,False,True,False,True,True,True,True
cell_80,True,False,False,True,False,True,False,True,True
cell_82,False,False,True,False,True,True,False,True,False
cell_84,False,False,True,True,False,False,False,True,False
cell_86,False,False,True,True,False,True,False,True,False
cell_87,False,False,True,True,True,False,False,True,False
cell_90,True,True,True,True,True,False,False,True,True
cell_91,True,False,True,True,False,True,True,False,False
cell_92,True,False,True,False,False,True,True,False,False
cell_94,True,False,False,False,False,True,True,False,False
cell_95,True,False,False,False,False,True,True,False,True
cell_97,True,True,False,False,False,True,True,False,True
cell_101,True,False,False,False,False,False,True,False,False
cell_102,True,False,False,True,False,False,True,False,False
cell_103,True,True,False,True,False,False,True,False,False
cell_104,True,True,False,False,False,False,True,False,False
cell_105,False,True,False,False,False,False,True,False,False
cell_108,False,True,False,False,True,False,True,False,False
cell_109,False,True,False,False,True,False,True,True,False
cell_112,True,True,True,False,True,True,False,False,False
cell_113,True,False,True,True,True,True,False,False,False
cell_123,True,False,True,True,False,False,False,True,False
cell_124,False,False,True,True,True,True,True,True,False
cell_125,False,False,False,True,False,False,True,True,False
cell_127,False,False,False,True,False,False,False,True,False
cell_132,False,True,False,False,False,True,False,False,True
cell_133,False,True,False,False,False,False,True,False,True
cell_134,True,True,False,True,False,False,True,False,True
cell_135,True,False,False,False,False,False,True,False,True
cell_136,False,False,False,False,False,False,True,False,True
cell_138,False,False,False,False,False,False,False,False,True
cell_141,False,False,False,True,False,True,False,False,True
cell_142,False,True,False,False,True,False,False,True,False
cell_144,False,True,False,False,True,True,False,True,False
cell_145,False,True,False,True,True,True,False,True,False
cell_146,False,False,False,False,True,False,False,True,False
cell_147,False,False,False,True,True,False,False,True,False
cell_148,False,False,False,True,True,True,False,True,False
cell_149,True,False,False,True,True,True,False,True,False
cell_150,True,True,False,True,True,True,True,True,False
cell_152,True,False,False,False,True,False,False,True,False
cell_153,True,False,False,False,False,False,False,True,False
cell_154,True,False,False,True,True,False,True,True,False
cell_156,True,False,True,False,False,False,False,True,False
cell_157,False,False,True,True,False,False,True,True,False
cell_158,True,False,True,True,False,False,True,True,False
cell_159,True,False,True,False,False,False,True,True,False
cell_162,False,True,False,True,True,False,False,True,False
cell_163,True,True,False,True,True,False,False,True,True
cell_165,True,True,False,True,False,False,False,True,True
cell_170,True,True,True,True,True,True,False,True,False
cell_172,False,True,True,False,True,True,False,True,False
cell_174,False,False,True,True,True,True,False,True,False
cell_182,True,False,True,False,True,False,True,True,False
cell_183,True,False,False,False,True,False,True,True,False
cell_185,True,False,False,False,False,False,True,True,False
cell_189,True,True,False,False,True,False,True,False,False
cell_194,True,True,False,False,False,True,True,True,True
cell_195,True,True,False,False,False,False,True,True,True
cell_196,True,True,False,True,False,False,True,True,True
cell_197,True,True,False,True,True,False,True,True,True
cell_204,True,True,False,False,True,False,False,True,True
cell_205,True,True,False,False,True,False,False,False,True
cell_206,True,True,False,True,True,False,False,False,True
cell_209,False,True,False,True,False,False,False,False,True
cell_210,False,True,False,True,False,False,False,True,True
cell_211,True,True,False,True,False,False,False,False,True
cell_212,False,False,False,True,True,False,False,False,True
cell_216,True,False,False,True,False,False,False,True,True
cell_217,False,False,False,False,True,False,False,True,True
cell_218,False,False,False,False,False,False,True,True,True
cell_219,False,False,False,False,True,False,True,True,True
cell_220,False,False,False,True,True,False,True,True,True
cell_223,True,False,True,True,False,False,True,True,True
cell_224,True,False,True,False,True,False,True,True,True
cell_227,True,False,True,False,False,False,True,True,True
cell_228,True,True,True,False,True,False,True,True,True
cell_230,False,True,True,False,True,False,True,True,True
cell_233,True,False,False,True,True,True,False,False,False
cell_234,True,False,False,True,True,False,True,False,False
cell_235,True,False,True,False,False,False,True,False,False
cell_236,True,False,True,False,True,True,True,False,False
cell_237,True,True,True,True,False,True,True,False,False
cell_243,False,True,False,True,True,False,True,False,True
cell_244,False,False,False,True,True,False,True,False,True
cell_245,False,True,False,False,True,False,False,False,True
cell_251,True,False,False,True,True,False,True,False,True
cell_252,True,True,False,False,True,False,True,False,True
cell_253,False,False,True,True,False,False,True,False,True
cell_254,False,True,True,False,True,True,False,False,True
cell_255,False,False,True,False,False,True,False,False,True
cell_258,False,True,True,False,False,True,False,False,True
cell_263,True,True,False,False,False,True,True,True,False
cell_266,True,True,True,False,True,False,False,True,False
cell_267,True,True,True,True,True,False,False,True,False
