Gene,StateA,StateB
R2,cell_0,cell_2
E,cell_0,cell_3
s,cell_0,cell_5
R3,cell_0,cell_8
T,cell_0,cell_365
S,cell_0,cell_404
Z,cell_0,cell_993
z,cell_0,cell_1182
N,cell_0,cell_2507
R2,cell_2,cell_0
R3,cell_2,cell_9
s,cell_2,cell_190
T,cell_2,cell_889
N,cell_2,cell_949
Z,cell_2,cell_994
E,cell_2,cell_1677
S,cell_2,cell_1985
z,cell_2,cell_2398
E,cell_3,cell_0
s,cell_3,cell_6
Z,cell_3,cell_105
R3,cell_3,cell_329
T,cell_3,cell_972
z,cell_3,cell_1580
R2,cell_3,cell_1677
N,cell_3,cell_2174
S,cell_3,cell_2525
E,cell_4,cell_33
z,cell_4,cell_187
Z,cell_4,cell_813
T,cell_4,cell_1029
S,cell_4,cell_1074
s,cell_4,cell_1344
N,cell_4,cell_1370
R3,cell_4,cell_1407
R2,cell_4,cell_1409
s,cell_5,cell_0
E,cell_5,cell_6
R3,cell_5,cell_7
Z,cell_5,cell_104
R2,cell_5,cell_190
S,cell_5,cell_409
N,cell_5,cell_433
z,cell_5,cell_1818
T,cell_5,cell_4096
s,cell_6,cell_3
E,cell_6,cell_5
Z,cell_6,cell_103
S,cell_6,cell_183
R2,cell_6,cell_189
N,cell_6,cell_253
T,cell_6,cell_315
z,cell_6,cell_941
R3,cell_6,cell_1071
R3,cell_7,cell_5
s,cell_7,cell_8
Z,cell_7,cell_101
R2,cell_7,cell_187
S,cell_7,cell_410
T,cell_7,cell_528
E,cell_7,cell_1071
z,cell_7,cell_1409
N,cell_7,cell_2179
R3,cell_8,cell_0
s,cell_8,cell_7
R2,cell_8,cell_9
z,cell_8,cell_324
E,cell_8,cell_329
T,cell_8,cell_401
Z,cell_8,cell_1166
N,cell_8,cell_1301
S,cell_8,cell_1717
R3,cell_9,cell_2
R2,cell_9,cell_8
s,cell_9,cell_187
S,cell_9,cell_406
N,cell_9,cell_427
Z,cell_9,cell_1164
z,cell_9,cell_1344
T,cell_9,cell_1618
E,cell_9,cell_3946
T,cell_10,cell_25
N,cell_10,cell_103
R3,cell_10,cell_112
R2,cell_10,cell_113
Z,cell_10,cell_253
z,cell_10,cell_254
E,cell_10,cell_434
s,cell_10,cell_606
S,cell_10,cell_1145
s,cell_11,cell_23
S,cell_11,cell_25
N,cell_11,cell_267
z,cell_11,cell_393
R3,cell_11,cell_421
Z,cell_11,cell_505
R2,cell_11,cell_656
E,cell_11,cell_1108
T,cell_11,cell_1145
N,cell_13,cell_271
s,cell_13,cell_511
E,cell_13,cell_512
T,cell_13,cell_692
S,cell_13,cell_753
z,cell_13,cell_861
R2,cell_13,cell_1103
Z,cell_13,cell_1105
R3,cell_13,cell_3320
Z,cell_14,cell_28
E,cell_14,cell_42
z,cell_14,cell_45
R2,cell_14,cell_233
S,cell_14,cell_511
s,cell_14,cell_753
N,cell_14,cell_889
T,cell_14,cell_949
R3,cell_14,cell_1425
E,cell_15,cell_16
z,cell_15,cell_19
Z,cell_15,cell_30
s,cell_15,cell_233
R3,cell_15,cell_286
T,cell_15,cell_433
R2,cell_15,cell_753
S,cell_15,cell_1103
N,cell_15,cell_4096
E,cell_16,cell_15
z,cell_16,cell_20
Z,cell_16,cell_25
s,cell_16,cell_43
T,cell_16,cell_253
N,cell_16,cell_315
R2,cell_16,cell_359
S,cell_16,cell_505
R3,cell_16,cell_1536
z,cell_19,cell_15
E,cell_19,cell_20
N,cell_19,cell_89
S,cell_19,cell_153
R3,cell_19,cell_284
s,cell_19,cell_354
R2,cell_19,cell_357
T,cell_19,cell_432
Z,cell_19,cell_521
z,cell_20,cell_16
E,cell_20,cell_19
s,cell_20,cell_41
N,cell_20,cell_215
R3,cell_20,cell_617
R2,cell_20,cell_624
S,cell_20,cell_829
Z,cell_20,cell_1122
T,cell_20,cell_2014
N,cell_21,cell_163
S,cell_21,cell_203
E,cell_21,cell_417
R2,cell_21,cell_421
Z,cell_21,cell_508
R3,cell_21,cell_656
z,cell_21,cell_1174
s,cell_21,cell_1360
T,cell_21,cell_1800
s,cell_23,cell_11
N,cell_23,cell_55
S,cell_23,cell_236
R3,cell_23,cell_240
z,cell_23,cell_385
R2,cell_23,cell_415
E,cell_23,cell_486
Z,cell_23,cell_769
T,cell_23,cell_2428
s,cell_24,cell_27
E,cell_24,cell_28
Z,cell_24,cell_42
R2,cell_24,cell_236
N,cell_24,cell_308
S,cell_24,cell_415
R3,cell_24,cell_627
T,cell_24,cell_1522
z,cell_24,cell_1606
T,cell_25,cell_10
S,cell_25,cell_11
Z,cell_25,cell_16
R2,cell_25,cell_27
E,cell_25,cell_30
R3,cell_25,cell_230
s,cell_25,cell_236
z,cell_25,cell_1122
N,cell_25,cell_3333
Z,cell_26,cell_41
E,cell_26,cell_49
N,cell_26,cell_85
z,cell_26,cell_236
T,cell_26,cell_255
S,cell_26,cell_385
s,cell_26,cell_1122
R3,cell_26,cell_1125
R2,cell_26,cell_1606
s,cell_27,cell_24
R2,cell_27,cell_25
E,cell_27,cell_29
T,cell_27,cell_113
R3,cell_27,cell_203
N,cell_27,cell_311
Z,cell_27,cell_359
z,cell_27,cell_522
S,cell_27,cell_656
