,T,s,S,R3,z,Z,R2,E,N
cell_0,False,True,True,False,True,True,True,False,False
cell_2,False,True,True,False,True,True,False,False,False
cell_3,False,True,True,False,True,True,True,True,False
cell_4,False,False,True,True,False,True,False,False,False
cell_5,False,False,True,False,True,True,True,False,False
cell_6,False,False,True,False,True,True,True,True,False
cell_7,False,False,True,True,True,True,True,False,False
cell_8,False,True,True,True,True,True,True,False,False
cell_9,False,True,True,True,True,True,False,False,False
cell_10,False,False,True,False,True,False,True,True,True
cell_11,True,False,False,False,True,False,True,True,True
cell_13,True,False,False,False,True,True,False,False,True
cell_14,True,True,True,False,True,True,False,False,True
cell_15,True,False,True,False,True,True,True,False,True
cell_16,True,False,True,False,True,True,True,True,True
cell_19,True,False,True,False,False,True,True,False,True
cell_20,True,False,True,False,False,True,True,True,True
cell_21,True,False,False,True,True,False,False,True,True
cell_23,True,True,False,False,True,False,True,True,True
cell_24,True,True,True,False,True,False,False,True,True
cell_25,True,False,True,False,True,False,True,True,True
cell_26,True,True,True,False,False,False,True,True,True
cell_27,True,False,True,False,True,False,False,True,True
cell_28,True,True,True,False,True,False,False,False,True
cell_29,True,False,True,False,True,False,False,False,True
cell_30,True,False,True,False,True,False,True,False,True
cell_33,False,False,True,True,False,True,False,True,False
cell_34,False,False,True,False,False,False,False,False,False
cell_35,False,True,True,False,False,False,False,True,False
cell_36,False,True,True,False,False,False,False,False,False
cell_38,False,True,False,False,False,False,False,True,False
cell_39,False,False,False,False,False,False,True,False,False
cell_40,False,False,False,False,False,False,False,True,False
cell_41,True,True,True,False,False,True,True,True,True
cell_42,True,True,True,False,True,True,False,True,True
cell_43,True,True,True,False,True,True,True,True,True
cell_45,True,True,True,False,False,True,False,False,True
cell_48,True,True,True,False,False,False,False,False,True
cell_49,True,True,True,False,False,False,True,False,True
cell_51,True,False,False,True,True,False,False,False,False
cell_52,True,False,False,True,True,False,True,False,False
cell_53,True,False,False,True,True,False,True,True,False
cell_54,True,False,False,False,True,False,False,True,False
cell_55,True,True,False,False,True,False,True,True,False
cell_57,False,True,False,False,True,False,True,False,False
cell_58,False,True,False,False,True,False,True,True,False
cell_60,False,True,False,False,True,False,False,True,False
cell_61,True,True,False,True,False,True,True,True,True
cell_63,True,True,False,True,True,True,True,True,True
cell_65,True,True,False,True,True,True,True,False,True
cell_66,True,True,False,True,True,True,False,True,True
cell_70,True,True,False,True,True,True,False,False,True
cell_71,False,True,True,True,False,True,False,True,True
cell_72,False,True,True,True,False,True,True,True,True
cell_73,False,True,True,True,False,True,False,False,True
cell_76,False,True,True,True,False,False,False,False,True
cell_77,False,True,True,True,False,False,False,True,True
cell_78,False,True,False,True,False,False,False,False,True
cell_79,False,False,False,False,False,False,False,True,True
cell_80,False,True,False,False,False,False,False,True,True
cell_83,True,True,False,False,False,False,True,True,False
cell_85,True,True,True,False,False,False,True,True,False
cell_88,True,False,True,False,False,False,True,True,False
cell_89,True,False,True,False,False,True,True,False,False
cell_96,True,False,True,True,True,False,False,False,False
cell_98,True,False,True,True,False,False,False,True,False
cell_100,True,False,True,True,True,False,False,True,False
cell_101,False,False,True,True,True,False,True,False,False
cell_103,False,False,True,False,True,False,True,True,False
cell_104,False,False,True,False,True,False,True,False,False
cell_105,False,True,True,False,True,False,True,True,False
cell_107,False,False,True,True,True,False,True,True,False
cell_109,False,True,True,True,True,False,True,True,False
cell_112,False,False,True,True,True,False,True,True,True
cell_113,False,False,True,False,True,False,False,True,True
cell_114,False,False,True,True,False,False,False,True,True
cell_118,False,True,True,False,False,False,False,True,True
cell_122,False,False,False,True,True,False,True,False,True
cell_123,False,False,False,True,True,False,True,True,True
