,Time
cell_0,0.0077202828000000005
cell_1,0.008285512
cell_2,0.008636806
cell_3,0.007536027
cell_4,0.007766385600000001
cell_5,0.004126164
cell_6,0.0
cell_7,0.005163836
cell_8,0.011126148
cell_9,0.01728387
cell_10,0.036359597
cell_11,0.08602884
cell_12,0.07268767
cell_13,0.06125261
cell_14,0.04233729
cell_15,0.03051498
cell_16,0.030376231
cell_17,0.026192635
cell_18,0.023948606
cell_19,0.025150994
cell_20,0.030501114
cell_21,0.09864869999999999
cell_22,0.09332939999999999
cell_23,0.090062894
cell_24,0.09452419
cell_25,0.10013897
cell_26,0.09390633599999999
cell_27,0.09497839
cell_28,0.09531528
cell_29,0.09330314
cell_30,0.09119151
cell_31,0.014658731999999999
cell_32,0.015324133
cell_33,0.014548071999999999
cell_34,0.014878374
cell_35,0.023375157
cell_36,0.042015906
cell_37,0.062177032
cell_38,0.082309105
cell_39,0.09057669
cell_40,0.099914424
cell_41,0.023561386
cell_42,0.015750179
cell_43,0.015052821499999999
cell_44,0.015091951000000001
cell_45,0.018770784
cell_46,0.021559976
cell_47,0.021222875
cell_48,0.021215431
cell_49,0.037423093
cell_50,0.037830967
cell_51,0.08634425
cell_52,0.08396476
cell_53,0.09239687
cell_54,0.10291587
cell_55,0.103113145
cell_56,0.11485734
cell_57,0.12621538
cell_58,0.13034493
cell_59,0.13050869
cell_60,0.13989475
cell_61,0.09786628
cell_62,0.10268643
cell_63,0.10728614
cell_64,0.109826915
cell_65,0.11931224
cell_66,0.12480277
cell_67,0.11758263
cell_68,0.13128515
cell_69,0.1293653
cell_70,0.12994733
cell_71,0.0423751
cell_72,0.04864369
cell_73,0.03810629
cell_74,0.025880551
cell_75,0.0042539854
cell_76,0.019715445
cell_77,0.043460622000000004
cell_78,0.05254074
cell_79,0.07974595
cell_80,0.0968346
cell_81,0.13167807
cell_82,0.11812311
cell_83,0.09889873
cell_84,0.083842374
cell_85,0.06657073
cell_86,0.048107054
cell_87,0.030435031
cell_88,0.02633708
cell_89,0.028597252000000004
cell_90,0.025058812000000003
cell_91,0.133464
cell_92,0.10903713
cell_93,0.104090065
cell_94,0.08251243
cell_95,0.07731369
cell_96,0.06729046
cell_97,0.074222736
cell_98,0.058463327999999995
cell_99,0.06564462
cell_100,0.06036225
cell_101,0.062412493
cell_102,0.060463373
cell_103,0.05613584
cell_104,0.05548785
cell_105,0.05198908
cell_106,0.05318766
cell_107,0.05260238
cell_108,0.053248696
cell_109,0.05462767599999999
cell_110,0.05462794
cell_111,0.054111212
cell_112,0.11277303
cell_113,0.114873275
cell_114,0.104307994
cell_115,0.10237911
cell_116,0.09690258
cell_117,0.08690479
cell_118,0.08817023
cell_119,0.073868796
cell_120,0.07832608
cell_121,0.08385171
cell_122,0.09415433
cell_123,0.09398224
cell_124,0.09633684
cell_125,0.093573354
cell_126,0.09931458
cell_127,0.10322595
cell_128,0.10264281
cell_129,0.10099008
cell_130,0.10217011
cell_131,0.1008017
cell_132,0.13022098
cell_133,0.13885246
cell_134,0.13485871
cell_135,0.13247211
cell_136,0.14147428
cell_137,0.14081955
cell_138,0.14826788
cell_139,0.15248175
cell_140,0.15077098
cell_141,0.15625916
cell_142,0.11661435
cell_143,0.10423835
cell_144,0.09231721
cell_145,0.083497226
cell_146,0.069027856
cell_147,0.06946436
cell_148,0.062018382999999996
cell_149,0.06581132
cell_150,0.069762774
cell_151,0.07483926
cell_152,0.09250869
cell_153,0.08877002
cell_154,0.079416186
cell_155,0.07817554
cell_156,0.09639775
cell_157,0.10139576
cell_158,0.10206389
cell_159,0.09117563
cell_160,0.096511684
cell_161,0.10208662
cell_162,0.110769235
cell_163,0.10513185
cell_164,0.09007486
cell_165,0.07864522
cell_166,0.062823616
cell_167,0.051482495
cell_168,0.045372885
cell_169,0.05522922
cell_170,0.05648901
cell_171,0.059620400000000004
cell_172,0.09556543
cell_173,0.09514044
cell_174,0.08208087
cell_175,0.08475952
cell_176,0.08283419
cell_177,0.07871418
cell_178,0.06799144
cell_179,0.06809785
cell_180,0.06691121
cell_181,0.06695991
cell_182,0.1316476
cell_183,0.13789012
cell_184,0.13775192
cell_185,0.13137051
cell_186,0.13511892
cell_187,0.12461769999999998
cell_188,0.12558547
cell_189,0.12787475
cell_190,0.12550527
cell_191,0.11011313
cell_192,0.15765011
cell_193,0.15510292
cell_194,0.12843286
cell_195,0.1290493
cell_196,0.12132235599999999
cell_197,0.119636536
cell_198,0.10344842
cell_199,0.10692366
cell_200,0.10492519
cell_201,0.095894195
cell_202,0.09471495
cell_203,0.096310794
cell_204,0.09005123400000001
cell_205,0.08592666
cell_206,0.08179665
cell_207,0.08905541
cell_208,0.09348556400000001
cell_209,0.09750025
cell_210,0.10070316
cell_211,0.10033854
cell_212,0.10092563
cell_213,0.10362961
cell_214,0.09765397
cell_215,0.08374873
cell_216,0.06822787
cell_217,0.053889774
cell_218,0.03615652
cell_219,0.033463683
cell_220,0.026465585
cell_221,0.021627177
cell_222,0.04687658
cell_223,0.06552096
cell_224,0.051415153
cell_225,0.028706
cell_226,0.03302851
cell_227,0.020351285
cell_228,0.013098516999999999
cell_229,0.012606036999999999
cell_230,0.015579289
cell_231,0.053051867
cell_232,0.0681539
cell_233,0.028336657
cell_234,0.02184465
cell_235,0.012595847
cell_236,0.02192017
cell_237,0.031131785
cell_238,0.053032745
cell_239,0.057844464000000005
cell_240,0.07054738
cell_241,0.08304779
cell_242,0.084102206
cell_243,0.08069582
cell_244,0.07671971
cell_245,0.06450192
cell_246,0.059613625999999996
cell_247,0.05722176
cell_248,0.04689942
cell_249,0.043609592999999995
cell_250,0.041408263
cell_251,0.03876627
cell_252,0.037990008
cell_253,0.04561227599999999
cell_254,0.044165295
cell_255,0.056805354
cell_256,0.077106655
cell_257,0.10071291
cell_258,0.117701486
cell_259,0.12735927
cell_260,0.13819095
cell_261,0.14515318
cell_262,0.14500673
cell_263,0.09300876
cell_264,0.07190827
cell_265,0.07166575
cell_266,0.06303565
cell_267,0.06544065
cell_268,0.066364355
cell_269,0.07308975599999999
cell_270,0.07623639
cell_271,0.087450124
cell_272,0.08982198
cell_273,0.10507692
cell_274,0.08657185
cell_275,0.08289643
cell_276,0.07736622
cell_277,0.07388839
cell_278,0.07549682
cell_279,0.07029712
cell_280,0.07184034
cell_281,0.06781112
cell_282,0.06837115
cell_283,0.030441402000000003
cell_284,0.020204747
cell_285,0.023817727
