TF	target	importance
g1	g3	468.1775044736875
g3	g1	434.9505576164382
g1	g2	362.14123649148263
g2	g3	190.15680470385723
g4	g1	169.64776952379427
g2	g1	140.65671371666693
g3	g2	125.79782370632272
g4	g5	124.80871177906229
g4	g2	123.01615685481708
g1	g4	119.75703331688213
g5	g1	100.33165017109037
g6	g1	96.14907672007404
g1	g5	91.78075090254603
g6	g4	88.14246886792614
g8	g2	85.13078319908105
g4	g6	83.2181445453106
g5	g4	78.81086223050241
g11	g2	76.43246521964441
g5	g2	76.03889047855348
g6	g2	74.26714462654657
g2	g5	73.70069129254601
g2	g4	73.69448800596454
g10	g2	65.7311778784787
g1	g6	63.43418733694098
g6	g5	59.76267874406632
g9	g2	45.9885576231138
g3	g4	44.55022940360707
g2	g6	44.39629118541062
g4	g3	43.24851318974079
g7	g2	42.45576392195949
g3	g5	41.660229560930624
g9	g1	36.090853613988266
g11	g3	31.74786243649987
g5	g3	30.69610776633635
g3	g11	30.0105441055717
g8	g3	29.927053182653033
g10	g1	29.06217879728873
g10	g3	28.83747142112144
g11	g1	28.83735730739153
g9	g3	28.246672696828043
g3	g6	27.550171690360326
g7	g1	27.188840823675207
g9	g5	26.407224392406757
g7	g3	25.984114069780002
g1	g11	24.927506749752077
g11	g4	24.50682434335678
g3	g10	23.384940332039537
g8	g1	23.08500170959247
g7	g5	23.01214212091783
g6	g3	22.97789605949573
g2	g11	22.44723194779022
g5	g6	21.991758304534784
g4	g11	21.31484572352926
g7	g4	21.01577363424915
g10	g5	20.56428672228883
g8	g5	19.383218975826722
g11	g5	18.9200655094085
g5	g11	15.847282881307478
g1	g10	15.78362956377789
g2	g10	14.948011824948253
g1	g9	14.779328555451142
g6	g11	14.000437340277932
g10	g4	13.852377461409597
g10	g11	13.64702907194783
g9	g4	13.185968496926582
g9	g6	12.37472558335143
g6	g9	12.233385321279506
g3	g9	12.102415697599813
g8	g4	10.483974239175568
g4	g10	9.838385423474453
g7	g11	9.814071399132994
g11	g6	9.715721603287124
g9	g11	9.709653161213943
g5	g10	9.662625678972136
g1	g8	9.613997813061122
g2	g8	9.533943378722189
g3	g8	9.378625419296684
g9	g10	9.29249466642877
g8	g11	9.281397619476573
g7	g6	9.229447298089472
g11	g10	9.032998638639564
g4	g9	8.594994703604433
g8	g9	8.592989608680208
g3	g7	8.233149747001102
g10	g6	8.076133331155326
g8	g10	7.786083266558586
g11	g8	7.489219488872569
g2	g9	7.362808786917936
g7	g8	7.23519803092878
g8	g6	7.01341912155934
g6	g10	6.77648264870177
g1	g7	6.661844722588414
g10	g8	6.622162857245699
g5	g9	6.611773004560505
g4	g7	6.605684458429815
g7	g10	6.494347956459034
g7	g9	6.102103042339396
g10	g9	5.005016098094174
g5	g8	4.9665859111530395
g4	g8	4.779190056869167
g11	g9	4.615185181472884
g9	g8	4.611776469248353
g2	g7	4.510462915458904
g8	g7	4.290888260913601
g10	g7	4.178954115364101
g9	g7	3.9692716412396565
g6	g8	3.7693005746023958
g5	g7	3.629686818069411
g11	g7	3.2639668490679408
g6	g7	2.656090471867053
