Parent	Type	Child	Weight	Probability	Score
g1	+	g1	0.445237	1.000000	0.528708
g2	+	g1	0.204556	1.000000	0.242905
g3	+	g1	0.015393	0.143588	0.002625
g4	-	g1	-0.002179	0.002482	-0.000006
g5	+	g1	0.001651	0.000207	0.000000
g6	+	g1	0.001219	0.000290	0.000000
g7	+	g1	0.024061	0.292004	0.008343
g8	-	g1	-0.041093	0.001793	-0.000088
g9	-	g1	-0.000530	0.036318	-0.000023
g10	-	g1	-0.008909	0.031438	-0.000333
g11	+	g1	0.017160	0.196965	0.004014
g1	+	g2	0.345064	1.000000	0.409755
g2	+	g2	0.327527	1.000000	0.388929
g3	+	g2	0.040327	0.422780	0.020246
g4	+	g2	0.002026	0.001866	0.000004
g5	-	g2	-0.010500	0.024551	-0.000306
g6	+	g2	0.016865	0.065374	0.001309
g7	-	g2	-0.036575	0.220586	-0.009581
g8	-	g2	-0.015426	0.077947	-0.001428
g9	-	g2	-0.012303	0.059511	-0.000869
g10	+	g2	0.014251	0.055184	0.000934
g11	-	g2	-0.002861	0.014949	-0.000051
g1	-	g3	-0.223157	0.397040	-0.105213
g2	-	g3	-0.458689	0.995963	-0.542483
g3	+	g3	0.713499	1.000000	0.847261
g4	+	g3	0.180447	0.513103	0.109946
g5	+	g3	0.179782	0.462215	0.098677
g6	-	g3	-0.090704	0.084709	-0.009124
g7	-	g3	-0.162564	0.219482	-0.042369
g8	-	g3	-0.121532	0.132825	-0.019169
g9	-	g3	-0.118616	0.122005	-0.017185
g10	-	g3	-0.148899	0.163831	-0.028967
g11	-	g3	-0.239039	0.516851	-0.146710
g1	-	g4	-0.265706	0.335515	-0.105861
g2	-	g4	-0.000731	0.088606	-0.000077
g3	+	g4	0.154365	0.147150	0.026973
g4	+	g4	0.756129	1.000000	0.897883
g5	+	g4	0.173192	0.194517	0.040004
g6	+	g4	0.130601	0.102365	0.015875
g7	+	g4	0.109820	0.058886	0.007679
g8	-	g4	-0.039230	0.045205	-0.002106
g9	-	g4	-0.373229	0.960361	-0.425631
g10	-	g4	-0.204277	0.196986	-0.047784
g11	-	g4	-0.113495	0.067249	-0.009063
g1	+	g5	0.135492	0.151230	0.024332
g2	+	g5	0.041868	0.096516	0.004798
g3	+	g5	0.218890	0.327159	0.085037
g4	-	g5	-0.042258	0.015798	-0.000793
g5	+	g5	0.556419	1.000000	0.660733
g6	-	g5	-0.077604	0.037486	-0.003454
g7	+	g5	0.017662	0.000734	0.000015
g8	-	g5	-0.028450	0.046352	-0.001566
g9	-	g5	-0.096522	0.085526	-0.009803
g10	-	g5	-0.146495	0.122792	-0.021361
g11	-	g5	-0.036026	0.018027	-0.000771
g1	-	g6	-0.098930	0.103754	-0.012189
g2	+	g6	0.056279	0.086139	0.005757
g3	-	g6	-0.056072	0.025175	-0.001676
g4	+	g6	0.192528	0.391045	0.089401
g5	+	g6	0.062381	0.036007	0.002667
g6	+	g6	0.588387	1.000000	0.698695
g7	-	g6	-0.005394	0.000474	-0.000003
g8	+	g6	0.082632	0.079109	0.007762
g9	-	g6	-0.177879	0.224729	-0.047469
g10	+	g6	0.036719	0.028842	0.001258
g11	-	g6	-0.082754	0.049282	-0.004843
g1	+	g7	0.045316	0.088513	0.004763
g2	-	g7	-0.238767	0.469545	-0.133130
g3	-	g7	-0.180170	0.449426	-0.096154
g4	-	g7	-0.066201	0.072008	-0.005661
g5	+	g7	0.022751	0.001774	0.000048
g6	-	g7	-0.032888	0.007431	-0.000290
g7	+	g7	0.064619	0.029587	0.002270
g8	-	g7	-0.111257	0.123139	-0.016269
g9	+	g7	0.030304	0.038876	0.001399
g10	+	g7	0.114070	0.119285	0.016158
g11	+	g7	0.036842	0.022213	0.000972
g1	-	g8	-0.842124	1.000000	-1.000000
g2	-	g8	-0.514661	1.000000	-0.611146
g3	-	g8	-0.262461	1.000000	-0.311666
g4	-	g8	-0.152537	0.845201	-0.153094
g5	-	g8	-0.064225	0.093938	-0.007164
g6	-	g8	-0.065141	0.085433	-0.006609
g7	-	g8	-0.061755	0.059136	-0.004337
g8	+	g8	0.120435	0.243843	0.034873
g9	-	g8	-0.048217	0.068040	-0.003896
g10	+	g8	0.062795	0.077725	0.005796
g11	+	g8	0.050620	0.048450	0.002912
g1	-	g9	-0.723698	1.000000	-0.859373
g2	-	g9	-0.187669	0.509970	-0.113648
g3	-	g9	-0.182371	0.948317	-0.205368
g4	-	g9	-0.079600	0.142423	-0.013462
g5	-	g9	-0.126684	0.422619	-0.063576
g6	-	g9	-0.081302	0.124796	-0.012048
g7	+	g9	0.050265	0.036108	0.002155
g8	+	g9	0.109228	0.201896	0.026187
g9	+	g9	0.257094	0.996456	0.304210
g10	+	g9	0.102868	0.155629	0.019011
g11	+	g9	0.126723	0.223439	0.033623
g1	-	g10	-0.681144	1.000000	-0.808841
g2	-	g10	-0.241508	0.843335	-0.241855
g3	-	g10	-0.254599	1.000000	-0.302330
g4	-	g10	-0.122719	0.515172	-0.075074
g5	-	g10	-0.105403	0.268915	-0.033658
g6	-	g10	-0.041576	0.039471	-0.001949
g7	+	g10	0.032438	0.010870	0.000419
g8	+	g10	0.066667	0.106485	0.008430
g9	+	g10	0.070460	0.105108	0.008794
g10	+	g10	0.013480	0.031828	0.000509
g11	-	g10	-0.024306	0.022670	-0.000654
g1	-	g11	-0.507233	1.000000	-0.602326
g2	-	g11	-0.180629	0.480158	-0.102990
g3	-	g11	-0.218800	0.999457	-0.259679
g4	-	g11	-0.158877	0.910077	-0.171698
g5	-	g11	-0.108631	0.250625	-0.032330
g6	-	g11	-0.007980	0.001235	-0.000012
g7	-	g11	-0.019498	0.002085	-0.000048
g8	+	g11	0.039145	0.067834	0.003153
g9	+	g11	0.131459	0.280204	0.043741
g10	-	g11	-0.004723	0.028979	-0.000163
g11	+	g11	0.004688	0.014825	0.000083
