TF	target	importance
g2	g11	0.365605305303551
g11	g3	0.29878962706338963
g11	g2	0.28749336128792247
g3	g10	0.2793663583944432
g3	g8	0.22965307897011497
g3	g11	0.20857266021410237
g3	g9	0.20361023497242037
g3	g2	0.19754198348490143
g2	g9	0.17196052409626553
g2	g8	0.16584282205885775
g10	g3	0.1580116386361313
g2	g3	0.14755971934795528
g11	g9	0.13911279963448453
g2	g10	0.13855528777292825
g11	g8	0.13698870541190497
g10	g1	0.12856096307215903
g8	g3	0.12841538536740205
g11	g10	0.12102735568248546
g11	g5	0.11204435898157447
g7	g6	0.11165967888746021
g9	g2	0.110816893350322
g9	g3	0.10867355173834391
g4	g6	0.10742332974665898
g6	g5	0.107190523917792
g6	g4	0.1070511044639655
g7	g4	0.1067046667983461
g5	g6	0.10603102669210568
g1	g4	0.10595166766609819
g9	g7	0.10521355582479092
g6	g7	0.10513762695780023
g10	g9	0.10509033067315911
g11	g7	0.1049929772062038
g3	g5	0.10439253345934164
g4	g7	0.1042563939545522
g1	g6	0.10419873666691318
g10	g6	0.10349911268275162
g5	g4	0.10347576097109709
g2	g7	0.10307373968110019
g4	g1	0.10285621955657517
g8	g2	0.10272987752536261
g10	g8	0.10257780930018548
g7	g5	0.10119238082545262
g8	g7	0.10117309637487289
g10	g7	0.10109205286291481
g7	g1	0.10088895395205422
g9	g1	0.10085528599147925
g8	g9	0.10083832232611045
g8	g5	0.10037545696247469
g11	g1	0.0995826225315338
g10	g4	0.09882005246310477
g2	g6	0.09851660875866791
g2	g4	0.09829040676492898
g2	g5	0.0981077816203389
g3	g7	0.09774528998711181
g11	g4	0.09754864236485111
g6	g1	0.09750622958523623
g4	g5	0.09701055635152715
g9	g8	0.09572098303630355
g9	g4	0.09505349551502108
g10	g2	0.0949604679299744
g10	g5	0.09474783957399419
g1	g5	0.09449181263605545
g2	g1	0.09448541312779962
g8	g10	0.09437792687748378
g8	g6	0.09419516759457067
g3	g4	0.09380938132973167
g8	g1	0.09368424195122663
g8	g4	0.09329482166285559
g3	g1	0.09230648318993427
g11	g6	0.09193438488205512
g3	g6	0.09182923605443516
g9	g6	0.09071271803438165
g9	g5	0.09044675567144882
g1	g7	0.08947860813466967
g5	g1	0.08927358704200172
g5	g7	0.08783665901598355
g9	g10	0.0871145436207766
g9	g11	0.08358438974610011
g1	g10	0.08128519007152951
g8	g11	0.08002672170989646
g10	g11	0.07318969326218278
g7	g9	0.0624290566169789
g4	g9	0.05857574951800458
g1	g9	0.057186765274133355
g5	g8	0.057074432502774615
g4	g8	0.05692871383448045
g5	g9	0.05577842491717519
g7	g11	0.05568635072432709
g7	g8	0.05371784263526813
g6	g10	0.052518416673369234
g6	g8	0.05183746732896661
g7	g10	0.05142998394375007
g1	g8	0.04965814492114355
g4	g10	0.049035451907375065
g6	g9	0.04541779197126784
g5	g10	0.04528948505585875
g7	g2	0.04407320074361308
g6	g2	0.04338296673685528
g4	g2	0.04067992913749861
g5	g2	0.03964027211278477
g5	g11	0.039306112110259535
g1	g2	0.038681047690765316
g4	g3	0.03428671356975549
g1	g11	0.03305245666091813
g6	g3	0.0325703912239623
g4	g11	0.0324062839899039
g1	g3	0.03194689455257808
g5	g3	0.030912693862006596
g7	g3	0.02883338463847533
g6	g11	0.028570026278758716
